date,open,high,low,close,volume,market_cap,return,market_return,abnormal_return,mdd,ma20,ma60,ma20_ratio,ma60_ratio,vix,vkospi,eps,psr,car_3,car_5,inst_net_buy,foreign_net_buy,foreign_holding_shares,foreign_holding_pct
2021-04-01,31818.769299425072,32590.13340365356,31625.92827336795,32493.712890625,582463,1670647806452.7617,0.033742374364193806,0.008486251847749982,0.025256122516443824,-0.07923493305893883,30866.61533203125,31607.44619140625,1.0527138314677884,1.0280398072609775,17.329999923706055,13.54,,,-0.005704667792654217,-0.04270278862977628,52598.0,65521.0,4172466.0,8.12
2021-04-02,33072.231772782565,33120.44202318021,32011.60626403443,32204.447265625,567158,1655775360711.793,-0.008902202896101108,0.008227034814988876,-0.017129237711089984,-0.08743177050449029,31006.425,31556.021875,1.0386378715258209,1.0205483882979152,17.329999923706055,13.54,,,-0.007150662301692368,-0.04605350431026145,-43181.0,-38478.0,4133043.0,8.04
2021-04-05,32445.49837335044,33072.23162573314,32156.236872250734,32879.390625,682937,1690477232012.7188,0.020958079292838327,0.0025796804070015167,0.01837839888583681,-0.06830609319059833,31223.37109375,31533.523697916666,1.0530378198522417,1.0426805116984834,17.90999984741211,13.54,,,0.02650528369119065,-0.00445550661790739,-13121.0,68004.0,4202380.0,8.17
2021-04-06,33072.23236908784,33120.44262035473,31915.18633868243,32108.02734375,564756,1650817979217.0703,-0.023460388607795202,0.0020026723158714788,-0.02546306092366668,-0.09016399430786182,31445.13818359375,31495.758984375,1.0210808156188071,1.0194397080470023,18.1200008392334,13.54,,,-0.024213899748919854,-0.014235324339522237,-16911.0,-161249.0,4042785.0,7.86
2021-04-07,32156.23935546875,32397.290625,31818.767578125,31818.767578125,350232,1635945834732.9023,-0.009008954755400311,0.003303348083931734,-0.012312302839332046,-0.09836066571797639,31686.18955078125,31449.155631510417,1.0041840950023755,1.0117526826775678,17.15999984741211,13.54,,,-0.019396964877161915,-0.011270080071808075,26360.0,-35500.0,4006703.0,7.79
2021-04-08,31866.97743356964,31915.187686873072,31143.823634018132,31240.244140625,562259,1606201344926.6992,-0.018181830458377846,0.0018646264976949212,-0.020046456956072767,-0.11475411922849683,31797.07314453125,31388.089322916665,0.9824880421737175,0.9952897680145276,16.950000762939453,13.54,,,-0.05782182071907149,-0.056572659544324666,-72204.0,-18685.0,3987566.0,7.76
2021-04-09,31577.71484375,32108.02761211832,31481.294340410303,31577.71484375,411158,1623552230367.6953,0.010802434885140766,-0.003620485393435069,0.014422920278575835,-0.10519130824412354,31871.79892578125,31327.826432291666,0.990772906081766,1.0079765639661729,16.690000534057617,13.54,,,-0.017935839516828977,-0.025020501554658847,24142.0,35662.0,4023624.0,7.83
2021-04-12,31674.137015044504,31722.347269253096,30709.931930872677,31143.82421875,611271,1601243963431.9766,-0.013740406079000289,0.0011846575274123694,-0.014925063606412659,-0.11748634303186824,31941.70380859375,31264.349609375,0.9750207567315465,0.996144957687242,16.90999984741211,13.54,,,-0.02054860028390959,-0.058323964046908316,-95665.0,-78466.0,3944242.0,7.67
2021-04-13,30950.9826208044,31336.664647231868,30854.56211419753,31240.244140625,294314,1606201344926.6992,0.003095956398859734,0.010680602150042073,-0.0075846457511823395,-0.11475411922849661,31903.13544921875,31211.318326822915,0.9792217504875377,1.0009267732141012,16.649999618530273,13.54,,,-0.008086789079019163,-0.040445548874423976,3153.0,-3072.0,3940132.0,7.66
2021-04-14,31240.245317352485,31336.665827591227,30806.353021278144,31047.404296875,377173,1596286581937.254,-0.006172802071646721,0.0041967398612940965,-0.010369541932940818,-0.12021856683523965,31850.104296875,31163.108072916668,0.9747975707546189,0.9962871554476871,16.989999771118164,13.54,,,-0.032879251290535816,-0.03850278796803275,-4573.0,-31256.0,3908547.0,7.6
2021-04-15,31047.404978197676,31433.08702761628,30806.35369731105,31095.615234375,321330,1598765322894.082,0.0015528170097252048,0.003755112762320101,-0.002202295752594896,-0.11885242726098104,31825.99931640625,31136.59248046875,0.9770507101828931,0.9986839521338292,16.56999969482422,13.54,,,-0.020156483436718053,-0.020658626764554877,-17216.0,5392.0,3919629.0,7.62
2021-04-16,31384.87558684033,31433.085841197997,30950.98329762134,31288.455078125,353463,1608680085883.5273,0.006201512409274468,0.0013430168321924008,0.004858495577082067,-0.113387979654238,31823.58876953125,31112.48740234375,0.9831843700821511,1.0056558536611249,16.25,13.54,,,-0.007713342108453647,-0.030223051466048645,-10635.0,-2655.0,3917165.0,7.62
2021-04-19,31433.08601851852,32975.81416666666,31240.245,32541.921875,1440506,1673126446990.6562,0.0400616391491746,6.877049948594838e-05,0.03999286864968865,-0.07786884882982548,31903.1357421875,31084.36474609375,1.0200226754502941,1.0468903624317887,17.290000915527344,13.54,,,0.04264906847417582,0.024694880790052665,110841.0,221410.0,4113574.0,8.0
2021-04-20,32590.130859375,32734.761617626664,31915.187320867233,32590.130859375,580973,1675605087528.5508,0.001481442447074377,0.0068336842982559265,-0.0053522418511815495,-0.07650276460071245,31965.808984375,31059.456119791666,1.0195309267882184,1.049282084453757,18.68000030517578,13.54,,,0.03949912237558917,0.026927284690053455,49232.0,-65628.0,4048096.0,7.87
2021-04-21,32300.870017598932,32493.711032629377,31481.29570371956,31674.13671875,709505,1628509712281.3516,-0.028106488574024868,-0.015226515914547267,-0.012879972659477601,-0.10245902909560609,31929.651171875,31033.7439453125,0.9919975808144729,1.020635369505078,17.5,13.54,,,0.0217606541390295,0.02441685396351667,-30226.0,-46379.0,4001449.0,7.78
2021-04-22,32011.607904969653,32300.869422183234,31674.13613488714,31770.556640625,413295,1633467093776.0742,0.00304412154090139,0.0018476468424313275,0.0011964746984700625,-0.09972680529223445,31864.56728515625,30996.782779947916,0.9970496808040747,1.0249630378149324,18.709999084472656,13.54,,,-0.017035739812189088,0.02781562441458163,-19506.0,-160.0,4003770.0,7.79
2021-04-23,31481.29512341142,32011.607904969653,31095.613100459977,31770.556640625,353570,1633467093776.0742,0.0,0.001120389036691316,-0.001120389036691316,-0.09972680529223445,31804.304296875,30974.284635416665,0.9989388965740301,1.0257075188202365,17.329999923706055,13.54,,,-0.012803886997698855,0.021836739800808247,22454.0,27780.0,4089966.0,7.95
2021-04-26,32011.611328125,32156.242102197855,31625.929263930724,32011.611328125,394691,1645860798560.2148,0.007587361160420025,0.011458356997211983,-0.0038709958367919572,-0.09289610742094148,31797.07294921875,30975.088151041666,1.0067471109447363,1.0334631227530011,17.639999389648438,13.54,,,-0.003794910175013211,-0.02202712468567236,5712.0,14146.0,4119084.0,8.01
2021-04-27,32252.660868389423,32397.291634615383,31192.03524939904,31336.666015625,549080,1611158826840.3555,-0.021084390460126667,-0.0006558159217354698,-0.020428574538391198,-0.11202184007997916,31763.32568359375,30995.17578125,0.9865675379140438,1.011017528559447,17.559999465942383,13.54,,,-0.02541995941187447,-0.03710345737288201,-13035.0,-90377.0,4028486.0,7.84
2021-04-28,31336.665555132116,31336.665555132116,29504.67587652439,29649.306640625,1211051,1524404098378.5742,-0.05384616774990214,-0.010558481317139434,-0.043287686432762706,-0.15983606103728198,31674.13671875,31000.80029296875,0.9360730776625596,0.9564045560252752,17.280000686645508,13.54,,,-0.06758725680794586,-0.06751117114616711,-272309.0,-194078.0,3837321.0,7.46
2021-04-29,29745.72676007981,30083.198538557215,28877.942186852197,29070.783203125,743039,1494659608572.371,-0.01951220797545794,-0.00232593813925408,-0.01718626983620386,-0.17622951454780253,31502.990234375,30985.533723958335,0.9227944073513359,0.9382050172867337,17.610000610351562,13.54,,,-0.08090253080735776,-0.08589391568084104,-254896.0,-6322.0,3854559.0,7.5
2021-04-30,29167.20351752431,29793.936816247973,28926.15224878444,29745.7265625,437090,1529361479873.2969,0.023217240301336206,-0.008257524368719293,0.0314747646700555,-0.15710383723391044,31380.05419921875,30975.088151041666,0.9479182659678312,0.9603112803893563,18.610000610351562,13.54,,,-0.028999191598911067,-0.05329876197409422,-4763.0,39609.0,3911249.0,7.61
2021-05-03,29215.413378099176,30034.987680785125,29022.57236570248,29167.203125,503807,1499616990067.0938,-0.01944895971138716,-0.0065632383730421795,-0.01288572133834498,-0.17349729074443102,31194.44482421875,30951.7865234375,0.9350127334965475,0.9423431213869944,18.309999465942383,13.54,,,0.0014027734955066595,-0.062313487475647245,-1646.0,-89777.0,3834131.0,7.46
