date,close,change,open,high,low,volume
2026.05.11,33200.0,상승  350,33300.0,34350.0,32100.0,307355.0
2026.05.08,32850.0,상승  100,32750.0,33650.0,31300.0,345003.0
2026.05.07,32750.0,"하락  2,050",34750.0,34750.0,31950.0,525274.0
2026.05.06,34800.0,"상승  1,850",37100.0,37200.0,34000.0,493881.0
2026.05.04,32950.0,상승  950,32550.0,33350.0,31500.0,379942.0
2026.04.30,32000.0,상승  150,32450.0,32900.0,31250.0,288212.0
2026.04.29,31850.0,하락  50,31400.0,32500.0,31050.0,244425.0
2026.04.28,31900.0,하락  550,32900.0,33400.0,31900.0,297605.0
2026.04.27,32450.0,"하락  2,200",34550.0,34550.0,31600.0,1211062.0
2026.04.24,34650.0,"상승  7,000",27800.0,35700.0,27750.0,1888050.0
2026.04.23,27650.0,상승  200,28000.0,28150.0,26950.0,324116.0
2026.04.22,27450.0,"상승  1,400",26200.0,27550.0,25550.0,332403.0
2026.04.21,26050.0,하락  500,27200.0,27650.0,25800.0,280252.0
2026.04.20,26550.0,하락  100,26500.0,26950.0,26250.0,159369.0
2026.04.17,26650.0,상승  500,26150.0,27400.0,25500.0,311491.0
2026.04.16,26150.0,상승  650,25050.0,26600.0,24150.0,625970.0
2026.04.15,25500.0,하락  450,26600.0,26750.0,24750.0,351505.0
2026.04.14,25950.0,상승  250,26800.0,27100.0,25000.0,437654.0
2026.04.13,25700.0,상승  550,24500.0,26500.0,24450.0,417101.0
2026.04.10,25150.0,"상승  3,350",22250.0,26150.0,21750.0,1041349.0
2026.04.09,21800.0,"하락  1,000",22250.0,22550.0,21450.0,264868.0
2026.04.08,22800.0,상승  850,22850.0,23500.0,22100.0,699201.0
2026.04.07,21950.0,"상승  2,750",20800.0,22450.0,20700.0,1173752.0
2026.04.06,19200.0,상승  190,19180.0,20900.0,18900.0,315402.0
2026.04.03,19010.0,상승  410,19250.0,19710.0,18700.0,297775.0
2026.04.02,18600.0,"하락  1,500",20000.0,20200.0,18310.0,292065.0
2026.04.01,20100.0,"상승  3,400",17830.0,20150.0,17700.0,531103.0
2026.03.31,16700.0,"하락  1,110",17410.0,17930.0,16650.0,119549.0
2026.03.30,17810.0,하락  500,17270.0,18150.0,16500.0,256070.0
2026.03.27,18310.0,하락  820,18350.0,18840.0,17910.0,174230.0
2026.03.26,19130.0,"하락  1,170",20300.0,20450.0,19130.0,221952.0
2026.03.25,20300.0,"상승  1,860",19800.0,21500.0,19600.0,614816.0
2026.03.24,18440.0,하락  580,20000.0,20100.0,18010.0,283850.0
2026.03.23,19020.0,"하락  2,030",20250.0,20800.0,19020.0,340264.0
2026.03.20,21050.0,"상승  3,070",18370.0,21500.0,17520.0,1239392.0
2026.03.19,17980.0,하락  150,17500.0,18130.0,17460.0,194518.0
2026.03.18,18130.0,상승  770,17960.0,18160.0,17470.0,158539.0
2026.03.17,17360.0,상승  620,17200.0,17800.0,17030.0,160847.0
2026.03.16,16740.0,하락  370,16970.0,17300.0,16360.0,92799.0
2026.03.13,17110.0,상승  300,16230.0,17380.0,16010.0,184298.0
2026.03.12,16810.0,하락  240,16950.0,17000.0,16300.0,82882.0
2026.03.11,17050.0,상승  470,16920.0,17570.0,16630.0,109746.0
2026.03.10,16580.0,"상승  1,030",16550.0,16770.0,16170.0,102121.0
2026.03.09,15550.0,"하락  1,730",16000.0,16390.0,15190.0,140805.0
2026.03.06,17280.0,상승  970,16210.0,17380.0,15600.0,109379.0
2026.03.05,16310.0,"상승  1,640",15650.0,16790.0,15500.0,157620.0
2026.03.04,14670.0,"하락  2,740",16310.0,16730.0,14420.0,253887.0
2026.03.03,17410.0,"하락  1,320",17900.0,19050.0,17400.0,230937.0
2026.02.27,18730.0,하락  710,18810.0,19090.0,18360.0,189696.0
2026.02.26,19440.0,상승  710,18950.0,19670.0,18690.0,297972.0
2026.02.25,18730.0,"상승  1,000",18400.0,19600.0,18300.0,420930.0
2026.02.24,17730.0,상승  500,17350.0,17900.0,16790.0,153667.0
2026.02.23,17230.0,하락  550,17990.0,18020.0,16900.0,114085.0
2026.02.20,17780.0,하락  670,18450.0,18480.0,17780.0,125903.0
2026.02.19,18450.0,상승  870,18100.0,18630.0,17860.0,173633.0
2026.02.13,17580.0,하락  350,17710.0,17900.0,17500.0,99087.0
2026.02.12,17930.0,하락  220,18340.0,18460.0,17830.0,133275.0
2026.02.11,18150.0,하락  120,18270.0,18370.0,17850.0,105012.0
2026.02.10,18270.0,하락  730,18850.0,18870.0,18120.0,142357.0
2026.02.09,19000.0,상승  50,19980.0,19980.0,18750.0,245803.0
2026.02.06,18950.0,보합0,18560.0,19660.0,17850.0,280534.0
2026.02.05,18950.0,상승  520,18000.0,19880.0,17830.0,500827.0
2026.02.04,18430.0,상승  120,18010.0,18500.0,17700.0,120213.0
2026.02.03,18310.0,상승  590,18360.0,18410.0,17920.0,124459.0
2026.02.02,17720.0,"하락  1,430",18300.0,18880.0,17500.0,209789.0
2026.01.30,19150.0,하락  340,19100.0,20200.0,18900.0,430716.0
2026.01.29,19490.0,"상승  1,740",20250.0,20250.0,18030.0,786167.0
2026.01.28,17750.0,"상승  1,260",17090.0,17750.0,16800.0,359175.0
2026.01.27,16490.0,상승  310,15800.0,16510.0,15800.0,143284.0
2026.01.26,16180.0,상승  390,15750.0,16230.0,15570.0,140801.0
2026.01.23,15790.0,상승  90,15860.0,15970.0,15450.0,82096.0
2026.01.22,15700.0,상승  100,16100.0,16100.0,15310.0,113899.0
2026.01.21,15600.0,하락  230,15460.0,15660.0,15050.0,124530.0
2026.01.20,15830.0,하락  480,16280.0,16280.0,15200.0,125970.0
2026.01.19,16310.0,상승  190,16100.0,16390.0,15770.0,108597.0
2026.01.16,16120.0,상승  510,16600.0,17080.0,16080.0,240392.0
2026.01.15,15610.0,상승  80,15550.0,15610.0,15160.0,86859.0
2026.01.14,15530.0,하락  180,15710.0,15820.0,15450.0,85609.0
2026.01.13,15710.0,하락  270,16000.0,16150.0,15510.0,85471.0
2026.01.12,15980.0,하락  340,16650.0,16650.0,15820.0,109063.0
2026.01.09,16320.0,하락  540,16900.0,16990.0,16230.0,72894.0
2026.01.08,16860.0,하락  90,16940.0,17510.0,16630.0,75123.0
2026.01.07,16950.0,하락  350,17680.0,17960.0,16780.0,118818.0
2026.01.06,17300.0,상승  80,17140.0,17340.0,16510.0,114719.0
2026.01.05,17220.0,상승  840,16970.0,18000.0,16900.0,270946.0
2026.01.02,16380.0,상승  780,15730.0,16440.0,15400.0,107403.0
2025.12.30,15600.0,상승  120,15380.0,15780.0,15300.0,67005.0
2025.12.29,15480.0,하락  320,15810.0,16090.0,15300.0,75917.0
2025.12.26,15800.0,"상승  1,400",14620.0,15880.0,14540.0,154574.0
2025.12.24,14400.0,하락  270,15100.0,15100.0,14390.0,79802.0
2025.12.23,14670.0,"하락  1,830",16380.0,16420.0,13560.0,401794.0
2025.12.22,16500.0,상승  340,16380.0,16600.0,16350.0,61746.0
2025.12.19,16160.0,상승  210,16350.0,16570.0,15870.0,93125.0
2025.12.18,15950.0,하락  230,15810.0,16200.0,15730.0,47630.0
2025.12.17,16180.0,상승  250,16020.0,16520.0,15960.0,22919.0
2025.12.16,15930.0,하락  850,16900.0,16900.0,15910.0,126533.0
2025.12.15,16780.0,하락  850,16810.0,17250.0,16500.0,78822.0
2025.12.12,17630.0,상승  570,17300.0,17630.0,16800.0,130642.0
2025.12.11,17060.0,하락  410,17570.0,17690.0,17010.0,77981.0
2025.12.10,17470.0,하락  340,17710.0,18090.0,17450.0,65744.0
2025.12.09,17810.0,상승  230,17600.0,18190.0,17570.0,83889.0
2025.12.08,17580.0,상승  340,17270.0,17640.0,17050.0,94009.0
2025.12.05,17240.0,상승  200,16890.0,17260.0,16890.0,48081.0
2025.12.04,17040.0,하락  540,17550.0,17550.0,16710.0,98158.0
2025.12.03,17580.0,상승  80,17450.0,17800.0,17370.0,73567.0
