year,revenue,operating_profit,net_income,assets,liabilities,equity,cash,cfo,capex,fcf,investing_cf,source_account_count,revenue_source_account,operating_profit_source_account,net_income_source_account,assets_source_account,liabilities_source_account,equity_source_account,cfo_source_account,capex_source_account,cash_source_account
2022,43320504880.0,3899765486.0,4418777712.0,73181102067.0,18791727827.0,54389374240.0,10993740746.0,5920392540.0,6080546064.0,-160153524.0,-31709375208.0,122,매출액,영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,유형자산의 취득,현금및현금성자산
2023,63597349804.0,4351646460.0,6344445918.0,94609678796.0,32590129089.0,62019549707.0,6997754070.0,5666350939.0,4109051810.0,1557299129.0,-9280615807.0,119,매출액,영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,무형자산의 취득,현금및현금성자산
2024,96492001688.0,3524912928.0,7530549168.0,112708406447.0,43353386403.0,69355020044.0,18715231760.0,10803918403.0,1293387190.0,9510531213.0,1313260460.0,117,매출액,영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,무형자산의 취득,현금및현금성자산
2025,68510181008.0,-16721496228.0,-14369143365.0,159310899656.0,104622741139.0,54688158517.0,52725781806.0,-848730459.0,3120040134.0,-3968770593.0,2014178330.0,117,매출액,영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,무형자산의 취득,현금및현금성자산
