date,company,ticker,stock_code,patent_records,patent_records_asof,recent_5y_patents,undated_records,ip_quality_signal,lifecycle_signal,source_file
2025-01-31,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-02-28,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-03-31,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-04-30,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-05-31,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-06-30,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-07-31,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-08-31,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-09-30,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-10-31,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-11-30,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-12-31,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2026-01-31,네패스,033640,033640,0,2142,0,6615,0.9999999990035806,0.0,data\반도체\네패스\tech\nepes_kipris_bibliographic_normalized.csv;data\반도체\네패스\tech\nepes_kipris_patents_normalized.csv;data\반도체\네패스\tech\nepes_kipris_plus_family_request_targets.csv;data\반도체\네패스\tech\nepes_kipris_tech_ml_enriched.csv;data\반도체\네패스\tech\source\kipris_nepes_patents.csv;data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv
2025-01-31,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-02-28,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-03-31,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-04-30,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-05-31,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-06-30,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-07-31,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-08-31,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-09-30,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-10-31,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-11-30,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-12-31,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2026-01-31,한미반도체,042700,042700,0,4560,0,18703,1.0,0.0,data\반도체\한미반도체\tech\hanmi_kipris_bibliographic_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_patents_normalized.csv;data\반도체\한미반도체\tech\hanmi_kipris_plus_family_request_targets.csv;data\반도체\한미반도체\tech\hanmi_kipris_tech_ml_enriched.csv;data\반도체\한미반도체\tech\source\hanmi_kipris_plus_bibliographic_raw.csv;data\반도체\한미반도체\tech\source\kipris_hanmi_patents.csv
2025-01-31,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-02-28,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-03-31,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-04-30,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-05-31,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-06-30,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-07-31,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-08-31,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-09-30,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-10-31,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-11-30,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-12-31,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2026-01-31,한솔케미칼,014680,014680,0,3305,0,8326,0.9999999999999911,0.0,data\반도체\한솔케미칼\tech\hansol_kipris_bibliographic_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_patents_normalized.csv;data\반도체\한솔케미칼\tech\hansol_kipris_plus_family_request_targets.csv;data\반도체\한솔케미칼\tech\hansol_kipris_tech_ml_enriched.csv;data\반도체\한솔케미칼\tech\source\hansol_kipris_plus_bibliographic_raw.csv;data\반도체\한솔케미칼\tech\source\kipris_hansol_patents.csv
2025-01-31,덕산테코피아,317330,317330,0,220,0,559,0.8004990217606297,0.0,data\반도체\덕산테코피아\tech\duksan_kipris_bibliographic_normalized.csv;data\반도체\덕산테코피아\tech\duksan_kipris_patents_normalized.csv;data\반도체\덕산테코피아\tech\duksan_kipris_plus_family_request_targets.csv;data\반도체\덕산테코피아\tech\duksan_kipris_tech_ml_enriched.csv;data\반도체\덕산테코피아\tech\source\duksan_kipris_plus_bibliographic_raw.csv;data\반도체\덕산테코피아\tech\source\kipris_duksan_patents.csv
