left_source_index,right_source_index,similarity
294,364,1.0
516,681,1.0
517,604,1.0
517,618,1.0
517,643,1.0
571,609,1.0
571,623,1.0
571,634,1.0
602,622,1.0
604,618,1.0
604,643,1.0
609,623,1.0
609,634,1.0
618,643,1.0
623,634,1.0
700,754,1.0
584,673,0.9945
573,695,0.9932
592,641,0.9927
227,430,0.9923
