fiscal_year,revenue,operating_profit,net_income,total_assets,total_liabilities,equity,cash_and_equivalents,operating_cash_flow,capex,fcf,investing_cf,source_account_count,revenue_source_account,operating_profit_source_account,net_income_source_account,assets_source_account,liabilities_source_account,equity_source_account,cfo_source_account,capex_source_account,cash_source_account,ebit,ebitda,source
2021,165641947051.0,5577586579.0,3377390171.0,498565213550.0,172532637472.0,326032576078.0,39203238292.0,7269872745.0,51792326234.0,-44522453489.0,-8033541371.0,189,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,유형자산의 취득,현금및현금성자산,5577586579.0,,valuation_intake_normalized_or_dart
2022,249321677973.0,17851415161.0,17515720880.0,578679154922.0,229549274594.0,341102990526.0,50201065697.0,7030980847.0,60478656365.0,-53447675518.0,-5724244404.0,153,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,유형자산의 취득,현금및현금성자산,17851415161.0,,valuation_intake_normalized_or_dart
2023,284991652409.0,33511661589.0,17523410962.0,675436088584.0,288529670073.0,386906418511.0,50097156259.0,1298383439.0,198702962.0,1099680477.0,-82388093117.0,154,매출,영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,무형자산의 취득,현금및현금성자산,33511661589.0,,valuation_intake_normalized_or_dart
2024,273751342840.0,27692533192.0,32463839888.0,721875709831.0,,,63405167785.0,109451358165.0,418633503.0,109032724662.0,-86542775340.0,198,매출,영업이익,당기순이익,자산총계,,,영업활동으로 인한 현금흐름,무형자산의 취득,현금및현금성자산,27692533192.0,,valuation_intake_normalized_or_dart
2025,331681282447.0,54932543750.0,54561944733.0,782566948564.0,189563266216.0,593003682348.0,30546031679.0,13989325017.0,213635784.0,13775689233.0,-26325858708.0,210,매출,영업이익,당기순이익,자산총계,부채총계,자본총계,영업활동으로 인한 현금흐름,무형자산의 취득,현금및현금성자산,54932543750.0,,valuation_intake_normalized_or_dart
