date,field,company,ticker,stock_code,recommendation,weighted_signal,as_of_date,signal_source,finance_signal,finance_weighted_signal,finance_recommendation,finance_weight,market_signal,market_weighted_signal,market_recommendation,market_weight,tech_signal,tech_weighted_signal,tech_recommendation,tech_weight,valuation_signal,valuation_weighted_signal,valuation_recommendation,valuation_weight,issue_signal,issue_weighted_signal,issue_recommendation,issue_weight,macro_signal,macro_weighted_signal,macro_recommendation,macro_weight
2025-08,반도체,LX세미콘,108320,108320,매도,0.0121,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.5056,0.084267,보유,0.166667,-0.2571,-0.04285,매도,0.166667,0.0959,0.015983,보유,0.166667,0.0616,0.010267,매도,0.166667,0.6667,0.111117,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,미코,059090,059090,보유,0.0471,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.2616,0.0436,보유,0.166667,0.2971,0.049517,보유,0.166667,0.0431,0.007183,보유,0.166667,0.3295,0.054917,매수,0.166667,0.3514,0.058567,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,네패스,033640,033640,매수,0.0364,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,-0.2865,-0.04775,보유,0.166667,0.3143,0.052383,매수,0.166667,0.5316,0.0886,보유,0.166667,0.2675,0.044583,매수,0.166667,0.3913,0.065217,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,넥스틴,348210,348210,보유,0.0036,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.6315,0.10525,보유,0.166667,-0.0857,-0.014283,매수,0.166667,0.231,0.0385,보유,0.166667,-0.3918,-0.0653,보유,0.166667,0.6364,0.106067,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,피에스케이,319660,319660,매도,0.0517,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.7231,0.120517,보유,0.166667,-0.1143,-0.01905,보유,0.166667,0.0748,0.012467,보유,0.166667,-0.0732,-0.0122,매도,0.166667,0.7,0.116667,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,SFA반도체,036540,036540,매도,-0.1287,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.1393,0.023217,보유,0.166667,-0.1685,-0.028083,보유,0.166667,0.0069,0.00115,보유,0.166667,-0.4167,-0.06945,매도,0.166667,0.6667,0.111117,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,솔브레인,357780,357780,보유,0.096,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.5838,0.0973,보유,0.166667,-0.0373,-0.006217,보유,0.166667,0.0128,0.002133,보유,0.166667,0.3244,0.054067,매수,0.166667,0.6923,0.115383,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,에스티아이,039440,039440,매도,-0.1773,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.3886,0.064767,보유,0.166667,-0.12,-0.02,보유,0.166667,-0.1801,-0.030017,보유,0.166667,-0.2432,-0.040533,매도,0.166667,0.0909,0.01515,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,티씨케이,064760,064760,매도,0.0535,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,0.6978,0.1163,보유,0.166667,0.1697,0.028283,보유,0.166667,0.2329,0.038817,보유,0.166667,-0.2411,-0.040183,매도,0.166667,0.4615,0.076917,보유,0.166667,-1.0,-0.166667,매도,0.166667
2025-08,반도체,텔레칩스,054450,054450,매도,-0.0953,2025-08-31,real_pipeline:chair:auditor_summary.quantitative_decision.dma,-0.1992,-0.0332,보유,0.166667,-0.116,-0.019333,보유,0.166667,0.2206,0.036767,보유,0.166667,-0.1139,-0.018983,보유,0.166667,0.6364,0.106067,보유,0.166667,-1.0,-0.166667,매도,0.166667
