year,sales,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,rnd,capex,ocf,fcf,interest_expense,roe,operating_margin,current_ratio_%,debt_ratio,interest_coverage,sales_growth
2021,270766567696.0,103400361685.0,81890628054.0,389705970637.0,50193523554.0,339512447083.0,274927628093.0,48768265224.0,,,,0,16635921.0,24.120066512312683,38.18800916407506,563.7428906486953,14.784000994735042,6215.48765980555,
2022,319562836196.0,127026641350.0,94056447998.0,480543059263.0,63669414182.0,416873645081.0,343235703465.0,62254946331.0,,,,0,19491840.0,22.562339718003642,39.750129540122664,551.3388472621411,15.273072532476553,6516.913813677928,18.021526407494083
2023,226652881531.0,66702958305.0,61244566663.0,495503750976.0,37233039232.0,458270711744.0,334493109270.0,35178759849.0,,,,0,27593519.0,13.364276855033353,29.42956553405955,950.8382635026527,8.124682262653343,2417.341488956157,-29.074080005978796
2024,275724843444.0,80747924196.0,71994036570.0,563519610069.0,47264861755.0,516254748314.0,405757965821.0,44574894545.0,,,,0,31971330.0,13.94544782495856,29.285690468584846,910.2836248134528,9.155336955129028,2525.6354426293806,21.65071168807897
