year,sales,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,rnd,capex,ocf,fcf,interest_expense,roe,operating_margin,current_ratio_%,debt_ratio,interest_coverage,sales_growth
2022,219427343415.0,10782148304.0,3026880895.0,271484334011.0,178197116665.0,93287217346.0,146550536765.0,107439760132.0,,2569132806,23229425948,20660293142,10137430951.0,3.2446898740406986,4.913766960942451,136.40251670791957,191.01986503045885,1.0635977059785944,
2023,113358801071.0,-16045371389.0,-27953305947.0,299357556444.0,189607366268.0,109750190176.0,161131471043.0,184184425932.0,11716909000.0,9224182272,-12012307421,-21236489693,17553718681.0,-25.469938505047608,-14.154499904202677,87.48376537682341,172.76267673335025,-0.9140724925919759,-48.33879893600771
2024,276973239785.0,24184336150.0,14429041663.0,325722744968.0,138449074535.0,187273670433.0,182932872890.0,131755574781.0,9007769000.0,13813853457,20413373710,6599520253,16584126800.0,7.704789268901637,8.731650815354238,138.84260547917256,73.92874514334477,1.4582821538725814,144.33324732459317
2025,310384726014.0,29629435023.0,18189648458.0,383387868522.0,159648759353.0,223739109169.0,241183348333.0,134272412001.0,10509532000.0,10130151698,25146673728,15016522030,9028773803.0,8.129847537857387,9.54603514274203,179.6224144176421,71.35487396278594,3.2816676626847157,12.063073766597675
