left_source_index,right_source_index,similarity
3,4,0.9367
20,22,0.7627
20,21,0.645
21,22,0.6235
3,19,0.3465
2,10,0.3388
8,9,0.3289
4,19,0.3273
7,12,0.3255
7,11,0.3118
3,23,0.3054
4,23,0.3024
3,7,0.2893
4,7,0.2891
11,20,0.2731
19,23,0.268
11,12,0.2656
19,22,0.2643
11,22,0.262
3,22,0.2536
