application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020200124630,1020210036850,,거절,거절,수분산된 세륨옥사이드 플레이크를 포함하는 자외선 차단제 조성물,솔브레인 주식회사
1020200165826,1020220019600,,공개,공개,식각 조성물 및 이를 이용한 반도체 소자의 제조방법,솔브레인 주식회사
1020250081561,1020250180149,,공개,공개,"전해액 첨가제, 이를 포함하는 전지용 전해액 및 이를 포함하는 이차전지",솔브레인 주식회사
1020240144728,1020250180099,,공개,공개,"전해액 첨가제, 이를 포함하는 전지용 전해액 및 이차전지",솔브레인 주식회사
1020200142869,1020220057819,,공개,공개,유기 황 화합물의 인시츄 제조방법,솔브레인 주식회사
1020220184375,1020240102388,,공개,공개,"전해액 첨가제, 이를 포함하는 전지용 전해액 및 이를 포함하는 이차전지",솔브레인 주식회사
1020100036364,1020110116761,1018254930000,등록,등록,금속 배선용 식각액 조성물 및 이를 이용한 박막 트랜지스터 표시판의 제조방법,삼성디스플레이 주식회사|솔브레인홀딩스 주식회사
1020200077334,1020210158678,1028987930000,등록,등록,"박막 형성용 프리커서, 이의 제조방법 및 이를 포함하는 박막 제조 방법",솔브레인 주식회사
1020200046599,1020210036783,,거절,거절,폴리하이드록시스테아르산으로 표면개질된 세륨옥사이드 입자를 포함하는 자외선 차단제 조성물 및 이의 제조방법,솔브레인 주식회사
1020200046778,1020210036787,,거절,거절,세륨옥사이드 플레이크 및 유기 자외선 차단제를 포함하는 자외선 차단제 조성물,솔브레인 주식회사
1020200046603,1020210036786,,거절,거절,세륨옥사이드 플레이크 및 표면개질된 세륨옥사이드 입자를 포함하는 자외선 차단제 조성물,솔브레인 주식회사
1020200046600,1020210036784,,거절,거절,실리콘 유도체로 표면개질된 세륨옥사이드 입자를 포함하는 자외선 차단제 조성물 및 이의 제조방법,솔브레인 주식회사
1020150155005,1020170052906,1025049130000,등록,등록,전해질 및 이를 포함하는 리튬 이차 전지,솔브레인 주식회사
1020150061948,1020160129585,1024993930000,등록,등록,리튬 이차 전지용 전해액 및 이를 포함하는 리튬 이차 전지,솔브레인 주식회사
1020090115471,1020110058924,1011075450000,등록,등록,구리막의 패턴 형성을 위한 식각액 조성물,솔브레인홀딩스 주식회사
1020200140447,,1023556990000,등록,등록,유기 황 화합물의 제조방법,솔브레인 주식회사
1020140188442,1020160006096,,취하,취하,전해질 및 이를 포함하는 리튬 이차 전지,솔브레인홀딩스 주식회사
1020130157712,1020150026717,,취하,취하,전해액 및 이를 포함하는 리튬 이차 전지,솔브레인홀딩스 주식회사
