source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020220029487,87931179,,US,US,US,,202318118541,20230307,2023290795,20230914,,,202318118541,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020240033749,96697859,,CN,CN,CN,,202410483554,20240422,120659402,20250916,,,202410483554,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020240033749,96697859,,JP,JP,JP,,2024064984,20240412,7721851,20250813,,,2024064984,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020240033749,96697859,,JP,JP,JP,,2024064984,20240412,2025138536,20250925,,,2024064984,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020240033749,96697859,,US,US,US,,202418660576,20240510,2025287706,20250911,,,202418660576,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230015422,92119105,,US,US,US,,202318316291,20230512,2024267043,20240808,,,202318316291,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230015422,92119105,,US,US,US,,202318316291,20230512,12206396,20250121,,,202318316291,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220048639,88414751,,US,US,US,,202318180840,20230308,2023343870,20231026,,,202318180840,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230099421,94387831,,US,US,US,,202318467880,20230915,2025046649,20250206,,,202318467880,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170115697,65631921,,CN,CN,CN,,201821484302,20180911,208908500,20190528,,,201821484302,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020170115697,65631921,,US,US,US,,201816127897,20180911,10735867,20200804,,,201816127897,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170115697,65631921,,US,US,US,,201816127897,20180911,2019082271,20190314,,,201816127897,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020160121820,61686628,,US,US,US,,201715712782,20170922,2018090562,20180329,,,201715712782,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020180008940,67298578,,US,US,US,,201916255118,20190123,10910493,20210202,,,201916255118,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020180008940,67298578,,US,US,US,,201916255118,20190123,2019229213,20190725,,,201916255118,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170087879,64999273,,CN,CN,CN,,201821099587,20180711,208570610,20190301,,,201821099587,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020170087879,64999273,,US,US,US,,201816031685,20180710,2019019822,20190117,,,201816031685,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170087879,64999273,,US,US,US,,201816031685,20180710,10497736,20191203,,,201816031685,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220047299,88307138,,US,US,US,,202318171657,20230220,12433005,20250930,,,202318171657,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220047299,88307138,,US,US,US,,202318171657,20230220,2023335611,20231019,,,202318171657,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020180013236,67475713,,US,US,US,,201916265510,20190201,10840370,20201117,,,201916265510,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020180013236,67475713,,US,US,US,,201916265510,20190201,2019245081,20190808,,,201916265510,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170120910,65721137,,US,US,US,,201816135459,20180919,2019088780,20190321,,,201816135459,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170170918,66697286,,US,US,US,,201816218978,20181213,11049938,20210629,,,201816218978,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170170918,66697286,,US,US,US,,201816218978,20181213,2019181227,20190613,,,201816218978,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230068165,93565199,,US,US,US,,202318353697,20230717,2024395599,20241128,,,202318353697,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230070955,93652710,,US,US,US,,202318358100,20230725,2024405119,20241205,,,202318358100,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230114744,94772809,,US,US,US,,202318493076,20231024,2025081478,20250306,,,202318493076,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170118743,64678984,,CN,CN,CN,,201820547540,20180417,208271547,20181221,,,201820547540,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020170118743,64678984,,US,US,US,,201815866333,20180109,10403226,20190903,,,201815866333,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020170118743,64678984,,US,US,US,,201815866333,20180109,2019088230,20190321,,,201815866333,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220133652,90626967,,US,US,US,,202318301303,20230417,2024128260,20240418,,,202318301303,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220127497,90573553,,US,US,US,,202318191296,20230328,2024120418,20240411,,,202318191296,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220032769,88067665,,US,US,US,,202318122118,20230315,2023301216,20230921,,,202318122118,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020240042320,97175481,,US,US,US,,202418662597,20240513,2025311362,20251002,,,202418662597,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220134680,90883809,,US,US,US,,202318304414,20230421,2024136404,20240425,,,202318304414,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220134680,90883809,,US,US,US,,202318304414,20230421,2024234510,20240711,,,202318304414,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230009484,91953082,,US,US,US,,202318311102,20230502,2024250168,20240725,,,202318311102,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230015999,92119064,,US,US,US,,202318316273,20230512,2024266436,20240808,,,202318316273,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230015999,92119064,,US,US,US,,202318316273,20230512,12471309,20251111,,,202318316273,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230005849,91853882,,US,US,US,,202318319058,20230517,2024243007,20240718,,,202318319058,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230041618,92897300,,US,US,US,,202318332795,20230612,2024332375,20241003,,,202318332795,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230001936,91760844,,US,US,US,,202318137331,20230420,2024234499,20240711,,,202318137331,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020180090424,69229044,,US,US,US,,201816215017,20181210,2020044079,20200206,,,201816215017,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020180090424,69229044,,US,US,US,,201816215017,20181210,10763358,20200901,,,201816215017,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020080122538,42230180,,US,US,US,,62900009,20091201,2010140806,20100610,,,62900009,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020080136741,42283817,,JP,JP,JP,,2009290165,20091222,2010157720,20100715,,,2009290165,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020080136741,42283817,,US,US,US,,64301409,20091221,8133790,20120313,,,64301409,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020080136741,42283817,,US,US,US,,64301409,20091221,2010163986,20100701,,,64301409,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020080136741,42283817,,TW,TW,TW,,98143231,20091216,201027633,20100716,,,98143231,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020080111420,42164416,,CN,CN,CN,,200910221300,20091111,101740595,20100616,,,200910221300,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020080111420,42164416,,US,US,US,,61271609,20091105,2010117173,20100513,,,61271609,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020080111420,42164416,,US,US,US,,61271609,20091105,8173480,20120508,,,61271609,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
