run_id,row_count,agents,output_kinds,first_created_at,last_created_at
chair_db_only_2025-05-01_20260518_085442,120,"auditor,chair","auditor_chair_packet_json,chair_agent_packet_json,chair_json,chair_report_md",2026-05-18T08:54:45,2026-05-18T08:58:17
chair_db_only_2025-05-01_20260518_085415,8,"auditor,chair","auditor_chair_packet_json,chair_agent_packet_json,chair_json,chair_report_md",2026-05-18T08:54:19,2026-05-18T08:54:27
chair_db_only_2025-05-01_20260518_084002,90,chair,"chair_agent_packet_json,chair_json,chair_report_md",2026-05-18T08:40:05,2026-05-18T08:42:09
chair_db_only_2025-05-01_20260518_083835,6,chair,"chair_agent_packet_json,chair_json,chair_report_md",2026-05-18T08:38:56,2026-05-18T08:39:07
