left_source_index,right_source_index,similarity
16,18,1.0
3,17,0.6186
3,19,0.471
11,13,0.3098
17,19,0.2619
8,27,0.2038
12,20,0.2017
25,26,0.1781
7,27,0.1691
4,27,0.1509
7,8,0.1504
21,23,0.1421
0,27,0.1372
0,8,0.1331
3,12,0.1287
27,28,0.1272
12,19,0.1221
12,17,0.1207
5,16,0.1138
5,18,0.1138
