left_source_index,right_source_index,similarity
10,15,0.6298
9,25,0.4329
9,16,0.4288
16,25,0.3493
10,18,0.3468
20,24,0.3077
5,24,0.2613
12,22,0.2358
13,20,0.2121
5,20,0.2103
15,18,0.2006
15,17,0.166
13,24,0.1505
4,12,0.1353
0,15,0.1278
17,22,0.1266
10,12,0.1256
6,12,0.119
12,15,0.1095
4,22,0.1064
