날짜,시가,고가,저가,종가,거래량,시가총액,수익률,시장수익률,이상수익률,최대낙폭,20일이동평균,60일이동평균,20일이평비율,60일이평비율,VIX,VKOSPI,EPS,PSR,누적이상수익률_3일,누적이상수익률_5일,기관_순매매,외국인_순매매,보유주수,보유율_%
2023-08-16,9194.331638730806,9312.33375601933,9007.494953023977,9125.4970703125,86762,96402900863.41211,-0.01276604421350136,-0.017593352657915062,0.004827308444413703,-0.16546765738169023,9594.064306640625,10184.5666015625,0.9511607154849065,0.8960123122875432,16.780000686645508,,135.78380388495935,14.749133882957375,-0.014444938510580263,-0.020972005901940594,4600.0,-11171.0,175704.0,1.99
2023-08-17,8958.327915445963,9725.341721598308,8889.493343098959,9440.169921875,207317,99727144516.09766,0.034482817663292975,-0.002292407139627861,0.036775224802920836,-0.13669063077706237,9562.105419921874,10162.113427734375,0.9872480491803791,0.9289573462259286,17.889999389648438,,135.78380388495935,14.749133882957375,0.02558753796012536,0.01754931623347855,5000.0,-2021.0,173683.0,1.97
2023-08-18,9391.002341922753,9686.007651093101,9194.332135809187,9459.8369140625,100368,99934909099.60742,0.0020833303161129635,-0.006091670957144357,0.00817500127325732,-0.13489207219597588,9525.721435546875,10142.118619791667,0.9930835137338243,0.9327278913502609,17.299999237060547,,135.78380388495935,14.749133882957375,0.04977753452059186,0.030505287565597894,5000.0,6151.0,179814.0,2.04
2023-08-21,9450.003876841576,9489.337920033424,9292.667704074182,9469.6708984375,77378,100038796549.62695,0.0010395511534011526,0.001716929058943828,-0.0006773779055426754,-0.13399274825181076,9500.64599609375,10123.598844401042,0.9967396851046776,0.9354055849096388,17.1299991607666,,135.78380388495935,14.749133882957375,0.04427284817063548,0.03308516132784001,2001.0,1182.0,180785.0,2.05
2023-08-22,9469.670144617872,9528.67120470895,9312.333984375,9312.333984375,54276,98376669565.01953,-0.01661482386768698,0.0027662393459739754,-0.019381063213660954,-0.1483813062077466,9479.503955078126,10103.44013671875,0.9823651140929612,0.92169932798744,16.969999313354492,,135.78380388495935,14.749133882957375,-0.011883439845946309,0.02971909340138823,6488.0,-9125.0,171476.0,1.94
2023-08-23,9312.334722572245,9371.33578734039,9095.997485089047,9145.1650390625,91429,96610675763.45117,-0.017951347706492204,-0.0040703690660103264,-0.013880978640481878,-0.16366900949336002,9463.770361328125,10081.478645833333,0.9663342082382362,0.9071253692375959,15.979999542236328,,135.78380388495935,14.749133882957375,-0.03393941975968551,0.01101080631649265,3761.0,13958.0,185414.0,2.1
2023-08-24,9194.332332047732,9351.668500296677,9194.332332047732,9322.16796875,29497,98480557015.03906,0.01935480977450399,0.012843716479993939,0.006511093294510051,-0.1474819822635815,9488.354150390625,10059.18935546875,0.9824852467554888,0.9267315326639056,17.200000762939453,,135.78380388495935,14.749133882957375,-0.02675094855963278,-0.019253325191918136,1282.0,3627.0,189041.0,2.14
2023-08-25,9204.166222185864,9459.83750613547,9204.166222185864,9391.0029296875,38311,99207738215.58789,0.0073840077939220095,-0.0073059012806685475,0.014689909074590557,-0.14118698257615686,9491.7958984375,10042.472395833332,0.9893810433948973,0.935128577857368,15.680000305175781,,135.78380388495935,14.749133882957375,0.00732002372861873,-0.0127384173905849,5000.0,-4259.0,184782.0,2.09
2023-08-28,9391.002370198568,9548.33853556315,9341.834818522135,9440.169921875,56353,99727144516.09766,0.005235542205196175,0.009634248420563818,-0.004398706215367643,-0.13669063077706248,9491.304248046876,10025.919319661458,0.9946125079509069,0.9415764899845377,15.079999923706055,,135.78380388495935,14.749133882957375,0.016802296153732965,-0.016459745700409867,10000.0,18617.0,203399.0,2.31
2023-08-29,9440.169697745901,9646.673409884093,9440.169697745901,9597.505859375,58916,101389261184.17578,0.016666642528903708,0.0034402633874863753,0.013226379141417333,-0.12230216212837046,9477.5373046875,10008.382877604166,1.0126581991535042,0.9589467126453975,14.449999809265137,,135.78380388495935,14.749133882957375,0.023517582000640247,0.01614769665466842,7307.0,10242.0,213711.0,2.42
2023-08-30,9558.171763392857,9813.843024553571,9499.170703124999,9636.83984375,67763,101804790351.19531,0.00409835481752574,0.003549957254152636,0.0005483975633731042,-0.11870504496619734,9469.17880859375,9993.468717447917,1.0177059741446735,0.964313804967912,13.880000114440918,,135.78380388495935,14.749133882957375,0.009376070489422794,0.030577072858523402,7000.0,41.0,214047.0,2.43
2023-08-31,9646.673713583798,9843.343921811806,9548.338609469793,9725.341796875,42766,102739736135.2539,0.009183711108615933,-0.0019326536683672568,0.01111636477698319,-0.11061148669768622,9469.670458984376,9979.701806640625,1.026998968865707,0.9745122635231074,13.569999694824219,,135.78380388495935,14.749133882957375,0.024891141481773627,0.03518234434099654,771.0,-1004.0,213043.0,2.41
2023-09-01,9686.0068359375,9774.508421240482,9597.505250634518,9686.0068359375,56141,102324196651.70508,-0.004044583908623056,0.00291046773204906,-0.006955051640672116,-0.11420869316710294,9470.162109375,9966.590445963542,1.0227920836063433,0.9718475830277867,13.09000015258789,,135.78380388495935,14.749133882957375,0.0047097106996841775,0.013537383625733868,10923.0,-2384.0,210659.0,2.39
