year,sales,operating_income,net_income,total_assets,total_liabilities,total_equity,rnd,capex,ocf,fcf,interest,amort_cogs,amort_sga,amort_total,ROE,영업이익률,부채비율,이자보상배율
2021,136412498512.0,8077364494.0,7031402158.0,207258706858.0,100981979393.0,106276727465.0,,14155898925,12735076148,-1420822777,1616319202.0,,,,6.616125962587288,5.9212789019398,95.01796094187817,4.997382004745867
2022,150404311782.0,9180253639.0,45897422695.0,310172455065.0,140502519150.0,169669935915.0,,22242186064,-7325826839,-29568012903,1794748654.0,,,,27.0510049099054,6.1037170611877825,82.80931939550442,5.11506367119415
2023,191094718185.0,16777001456.0,62638246233.0,374790992226.0,128593931575.0,246197060651.0,1056119038.0,3240696868,7828911005,4588214137,3217144653.0,,,,25.442320906419635,8.779416624041946,52.23211488998647,5.214873207630058
2024,186615513099.0,4874251656.0,-38559807022.0,377882056447.0,176140255487.0,201741800960.0,1056119038.0,22471198345,5747822808,-16723375537,885107725.0,,,,-19.113444431699794,2.611922007477587,87.30974674005408,5.50695866539861
2025,192802105423.0,-6189468061.0,-61632672813.0,367539039334.0,224563422453.0,142975616881.0,1056119038.0,24341229378,-9136468047,-33477697425,1022345987.0,,,,-43.10712145015431,-3.210269953961632,157.06413957276808,-6.054181402093184
