fiscal_year,revenue,operating_profit,net_income,total_assets,total_liabilities,equity,cash_and_equivalents,operating_cash_flow,capex,fcf,investing_cf,source_account_count,revenue_source_account,operating_profit_source_account,net_income_source_account,assets_source_account,liabilities_source_account,equity_source_account,cfo_source_account,capex_source_account,cash_source_account,ebit,ebitda,source
2021,207584466664.0,54062137444.0,47166344546.0,533494570498.0,271083697692.0,262410872806.0,,,,0.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,54062137444.0,,valuation_intake_normalized_or_dart
2022,277655937555.0,67169269292.0,52333033783.0,767016734136.0,457182712027.0,309834022109.0,,,,0.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,67169269292.0,,valuation_intake_normalized_or_dart
2023,338652254525.0,60778799323.0,49077381672.0,763115310220.0,359477895356.0,403637414864.0,,,,0.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,60778799323.0,,valuation_intake_normalized_or_dart
2024,373117930000.0,37923282000.0,36781312000.0,787696560000.0,350030052000.0,437666508000.0,,219237154000.0,183592765000.0,35644389000.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,37923282000.0,,valuation_intake_normalized_or_dart
