fiscal_year,revenue,operating_profit,net_income,total_assets,total_liabilities,equity,cash_and_equivalents,operating_cash_flow,capex,fcf,investing_cf,source_account_count,revenue_source_account,operating_profit_source_account,net_income_source_account,assets_source_account,liabilities_source_account,equity_source_account,cfo_source_account,capex_source_account,cash_source_account,ebit,ebitda,source
2021,1232302198954.0,164128988758.0,145116947236.0,1167585591415.0,366545866913.0,801039724502.0,,137290457928.0,100863199344.0,36427258584.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,164128988758.0,,valuation_intake_normalized_or_dart
2022,1011484981702.0,97554876588.0,89438212718.0,1121670538661.0,251943234499.0,869727304162.0,,28026783322.0,75378160076.0,-47351376754.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,97554876588.0,,valuation_intake_normalized_or_dart
2023,690337586778.0,-18074991250.0,-13507700947.0,1084862841788.0,218160246280.0,866702595508.0,,-12315183037.0,64566846697.0,-76882029734.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,-18074991250.0,,valuation_intake_normalized_or_dart
2024,748176487524.0,10641636214.0,20748346848.0,1124147065791.0,236686893210.0,887460172581.0,,78280504451.0,31756103666.0,46524400785.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,10641636214.0,,valuation_intake_normalized_or_dart
