left_source_index,right_source_index,similarity
0,19,0.6421
4,25,0.4936
7,11,0.2567
5,18,0.2401
20,28,0.2162
10,17,0.1913
1,24,0.153
27,29,0.1382
1,11,0.1281
7,24,0.1279
4,14,0.1243
2,10,0.1211
19,22,0.1184
21,27,0.114
1,7,0.1128
11,24,0.112
17,24,0.1119
13,24,0.105
10,27,0.1032
18,26,0.1003
