date,open,high,low,close,volume,market_cap,return,market_return,abnormal_return,mdd,ma20,ma60,ma20_ratio,ma60_ratio,vix,vkospi,eps,psr,car_3,car_5,inst_net_buy,foreign_net_buy,foreign_holding_shares,foreign_holding_pct
2021-04-01,20972.647405011016,21488.752822136565,20831.891382158592,21301.078125,323175,392578869843.75,0.04128435374149664,0.008486251847749982,0.032798101893746656,-0.048218003736211476,20013.16171875,18484.394921875,1.0643534701987327,1.1523816827669946,17.329999923706055,13.54,,,0.017625254007237134,-0.03565807129680432,33380.0,-37199.0,346611.0,3.72
2021-04-02,21723.34694908405,22192.533708243536,21488.75356950431,21770.265625,306228,401225995468.75,0.022026467263614125,0.008227034814988876,0.013799432448625248,-0.027253608753409788,20214.91201171875,18579.79619140625,1.0769409044362697,1.1717171383757936,17.329999923706055,13.54,,,0.038054462031373304,0.012969740184992085,31584.0,-27221.0,319600.0,3.43
2021-04-05,22333.290021658417,24116.199729269803,22098.69663907797,23693.931640625,762072,436679160136.71875,0.08836208288685032,0.0025796804070015167,0.08578240247984881,0.0,20524.57529296875,18711.16847330729,1.154417633613203,1.2662988778293536,17.90999984741211,13.54,,,0.1323799368222207,0.11720708893571119,80730.0,125636.0,447391.0,4.8
2021-04-06,24210.03656979572,25195.328755775776,23647.0124635214,24116.19921875,607240,444461551601.5625,0.01782176063178098,0.0020026723158714788,0.015819088315909502,0.0,20871.7734375,18840.19480794271,1.1554456208987391,1.2800398013179257,18.1200008392334,13.54,,,0.11540092324438356,0.1396559528271316,8460.0,-33670.0,415511.0,4.46
2021-04-07,24491.54889275046,25570.678441664753,23881.606104233684,25523.759765625,522775,470402892480.46875,0.058365770414628315,0.003303348083931734,0.05506242233069658,0.0,21279.96591796875,18997.372395833332,1.1994267220171062,1.3435415821623358,17.15999984741211,13.54,,,0.1566639131264549,0.2032614474688268,21122.0,23840.0,432607.0,4.64
2021-04-08,25570.680965976862,25617.599646648378,24350.795268517413,24585.388671875,395771,453108713222.65625,-0.036764610792716534,0.0018646264976949212,-0.038629237290411456,-0.03676461079271657,21573.20771484375,19145.9482421875,1.1396260118961667,1.2841039974035793,16.950000762939453,13.54,,,0.03225227335619463,0.13183410828466868,-12829.0,-79647.0,357290.0,3.83
2021-04-09,24819.98171064269,25523.76191037736,24538.469630748823,24866.900390625,237054,458296974199.21875,0.011450366821820435,-0.003620485393435069,0.015070852215255504,-0.025735212250534163,21864.103515625,19301.561865234376,1.1373391263380215,1.2883361752923639,16.690000534057617,13.54,,,0.03150403725554063,0.13310552805129894,-7934.0,707.0,360913.0,3.87
2021-04-12,24960.736543594307,26509.05290814057,24538.4684441726,26368.296875,443854,485967711406.25,0.0603773072152185,0.0011846575274123694,0.05919264968780613,0.0,22230.069140625,19479.85284830729,1.186154514778925,1.353618894369178,16.90999984741211,13.54,,,0.03563426461265018,0.10651577525925626,-8635.0,-1704.0,359193.0,3.85
2021-04-13,26368.295155957396,26509.051179921582,24679.222868387173,25054.572265625,508983,461755766855.46875,-0.04982212600240232,0.010680602150042073,-0.060502728152444396,-0.04982212600240229,22467.0083984375,19632.338525390624,1.1151717140661885,1.2761888876978038,16.649999618530273,13.54,,,0.013760773750617239,0.030193958790902364,-18975.0,-43254.0,315617.0,3.39
2021-04-14,24819.979056320622,25195.328456038136,24256.95495674435,24913.81640625,260567,459161636367.1875,-0.005617970958862406,0.0041967398612940965,-0.009814710820156503,-0.055160197704274355,22699.25576171875,19782.478271484375,1.0975609362605625,1.2593880334074339,16.989999771118164,13.54,,,-0.011124789284794767,-0.03468317435995072,11989.0,-888.0,314564.0,3.38
