year,sales,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,rnd,capex,ocf,fcf,interest_expense,roe,operating_margin,current_ratio_%,debt_ratio,interest_coverage,sales_growth
2021,304487495915.0,46406987615.0,38970170642.0,206243424515.0,54879817695.0,151363606820.0,142215175118.0,50358905379.0,,12507498658,25550968576,13043469918,124132051.0,25.74606370760107,15.241015883277804,282.40322947389694,36.256943692061,373.8517751148734,
2022,312847806399.0,56941198199.0,47601992003.0,251831461020.0,50483188213.0,201348272807.0,178862203312.0,43245956020.0,,6964306082,31483896813,24519590731,211244747.0,23.641619239827463,18.200926148217356,413.59289925116104,25.07257077958154,269.5508362108526,2.745699116108802
2023,279215395450.0,42538138186.0,36937263561.0,279780462641.0,46679663926.0,233100798715.0,183765737893.0,40415843527.0,,21003798827,47445747808,26441948981,92047528.0,15.846047617434907,15.234882774799372,454.68737469313095,20.025527232565494,462.1323256611519,-10.750406511115463
2024,346227651802.0,59081495358.0,45862225124.0,334828453070.0,66534901575.0,268293551495.0,207147387096.0,60122421454.0,,19602771278,54407810220,34805038942,298631179.0,17.094046751568946,17.064349150190758,344.5426549469396,24.799292120235684,197.8410143101635,24.000201079170115
