left_source_index,right_source_index,similarity
1,8,0.8159
1,4,0.7734
4,8,0.7147
6,9,0.6866
1,9,0.6058
1,2,0.6043
2,8,0.581
1,6,0.5784
0,7,0.5601
8,9,0.5586
4,9,0.5576
4,6,0.5447
6,8,0.5418
2,4,0.5324
0,4,0.5254
2,9,0.5218
0,1,0.513
0,8,0.4959
1,16,0.4894
2,6,0.489
