application_number,open_number,register_number,register_status,final_disposal,invention_title,right_holder
1020130073300,1020150000768,1020708710000,등록,등록,디스플레이 구동회로 및 디스플레이 장치,주식회사 엘엑스세미콘
1020200172277,1020220082399,1028952040000,등록,등록,데이터구동장치 및 데이터구동장치의 패널 구동 방법,주식회사 엘엑스세미콘
1020210131771,1020230048856,1028958780000,등록,등록,디스플레이 장치의 타이밍 컨트롤러,주식회사 엘엑스세미콘
1020200178629,1020220088018,1028957020000,등록,등록,터치 디스플레이 장치 및 그 구동 방법,주식회사 엘엑스세미콘
1020200165519,1020220076731,1028956390000,등록,등록,디스플레이 구동장치 및 디스플레이 구동방법,주식회사 엘엑스세미콘
1020200166598,1020220077553,1028952090000,등록,등록,무라 보상을 위한 무라 보상장치 및 데이터처리회로,주식회사 엘엑스세미콘
1020210183618,1020230094431,1028956380000,등록,등록,백라이트 유닛 제어 시스템 및 방법,주식회사 엘엑스세미콘
1020190172905,1020210080870,1028959480000,등록,등록,"메모리 장치를 제어하는 타이밍 컨트롤러와 이의 동작 방법, 및 이를 포함하는 전자 장치",주식회사 엘엑스세미콘
1020210185133,1020230095545,1028959080000,등록,등록,디스플레이 드라이버 집적회로 및 디스플레이 드라이버 집적회로의 동작 방법,주식회사 엘엑스세미콘
1020220152512,1020240070963,,공개,공개,터치 센싱 장치 및 터치 센싱 방법,주식회사 엘엑스세미콘
1020180088352,1020200013319,1025527460000,등록,등록,터치구동장치 및 디스플레이장치,주식회사 엘엑스세미콘
1020220157318,1020240075394,,공개,공개,터치 센싱 장치 및 터치 센싱 방법,주식회사 엘엑스세미콘
1020220181813,1020230098057,,공개,공개,주파수 제어 회로 및 주파수 제어 방법,주식회사 엘엑스세미콘
1020230101078,1020250019907,,공개,공개,디스플레이 구동 장치 및 디스플레이 구동 방법,주식회사 엘엑스세미콘
1020200136143,1020220052142,1027635230000,등록,등록,"화면의 결함 보상을 위한 보상식의 계수값 압축 장치 및 방법 그리고, 압축값들을 이용하는 디스플레이 데이터의 보상 회로",주식회사 엘엑스세미콘
1020230104770,1020250023715,,공개,공개,디스플레이 구동 방법 및 디스플레이 구동 장치,주식회사 엘엑스세미콘
1020230104740,1020250023705,,공개,공개,디스플레이 구동 방법 및 디스플레이 구동 장치,주식회사 엘엑스세미콘
1020200074703,1020210156982,1027664200000,등록,등록,디스플레이 구동 장치,주식회사 엘엑스세미콘
1020230094577,1020250014489,,공개,공개,전력반도체 소자 및 전력반도체 장치,주식회사 엘엑스세미콘
1020230094912,1020230113267,1027547230000,등록,등록,화면 내 예측 방법 및 장치,주식회사 엘엑스세미콘
1020230094909,1020230113265,1027550690000,등록,등록,화면 내 예측 방법 및 장치,주식회사 엘엑스세미콘
1020240050746,1020250009897,,공개,공개,소스 드라이버와 그 제어 방법,주식회사 엘엑스세미콘
1020230091366,1020250011013,,공개,공개,전력반도체 소자 및 이를 포함하는 전력변환 장치와 전력반도체 소자의 제조방법,주식회사 엘엑스세미콘
1020240005815,1020250009887,,공개,공개,백라이트 화소 구동 회로,주식회사 엘엑스세미콘
1020250003599,1020250010740,,공개,공개,화면 내 예측 방법 및 장치,주식회사 엘엑스세미콘
1020250003598,1020250011994,,공개,공개,화면 내 예측 방법 및 장치,주식회사 엘엑스세미콘
1020230094910,1020230113266,1027547220000,등록,등록,화면 내 예측 방법 및 장치,주식회사 엘엑스세미콘
1020180171297,1020200081133,1027516660000,등록,등록,전류구동방식의 터치센싱장치 및 터치센싱장치 구동방법,주식회사 엘엑스세미콘
1020200054902,1020210136531,1027522940000,등록,등록,저전력 모드를 지원하는 디스플레이 구동장치 및 디스플레이 구동방법,주식회사 엘엑스세미콘
1020190172325,1020210079999,1027514690000,등록,등록,노이즈를 센싱하는 터치센싱장치 및 이를 포함하는 표시장치,주식회사 엘엑스세미콘
1020190056354,1020190139759,1027516670000,등록,등록,세이프티 정보 무선 송수신 시스템 및 방법,주식회사 엘엑스세미콘
1020240047254,1020250006715,,공개,공개,영상 보상 장치 및 디스플레이 구동 장치,주식회사 엘엑스세미콘
1020240180302,1020250003401,,공개,공개,"영상 부호화/복호화 방법, 장치 및 비트스트림을 저장한 기록 매체",주식회사 엘엑스세미콘
1020240180756,1020250003406,,공개,공개,영상 부호화/복호화 방법 및 장치,주식회사 엘엑스세미콘
1020240181352,1020250002027,,공개,공개,"영상 부호화/복호화 방법, 장치 및 비트스트림을 저장한 기록 매체",주식회사 엘엑스세미콘
1020190167533,1020210076394,1027511450000,등록,등록,디지털아날로그컨버터 및 이를 포함하는 데이터구동장치,주식회사 엘엑스세미콘
1020240180755,1020250003405,,공개,공개,영상 부호화/복호화 방법 및 장치,주식회사 엘엑스세미콘
1020240047253,1020250006714,,공개,공개,영상 보상 장치 및 디스플레이 구동 장치,주식회사 엘엑스세미콘
1020240180754,1020250003404,,공개,공개,영상 부호화/복호화 방법 및 장치,주식회사 엘엑스세미콘
1020240181354,1020250002029,,공개,공개,"영상 부호화/복호화 방법, 장치 및 비트스트림을 저장한 기록 매체",주식회사 엘엑스세미콘
1020240180541,1020250003402,,공개,공개,화면 내 예측 방법 및 장치,주식회사 엘엑스세미콘
1020210017540,1020210111154,1027526410000,등록,등록,엘이디 구동 장치 및 방법,주식회사 엘엑스세미콘
1020240180753,1020250003403,,공개,공개,영상 부호화/복호화 방법 및 장치,주식회사 엘엑스세미콘
