year,sales,operating_income,net_income,total_assets,total_liabilities,total_equity,current_assets,current_liabilities,rnd,capex,ocf,fcf,interest_expense,roe,operating_margin,current_ratio_%,debt_ratio,interest_coverage,sales_growth
2021,445803726054.0,94084940603.0,76728411521.0,413262217895.0,124191260092.0,289070957803.0,321166418090.0,111131066850.0,,9576081271,114603470770,105027389499,4838718244.0,26.543106268492707,21.104565777362644,288.9978717863807,42.96220590123604,19.444186633446805,
2022,460909201007.0,91842998729.0,77443254531.0,472649339864.0,119341821898.0,353307517966.0,383950967173.0,100917650989.0,,15120389236,46284494056,31164104820,18324428228.0,21.91950371643454,19.926484116251164,380.4596752007739,33.77845526329408,5.012052631943109,3.388368932378616
2023,351863805650.0,54118591422.0,52520188202.0,494393356491.0,101823749358.0,392569607133.0,353608678775.0,86122493918.0,,26124402786,50281470015,24157067229,10908075036.0,13.378567073891306,15.380550813411006,410.5880620592365,25.937756644391165,4.961332888102806,-23.658758627242914
2024,398050977575.0,83924423263.0,79128216285.0,569356264734.0,97639459052.0,471716805682.0,398573268975.0,81154312944.0,,27315322203,67241427193,39926104990,11436347154.0,16.77451711108698,21.083837998409923,491.1301131340153,20.698745068205607,7.338394168425223,13.126434484978699
