left_source_index,right_source_index,similarity
0,2,0.2528
6,24,0.2027
21,24,0.1978
9,26,0.1917
6,21,0.1916
6,20,0.1587
19,20,0.1495
20,24,0.143
12,24,0.1393
19,22,0.134
13,14,0.1316
6,12,0.1302
6,7,0.1255
0,24,0.1252
8,23,0.1218
7,29,0.1137
12,20,0.1002
0,12,0.1001
7,24,0.0982
7,26,0.0936
