left_source_index,right_source_index,similarity
15,18,0.9626
10,27,0.9012
25,35,0.87
10,24,0.7269
4,37,0.7217
24,27,0.7063
5,17,0.7047
23,25,0.6259
23,35,0.6185
0,8,0.5971
6,12,0.5488
8,30,0.5274
16,26,0.4535
23,26,0.3264
4,33,0.2929
33,37,0.2877
36,37,0.2682
13,14,0.2656
0,30,0.2588
4,36,0.227
