left_source_index,right_source_index,similarity
8,19,0.9718
6,28,0.9288
0,7,0.9263
0,27,0.9003
7,27,0.8682
12,14,0.8001
25,26,0.7684
12,15,0.74
14,15,0.7178
2,3,0.6124
14,20,0.5775
12,20,0.5266
15,20,0.5258
17,21,0.5087
11,14,0.4109
11,12,0.4003
11,20,0.393
11,15,0.3883
8,10,0.3628
15,18,0.362
