left_source_index,right_source_index,similarity
18,23,0.9942
7,12,0.8929
20,21,0.5159
0,1,0.5028
4,12,0.3206
4,7,0.3139
3,26,0.2883
4,14,0.2563
12,14,0.2485
9,11,0.2409
12,20,0.2389
7,14,0.238
7,20,0.2214
8,28,0.2039
12,21,0.1966
7,21,0.1903
1,3,0.1888
10,26,0.1837
3,10,0.1752
10,16,0.1728
