"index","mode","field","company_dir","company_name","components","max_patents","status","message","finished_at"
"1","All30","반도체","nepes","네패스","bibliographic","0","OK","","2026-05-20 18:00:09"
"2","All30","반도체","hanmi","한미반도체","bibliographic","0","OK","","2026-05-20 18:02:41"
"3","All30","반도체","hansol","한솔케미칼","bibliographic","0","OK","","2026-05-20 18:04:29"
"4","All30","반도체","duksan","덕산테코피아","bibliographic","0","OK","","2026-05-20 18:06:48"
"5","All30","반도체","ltc","엘티씨","bibliographic","0","OK","","2026-05-20 18:10:50"
"6","All30","반도체","dbhitek","DB하이텍","bibliographic","0","OK","","2026-05-20 18:13:44"
"7","All30","반도체","mico","미코","bibliographic","0","OK","","2026-05-20 18:15:40"
"8","All30","반도체","lxsemicon","LX세미콘","bibliographic","0","OK","","2026-05-20 18:17:24"
"9","All30","반도체","jeju_semicon","제주반도체","bibliographic","0","OK","","2026-05-20 18:19:19"
"10","All30","반도체","abov","어보브반도체","bibliographic","0","OK","","2026-05-20 18:21:55"
"11","All30","반도체","telechips","텔레칩스","bibliographic","0","OK","","2026-05-20 18:23:16"
"12","All30","반도체","coasia","코아시아","bibliographic","0","OK","","2026-05-20 18:24:38"
"13","All30","반도체","gaochips","가온칩스","bibliographic","0","OK","","2026-05-20 18:25:26"
"14","All30","반도체","wonik_ips","원익IPS","bibliographic","0","OK","","2026-05-20 18:26:53"
"15","All30","반도체","eugene_tech","유진테크","bibliographic","0","OK","","2026-05-20 18:28:00"
"16","All30","반도체","psk","피에스케이","bibliographic","0","OK","","2026-05-20 18:30:39"
"17","All30","반도체","tes","테스","bibliographic","0","OK","","2026-05-20 18:32:57"
"18","All30","반도체","gst","GST","bibliographic","0","OK","","2026-05-20 18:36:07"
"19","All30","반도체","sti","에스티아이","bibliographic","0","OK","","2026-05-20 18:38:53"
"20","All30","반도체","nextin","넥스틴","bibliographic","0","OK","","2026-05-20 18:40:02"
"21","All30","반도체","soulbrain","솔브레인","bibliographic","0","OK","","2026-05-20 18:41:45"
"22","All30","반도체","dongjin_semichem","동진쎄미켐","bibliographic","0","OK","","2026-05-20 18:43:08"
"23","All30","반도체","wonik_materials","원익머트리얼즈","bibliographic","0","OK","","2026-05-20 18:44:26"
"24","All30","반도체","enf_tech","이엔에프테크놀로지","bibliographic","0","OK","","2026-05-20 18:45:37"
"25","All30","반도체","tck","티씨케이","bibliographic","0","OK","","2026-05-20 18:49:03"
"26","All30","반도체","woldex","월덱스","bibliographic","0","OK","","2026-05-20 18:50:45"
"27","All30","반도체","isc","ISC","bibliographic","0","OK","","2026-05-20 18:52:19"
"28","All30","반도체","sfa_semicon","SFA반도체","bibliographic","0","OK","","2026-05-20 18:53:05"
"29","All30","반도체","doosan_tesna","두산테스나","bibliographic","0","OK","","2026-05-20 18:54:10"
"30","All30","반도체","leeno","리노공업","bibliographic","0","OK","","2026-05-20 18:55:05"
