query_applicant,index_no,register_status,invention_title,ipc_number,register_number,register_date,application_number,application_date,open_number,open_date,publication_number,publication_date,abstract,drawing,big_drawing,applicant_name
네패스,32,취하,"이중 층상 금속 수산화물 및 산화물, 이를 포함하는 코팅 조성물 및 이를 이용한 발광소자 패키지",C09D 7/40|H10H 20/855|H10H 20/851|H10H 20/852|H10H 20/811,,,1020170038575,20170327,1020180110262,20181010,,,"이중 층상 금속 수산화물, 이를 포함하는 코팅 조성물 및 이를 이용한 발광소자 패키지가 개시된다. 본원발명의 일 구현예에 따른 이중 층상 금속 수산화물은, 하기 화학식 1로 이루어진 그룹에서 선택되는 어느 하나 이상의 화합물을 포함한다. [M 2+ 1- x N 3 + x (HO - ) 2 ] x+ [(Z n- ) x/ n yH 2 O] x- [화학식 1] 이에 따른, 이중 층상 금속 수산화물은 황색 영역인 580nm 내지 590nm를 흡수하여 녹색 및 적색 영역의 파장을 여과하여 발광소자 패키지의 색재현율을 향상시킬 수 있다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cffb0991d2dfcab29a723d64c360a93f481ee380333e9587a73d35f9daafe7cb7f0ee4e59fcdcae875a9e4364ab96753d8d69ce83a664410bd,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00759c5f30e3ee56079202c596dde6c064b33e72514bef04b121a69deed0a242329d550a3680a9b1156f6d076c8620778a7a0400c46143b24b,주식회사 네패스
네패스,33,등록,반도체 패키지,H10W 70/62|H10W 29/00|H10W 72/20|H10W 20/40,1022404080000,20210408,1020190045644,20190418,1020200079160,20200702,,20210415,"본 발명의 기술적 사상은 제1 면 상에 마련된 칩 패드를 포함하는 반도체 칩, 상기 반도체 칩의 상기 제1 면 상의 절연층, 상기 절연층 상에 마련되고, 상기 반도체 칩의 상기 칩 패드와 전기적으로 연결된 외부 패드, 및 상기 외부 패드의 상면 및 측벽을 덮고, 상기 절연층의 상면에 면 접촉(surface contact)하는 외부 접속 단자를 포함하는 반도체 패키지를 제공한다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf798f9d27cde24252b036c7f31113655e8c7c10efdcfc949e9b5a699d9ef0d7548c5fcaec551c1f47b2e94a686e71d0d31c8c1e79acb8cfaa,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93b5b9301c85ba76d0f31f0e6cab0178f483f4f6b4c1c63f7b74d3871d63235b713b5a4416da9a3b87ca58e12c1729900a5624407c028c7e96,주식회사 네패스
네패스,34,거절,리드 실런트 필름의 제조 방법,H01M 50/172|H01M 50/543|H01M 50/557|H01M 50/116|H01M 50/124|B32B 27/32,,,1020170181727,20171228,1020180092815,20180820,,,"본 발명에 따른 리드 실런트 필름의 제조 방법은 산변성 공중합체, 에틸렌계 탄성체 및 저밀도 폴리올레핀을 포함하는 제1 화합물, 산변성 공중합체, 에틸렌계 탄성체 및 저밀도 폴리올레핀을 포함하는 제2 화합물 및 산변성 공중합체, 에틸렌계 탄성체 및 비닐계 공중합체를 포함하는 제3 화합물을 제조하는 단계, 제1 화합물, 제2 화합물 및 제3 화합물을 공압출하여 제1 화합물을 구비하는 제1층, 제2 화합물을 구비하는 제2층 및 제3 화합물을 구비하는 제3층을 포함하는 리드 실런트 필름을 제조하는 단계를 포함한다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf0a7ab5b42272b73fc635eaf16ae52b6554c50390fd82b251741c44d46120ac191b55643e3da6545f5d7ee6921087441ad754c32ff6e0f6e7,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00080b84551fb0c52823dc50432080ccc19bc71278372f0e44ce3813fe4192c0bd5284562f3b5b3090c5c5889517222a6aaa7370399c6044c9,주식회사 네패스
네패스,35,거절,냉각코일의 은나노 분산 콜로이드 졸 용액 코팅방법,C09D 5/14|B05D 7/14|F28F 13/18|F28F 19/02|C09D 1/00|B82Y 30/00|B82Y 40/00,,,1020050008640,20050131,1020050018918,20050228,,,"본 발명은 냉각코일의 은나노 분산 콜로이드 졸 용액 코팅방법에 관한 것으로, 일반 코팅제에 은나노 미립자가 분산된 은 콜로이드 용액을 일정 비율 혼합함으로써 냉/난방 코일의 외면에 나노 클러스트를 이용하여 도포함으로써 형성된 박막의 코팅막에 의해 부식방지 및 살균성을 향상시키도록 한 냉각코일의 은나노 분산 콜로이드 졸 용액 코팅방법을 제공함에 그 목적이 있다. 본 발명은 순수 알루미늄 100%의 박판이나 친수성 페인트가 도막 처리된 냉/난방 코일에 대해, 각종 수화졸, 에타놀졸, 유기졸의 용매에 일정비율의 나노실버 콜로이드 용액을 혼합함으로써 얻어진 용액으로 양극산화처리법을 이용하여 코팅함으로써 냉/난방 코일의 살균력을 증대시킨 것을 특징으로 한다. 본 발명을 적용하면, 열교환기의 휀 및 냉난방 코일에 나노 실버 콜로이드 졸 용액을 양극 산화처리방법에 의해 코팅함으로써 표면에 도막을 형성하여 은 이온에 의한 살균력을 증대시키고, 은이온을 각종 세균의 -SH기, -COOHrl, -OH기와 결합하도록 함으로써 강한 세균 억제효과를 갖는다는 잇점이 있다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e2d625a3dcb0746fe407489d23bbfec2430b895709dd8d84488e832cd33be4f5e32d79246b1db23420,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9c592fb536ea920a4d0053437eeebb4eca17c91eef5956950c995144797b12640a,주식회사 네패스
네패스,36,소멸,반도체 패키지 제조방법,H10W 20/40,1015354030000,20150703,1020130140958,20131119,1020150057516,20150528,,20150710,"반도체 패키지 표면을 평탄화 하는 공정을 포함하는 반도체 패키지 제조방법이 개시된다. 본 발명의 실시예에 따른 반도체 패키지 제조방법은 반도체 칩과, 반도체 칩 상의 신호패드와 전기적으로 연결되는 배선층을 포함하는 반도체 패키지의 배선층 상에 절연층을 형성하고, 절연층의 표면이 배선층의 단차에 의해 굴곡이 형성되는 것을 방지하기 위하여 별도의 평탄화 공정을 포함한다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf52f2d2423d69eeac974b801d9a0400e75c9abcaf9e2d89fdfe51732e030b9bd8de20ee634b60092667b239f8eda24dfacd5d9ba94766acd2,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e00036c4a99d6aed36c8fa5894a81f60c66d3091f8c55eff329077d0390ab5c4d38a317f27d2cb89fd2f6c176ff5d7f7e15167c67fd09b125a2,주식회사 네패스
네패스,37,등록,센서 패키지,H10B 80/00|H10W 74/01|H10W 74/40|H10W 74/10|H10W 29/00,1026863360000,20240715,1020220059028,20220513,1020220155233,20221122,,20240719,"본 발명의 기술적 사상은 제1 절연층 및 제1 도전층을 포함하는 제1 재배선 구조체; 상기 제1 재배선 구조체 상에 배치되고, 상기 제1 재배선 구조체의 수평 폭보다 작은 수평 폭을 갖는 언더필층; 상기 언더필층의 관통홀에 수용되고, 상기 제1 도전층에 연결된 도전성 범프; 상기 언더필층 상에 배치되고, 센싱부 및 상기 도전성 범프에 전기적으로 연결된 칩 패드를 포함하는 센서 칩; 및 상기 센서 칩을 덮는 몰딩층;을 포함하고, 상기 언더필층은 상기 센서 칩에 중첩된 일 지점으로부터 상기 언더필층의 측벽까지 연장된 적어도 하나의 트렌치를 포함하고, 상기 몰딩층은 상기 적어도 하나의 트렌치를 부분적으로 채우는, 센서 패키지를 제공한다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf7fc546e9f1a3a07e6526c3223a8eb5656a8420834a896d7c9b820ba70280990d65652387703da1fed7a8b0402f546b9a314953c98c1271bb,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c931d0b7398012ebfb17fdf17e439510776f597605b619eed53fb7d46647051de260ee9a7ce87e464ff5d122185e4db152e2af45c71b4d16bf0,주식회사 네패스
네패스,38,거절,미세 전도물질 배선전극 터치스크린 제조방법,G06F 3/041,,,1020140126659,20140923,1020160035640,20160401,,,"본 발명은 기판에 감지부를 패터닝하는 제1차 패터닝 단계; 및 상기 감지부 상부에 도금막을 마련하는 제2차 패터닝 단계;를 포함하고, 상기 감지부는 금속물질, 전도성 고분자 및 전도성 카본 소재를 포함하는 군에서 선택되는 적어도 하나, 및 바인더를 포함하고, 상기 금속물질의 크기는 입자 반경이 1㎚ 이상 5㎛이하이며, 상기 바인더는 에폭시, 아크릴 및 이미드를 포함하는 군에서 선택되는 적어도 하나의 계통을 가지는 물질인 미세 전도물질 배선전극 터치스크린 제조방법에 관한 것이다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf41bea858a1b8df8ccd743322ad2bba6c442380bc103d019a614824501059b947e0ebe5560b563d7e1ec2db2cbd3e698cbbc7886a052b1e89,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=2ba38663aa11ff0f6ca91af6061a2e003350a83b6589afe45164d1c4df24342bfcfd834def38c6b66a93b8c0252138aa261b8c555c21cb32452656e4e34db5defda75534f55c8c3b,주식회사 네패스
네패스,39,공개,반도체 패키지 및 반도체 패키지 제조 방법,H10P 54/00|H10P 74/00|H10P 72/70|H10W 29/00,,,1020220112349,20220905,1020240033562,20240312,,,"본 발명의 기술적 사상은 복수 개의 다이 및 더미 다이를 상호 이격시켜 캐리어 상에 배치하는 단계; 상기 캐리어를 쏘잉하여 상기 복수 개의 다이 및 더미(dummy) 다이가 배치된 서브 패널로 분리하는 제1 쏘잉 단계; 상기 다이를 테스트 하는 단계; 및 상기 서브 패널의 상기 각 다이 사이를 쏘잉하여, 개별 반도체 패키지로 분리하는 2차 쏘잉 단계;를 포함하고, 상기 캐리어는 상기 다이가 배치되는 복수의 제1 영역 및 상기 다이가 배치되지 않는 제2 영역을 포함하고, 상기 더미 다이는 상기 제1 영역의 변(side)중 적어도 어느 하나의 변에 인접하여 배치되는 것을 특징으로 하는 반도체 패키지 제조 방법을 제공한다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cfe9870de0bf08753beb168eb367588b0b2197bb9d5a9f394feb362b5167189db3963d7522b2e504701921f146fd6e9d3d21545228051d88e1,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c937ee31b0709b420e933d6260a392eb2258c92dce39f0ef9e0e1fad28b6a680a1ac425e4492351442e4a2df6f3a08fdfcde625c390d3bb45fc,주식회사 네패스
네패스,40,등록,시스템 인 패키지 및 그 제조 방법,H10W 70/40|H10W 72/00,1009256650000,20091031,1020070127710,20071210,1020090060778,20090615,,20091106,"본 발명은 반도체 회로가 형성되어 있는 베이스 웨이퍼를 절단한 기판과, 상기 기판 상면에 형성된 도전성 포스트와, 상기 기판 상면에 적층된 적어도 하나의 반도체 칩과, 상기 기판 상면에 형성되어 상기 도전성 포스트와 반도체 칩을 적어도 부분적으로 커버하는 매립층과, 상기 도전성 포스트와 전기적으로 연결되는 외부 접속용 범프를 포함하는 시스템 인 패키지를 제공한다. 본 발명의 시스템 인 패키지는 웨이퍼 레벨에서 베이스 웨이퍼 상면에 복수의 반도체 칩을 적층하고 매립층을 형성하며, 도전성 포스트에 의하여 전기적인 통로를 구현하고, 패키지 상면 및 하면의 연마를 통하여 두께를 박형화할 수 있다. 또한, 전기적 동작 특성이 크게 개선되고 생산성을 향상시킬 수 있다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e2d625a3dcb0746fe484b73ac8e410bb224ef75a19502fcb0f05224a970550792cbb137bb90887dacf,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=452306798ef1fd035bfb5ff666db4c9cf44e6e9608087f40a783a48b73db16a18001e2f5c104d5ddffac52e6026de93d,주식회사 네패스
네패스,41,등록,반도체 패키지 및 그 제조 방법,H10W 20/40|H10W 20/49,1022261900000,20210304,1020190017395,20190214,1020200036689,20200407,,20210311,"본 발명의 기술적 사상은 칩 패드를 포함하는 반도체 칩, 상기 반도체 칩 상에 마련되고, 제1 비아홀을 포함하는 제1 절연층, 상기 제1 절연층 상에 마련되고, 상기 제1 절연층의 상기 제1 비아홀을 통해 상기 칩 패드에 연결된 제1 배선 패턴, 상기 제1 절연층 및 상기 제1 배선 패턴 상에 마련되고, 제2 비아홀을 포함하는 제2 절연층, 및 상기 제2 절연층 상에 마련되고, 상기 제2 절연층의 상기 제2 비아홀을 통해 상기 제1 배선 패턴에 연결된 제2 배선 패턴을 포함하고, 상기 제1 절연층은 상기 제2 절연층에 접하는 제1 상면 및 상기 제1 상면에 반대된 제1 하면을 포함하고, 상기 제1 절연층의 상기 제1 상면은 상기 제1 절연층의 상기 제1 하면보다 큰 표면 거칠기를 가지는 반도체 패키지를 제공한다.",http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cff3df2f289e26ab6284e5678a6dc2eb982148ca43cadbf80f874f6ec4a10406b688aa4c51acc877ff6f91957b2d8b6384833f7100b67b5168,http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=6c650beb4cee9ce4122b704b88878c93d926aca02017b8d427d37d94b9114193a52ebff8310c51376546ee60465c415bfb40d51c4cbbb07e065b1b1eed00cb946d8d37b282f1afbd,주식회사 네패스
