date,sox_close,sox_adj_close,sox_volume,nasdaq_close,nasdaq_adj_close,nasdaq_volume,sp500_close,sp500_adj_close,sp500_volume,vix_yf_close,vix_yf_adj_close,vix_yf_volume,korea_etf_close,korea_etf_adj_close,korea_etf_volume
2022-01-03,4027.219970703125,4027.219970703125,0,15832.7998046875,15832.7998046875,4429960000,4796.56005859375,4796.56005859375,3831020000,16.600000381469727,16.600000381469727,0,77.86000061035156,71.61161041259766,6967900
2022-01-04,4009.0,4009.0,0,15622.7197265625,15622.7197265625,5131110000,4793.5400390625,4793.5400390625,4683170000,16.90999984741211,16.90999984741211,0,77.69000244140625,71.45525360107422,2625700
2022-01-05,3879.8701171875,3879.8701171875,0,15100.169921875,15100.169921875,5031850000,4700.580078125,4700.580078125,4887960000,19.729999542236328,19.729999542236328,0,76.18000030517578,70.06643676757812,4276700
2022-01-06,3909.0400390625,3909.0400390625,0,15080.8603515625,15080.8603515625,4790820000,4696.0498046875,4696.0498046875,4295280000,19.610000610351562,19.610000610351562,0,75.58999633789062,69.5237808227539,4969000
2022-01-07,3796.320068359375,3796.320068359375,0,14935.900390625,14935.900390625,4238070000,4677.02978515625,4677.02978515625,4181510000,18.760000228881836,18.760000228881836,0,77.52999877929688,71.30809020996094,4279500
2022-01-10,3805.389892578125,3805.389892578125,0,14942.830078125,14942.830078125,5317180000,4670.2900390625,4670.2900390625,4511810000,19.399999618530273,19.399999618530273,0,76.31999969482422,70.1951904296875,3983400
2022-01-11,3875.43994140625,3875.43994140625,0,15153.4501953125,15153.4501953125,4390710000,4713.06982421875,4713.06982421875,4101590000,18.40999984741211,18.40999984741211,0,78.22000122070312,71.94271087646484,4487500
2022-01-12,3901.2099609375,3901.2099609375,0,15188.3896484375,15188.3896484375,4338530000,4726.35009765625,4726.35009765625,4048220000,17.6200008392334,17.6200008392334,0,79.7699966430664,73.36833953857422,4059100
2022-01-13,3811.840087890625,3811.840087890625,0,14806.8095703125,14806.8095703125,4302020000,4659.02978515625,4659.02978515625,4251730000,20.309999465942383,20.309999465942383,0,78.37000274658203,72.0806884765625,3893100
2022-01-14,3900.610107421875,3900.610107421875,0,14893.75,14893.75,4374020000,4662.85009765625,4662.85009765625,4338490000,19.190000534057617,19.190000534057617,0,77.27999877929688,71.07815551757812,4121800
