date,sox_close,sox_adj_close,sox_volume,nasdaq_close,nasdaq_adj_close,nasdaq_volume,sp500_close,sp500_adj_close,sp500_volume,vix_yf_close,vix_yf_adj_close,vix_yf_volume,korea_etf_close,korea_etf_adj_close,korea_etf_volume
2022-01-31,3483.2099609375,3483.2099609375,0,14239.8798828125,14239.8798828125,5124940000,4515.5498046875,4515.5498046875,5098610000,24.829999923706055,24.829999923706055,0,72.38999938964844,66.58059692382812,4154500
2022-02-28,3429.530029296875,3429.530029296875,0,13751.400390625,13751.400390625,5928130000,4373.93994140625,4373.93994140625,6071370000,30.149999618530273,30.149999618530273,0,72.41000366210938,66.59899139404297,4397900
2022-03-31,3429.0,3429.0,0,14220.51953125,14220.51953125,5453890000,4530.41015625,4530.41015625,4823020000,20.559999465942383,20.559999465942383,0,71.2300033569336,65.51367950439453,3840600
2022-04-30,2919.739990234375,2919.739990234375,0,12334.6396484375,12334.6396484375,4733070000,4131.93017578125,4131.93017578125,5084030000,33.400001525878906,33.400001525878906,0,66.63999938964844,61.292030334472656,4966300
2022-05-31,3098.68994140625,3098.68994140625,0,12081.3896484375,12081.3896484375,6045500000,4132.14990234375,4132.14990234375,6822640000,26.190000534057617,26.190000534057617,0,68.04000091552734,62.579681396484375,4882400
2022-06-30,2556.25,2556.25,0,11028.740234375,11028.740234375,5654520000,3785.3798828125,3785.3798828125,4840070000,28.709999084472656,28.709999084472656,0,58.189998626708984,53.52016067504883,4018900
2022-07-31,2967.139892578125,2967.139892578125,0,12390.6904296875,12390.6904296875,4907410000,4130.2900390625,4130.2900390625,4616360000,21.329999923706055,21.329999923706055,0,60.54999923706055,55.69076919555664,4935800
2022-08-31,2677.389892578125,2677.389892578125,0,11816.2001953125,11816.2001953125,4952010000,3955.0,3955.0,4542490000,25.8700008392334,25.8700008392334,0,57.90999984741211,53.26263427734375,2607300
2022-09-30,2306.699951171875,2306.699951171875,0,10575.6201171875,10575.6201171875,4649710000,3585.6201171875,3585.6201171875,5645360000,31.6200008392334,31.6200008392334,0,47.36000061035156,43.559288024902344,3447600
2022-10-31,2384.449951171875,2384.449951171875,0,10988.150390625,10988.150390625,4753740000,3871.97998046875,3871.97998046875,4820620000,25.8799991607666,25.8799991607666,0,51.810001373291016,47.65216827392578,2391700
2022-11-30,2826.85009765625,2826.85009765625,0,11468.0,11468.0,6653460000,4080.110107421875,4080.110107421875,6579360000,20.579999923706055,20.579999923706055,0,60.70000076293945,55.82872772216797,7911900
2022-12-31,2532.110107421875,2532.110107421875,0,10466.48046875,10466.48046875,3959030000,3839.5,3839.5,2979870000,21.670000076293945,21.670000076293945,0,56.47999954223633,52.577049255371094,4703800
2023-01-31,2921.919921875,2921.919921875,0,11584.5498046875,11584.5498046875,5695150000,4076.60009765625,4076.60009765625,4679320000,19.399999618530273,19.399999618530273,0,63.470001220703125,59.08401870727539,2154600
2023-02-28,2958.389892578125,2958.389892578125,0,11455.5400390625,11455.5400390625,5340950000,3970.14990234375,3970.14990234375,5043400000,20.700000762939453,20.700000762939453,0,58.5,54.457462310791016,4519700
2023-03-31,3230.860107421875,3230.860107421875,0,12221.91015625,12221.91015625,5521150000,4109.31005859375,4109.31005859375,4525120000,18.700000762939453,18.700000762939453,0,61.220001220703125,56.989501953125,3563500
