date,field,company,ticker,stock_code,as_of_date,frequency,source_kind,data_cutoff_ok,close,volume,return_20d,return_60d,rsi_14,ma20_gap,ma60_gap,abnormal_volume,volume_z,volatility_20d,relative_strength_vs_sector,technical_signal,technical_reliability,dram_price_momentum,nand_price_momentum,global_chip_sales_momentum,chip_sales_momentum,capacity_utilization,inventory_change,bb_ratio,sox_momentum,semiconductor_export_momentum,semiconductor_inventory_momentum,semiconductor_production_momentum,semiconductor_shipment_momentum,oecd_cli_momentum,sector_cycle_signal,sector_cycle_reliability,usdkrw_change,raw_material_price_change,commodity_price_change,interest_rate_change,fx_beta,raw_material_beta,sox_beta,krx_sector_beta,export_sensitivity,import_cost_sensitivity,rate_sensitivity,supply_chain_sensitivity,firm_market_sensitivity_signal,firm_sensitivity_reliability,current_window_news_signal,lag_window_news_signal,news_attention_signal,news_count_current,news_count_lag,news_cutoff_applied,news_reliability,market_signal,market_recommendation,market_weighted_signal,signal_reliability,prob_sell,prob_hold,prob_buy,evidence_note,source_files
2025-01-02,반도체,네패스,033640,033640,2025-01-02,daily,issue_events_current_month_70_lag_month_30,True,6750.0,35371.0,0.03846153846153855,-0.22235023041474655,61.56716417910448,0.015572105619499066,-0.06132665832290363,-0.5140468367569142,-1.30386779995859,0.03617018547828308,,-0.21757323156004518,1.0,,,-0.1744931381553289,-0.1744931381553289,,,,0.07247188518492935,0.07247188518492935,,-0.1744931381553289,0.07247188518492935,-0.1744931381553289,-0.2780422236184807,1.0,,,,,,,,,,,,,0.3327762199269588,0.5,0.0,0.0,0.0,0,0,True,0.0,-0.10974244840501549,매도,-0.10974244840501549,1.0,0.41833520410025693,0.30098357333612197,0.280681222563621,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-03,반도체,네패스,033640,033640,2025-01-03,daily,issue_events_current_month_70_lag_month_30,True,6870.0,53151.0,0.04885496183206106,-0.21215596330275233,55.02183406113538,0.031144465290806833,-0.04052512744116765,-0.27379373807469465,-0.7035496528715858,0.0363162677780294,,-0.138272769970943,1.0,,,-0.15499058613462496,-0.15499058613462496,,,,0.09070751699468788,0.09070751699468788,,-0.15499058613462496,0.09070751699468788,-0.15499058613462496,-0.23065684243540538,1.0,,,,,,,,,,,,,0.3859947862450701,0.5,0.0,0.0,0.0,0,0,True,0.0,-0.05864407309460444,매도,-0.05864407309460444,1.0,0.3778392729944983,0.3168842870602151,0.3052764399452865,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-06,반도체,네패스,033640,033640,2025-01-06,daily,issue_events_current_month_70_lag_month_30,True,7400.0,138319.0,0.1402157164869029,-0.13752913752913754,63.47517730496454,0.10316040548598693,0.036341992857642946,0.7775353225372212,2.0409058256067993,0.03975834161163781,,0.20490591167893404,1.0,,,-0.10253729788124258,-0.10253729788124258,,,,0.15717889340457672,0.15717889340457672,,-0.10253729788124258,0.15717889340457672,-0.10253729788124258,-0.1116496519588792,1.0,,,,,,,,,,,,,0.49477073353295214,0.5,0.0,0.0,0.0,0,0,True,0.0,0.11354720882884364,매수,0.11354720882884364,1.0,0.278852583830549,0.29974753894791906,0.421399877221532,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-07,반도체,네패스,033640,033640,2025-01-07,daily,issue_events_current_month_70_lag_month_30,True,7170.0,103737.0,0.134493670886076,-0.1340579710144928,57.28813559322033,0.062143544922598215,0.006739679865206405,0.3159608955237134,0.8320515334577506,0.039989551629242184,,0.09954482446852966,1.0,,,-0.1048279762882279,-0.1048279762882279,,,,0.1335677987667603,0.1335677987667603,,-0.1048279762882279,0.1335677987667603,-0.1048279762882279,-0.13187263853308667,1.0,,,,,,,,,,,,,0.4680997914323164,0.5,0.0,0.0,0.0,0,0,True,0.0,0.06724069388386705,매수,0.06724069388386705,1.0,0.3011399021958942,0.31430519755398234,0.38455490025012345,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-08,반도체,네패스,033640,033640,2025-01-08,daily,issue_events_current_month_70_lag_month_30,True,7670.0,131462.0,0.19656786271450866,-0.06917475728155342,61.58536585365853,0.12570631833859247,0.07838312829525473,0.6862079624848163,1.7292993444731166,0.04236686986291285,,0.28175064852994486,1.0,,,-0.07012670854645973,-0.07012670854645973,,,,0.20706014762946437,0.20706014762946437,,-0.07012670854645973,0.20706014762946437,-0.07012670854645973,-0.025653814912925683,1.0,,,,,,,,,,,,,0.5262363152621747,0.5,0.0,0.0,0.0,0,0,True,0.0,0.17307166374936886,매수,0.17307166374936886,1.0,0.25044931736321685,0.27960924850853075,0.4699414341282524,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-09,반도체,네패스,033640,033640,2025-01-09,daily,issue_events_current_month_70_lag_month_30,True,7460.0,69023.0,0.2516778523489933,-0.11296076099881092,54.205607476635514,0.08296436089134063,0.05119774542038513,-0.08097996138739094,-0.19746292788864286,0.03906083372982775,,0.13098066829309812,1.0,,,-0.09155796154646353,-0.09155796154646353,,,,0.2665456356823089,0.2665456356823089,,-0.09155796154646353,0.2665456356823089,-0.09155796154646353,-0.06737827007820607,1.0,,,,,,,,,,,,,0.5413487177089787,0.5,0.0,0.0,0.0,0,0,True,0.0,0.1114255856897938,매수,0.1114255856897938,1.0,0.2798721613364512,0.30043761341360137,0.41969022524994737,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-10,반도체,네패스,033640,033640,2025-01-10,daily,issue_events_current_month_70_lag_month_30,True,7370.0,59106.0,0.20228384991843384,-0.12261904761904763,52.58358662613982,0.06035537011725767,0.04103397132565867,-0.2088445149109639,-0.5074869407562836,0.03921124197253204,,0.07553105298745036,1.0,,,-0.09393187356476712,-0.09393187356476712,,,,0.20509354076130254,0.20509354076130254,,-0.09393187356476712,0.20509354076130254,-0.09393187356476712,-0.08000516950699611,1.0,,,,,,,,,,,,,0.5254295747248376,0.5,0.0,0.0,0.0,0,0,True,0.0,0.08608022361429102,매수,0.08608022361429102,1.0,0.2920685338817458,0.3085138706496855,0.3994175954685687,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-13,반도체,네패스,033640,033640,2025-01-13,daily,issue_events_current_month_70_lag_month_30,True,7230.0,65168.0,0.08885542168674698,-0.10960591133004927,54.74683544303798,0.035816618911174825,0.023402849863168873,-0.10728339108475171,-0.2556761380529761,0.03566480932672938,,0.016220853352668572,1.0,,,-0.08847688549483675,-0.08847688549483675,,,,0.12247409253224192,0.12247409253224192,,-0.08847688549483675,0.12247409253224192,-0.08847688549483675,-0.11587628935832912,1.0,,,,,,,,,,,,,0.45165785592896135,0.5,0.0,0.0,0.0,0,0,True,0.0,0.04205783065294004,매수,0.04205783065294004,1.0,0.3132461450779563,0.3217430872949654,0.36501076762707824,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-14,반도체,네패스,033640,033640,2025-01-14,daily,issue_events_current_month_70_lag_month_30,True,7420.0,54059.0,0.1174698795180722,-0.07826086956521738,64.0,0.05713064539108137,0.051860602480803264,-0.22535372728393044,-0.5162678940195133,0.035959183682859684,,0.07880991468215252,1.0,,,-0.08237024250629396,-0.08237024250629396,,,,0.1111078071236428,0.1111078071236428,,-0.08237024250629396,0.1111078071236428,-0.08237024250629396,-0.11693665643900533,1.0,,,,,,,,,,,,,0.4316199676738979,0.5,0.0,0.0,0.0,0,0,True,0.0,0.05922774736003204,매수,0.05922774736003204,1.0,0.3049956855544103,0.31671047088416326,0.37829384356142637,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-15,반도체,네패스,033640,033640,2025-01-15,daily,issue_events_current_month_70_lag_month_30,True,7350.0,43492.0,0.09050445103857574,-0.046692607003890996,58.18181818181818,0.04262713667635998,0.04282437513301329,-0.33242157580557774,-0.7176075394043052,0.036057611077168795,,0.04201924534798117,1.0,,,-0.04521538724638265,-0.04521538724638265,,,,0.10825078505701714,0.10825078505701714,,-0.04521538724638265,0.10825078505701714,-0.04521538724638265,0.0035713919003411538,1.0,,,,,,,,,,,,,0.42601811577462345,0.5,0.0,0.0,0.0,0,0,True,0.0,0.08619989837854468,매수,0.08619989837854468,1.0,0.29201090464112694,0.30847648815921286,0.3995126071996602,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
