date,field,company,ticker,stock_code,as_of_date,frequency,source_kind,data_cutoff_ok,close,volume,return_20d,return_60d,rsi_14,ma20_gap,ma60_gap,abnormal_volume,volume_z,volatility_20d,relative_strength_vs_sector,technical_signal,technical_reliability,dram_price_momentum,nand_price_momentum,global_chip_sales_momentum,chip_sales_momentum,capacity_utilization,inventory_change,bb_ratio,sox_momentum,semiconductor_export_momentum,semiconductor_inventory_momentum,semiconductor_production_momentum,semiconductor_shipment_momentum,oecd_cli_momentum,sector_cycle_signal,sector_cycle_reliability,usdkrw_change,raw_material_price_change,commodity_price_change,interest_rate_change,fx_beta,raw_material_beta,sox_beta,krx_sector_beta,export_sensitivity,import_cost_sensitivity,rate_sensitivity,supply_chain_sensitivity,firm_market_sensitivity_signal,firm_sensitivity_reliability,current_window_news_signal,lag_window_news_signal,news_attention_signal,news_count_current,news_count_lag,news_cutoff_applied,news_reliability,market_signal,market_recommendation,market_weighted_signal,signal_reliability,prob_sell,prob_hold,prob_buy,evidence_note,source_files
2025-09-30,반도체,한미반도체,042700,042700,2025-09-30,monthly,issue_events_current_month_70_lag_month_30,True,96500.0,1988564.0,0.18404907975460127,0.02332979851537642,69.59247648902821,0.07586822007915717,0.08191942596606627,1.6368572378373987,3.1517391316672727,0.02423571608662598,,0.3806442518829659,1.0,,,0.2944895408292958,0.2944895408292958,,,,0.2610737813175578,0.2610737813175578,,0.2944895408292958,0.2610737813175578,0.2944895408292958,0.9949848663539569,1.0,,,,,,,,,,,,,0.5405065863431067,0.5,0.0,-1.0,-0.3,0,4,True,0.2,0.5873638560772133,매수,0.528627470469492,0.9,0.10826684972810692,0.15156253466451267,0.7401706156073804,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-10-31,반도체,한미반도체,042700,042700,2025-10-31,monthly,issue_events_current_month_70_lag_month_30,True,143700.0,999434.0,0.6002227171492205,0.6728754365541327,65.36203522504893,0.08150824113795441,0.38887546513313676,-0.5609436508533928,-1.1776257178899385,0.053880339837033116,,0.3544965296653175,1.0,,,0.37856663816449326,0.37856663816449326,,,,0.14235667560553392,0.14235667560553392,,0.37856663816449326,0.14235667560553392,0.37856663816449326,0.9597482687515432,1.0,,,,,,,,,,,,,0.479227729133729,0.5,0.0,0.0,0.0,4,0,True,0.4,0.5358133320633536,매수,0.5179528876612418,0.9666666666666667,0.11152408263542606,0.15506539612082587,0.7334105212437481,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-11-30,반도체,한미반도체,042700,042700,2025-11-30,monthly,issue_events_current_month_70_lag_month_30,True,123600.0,570311.0,-0.13987473903966596,0.3981900452488687,44.07114624505929,-0.03229594832648264,0.06150609049139044,-0.5684215369466568,-0.739147575334869,0.0353777522082105,,-0.1237182678931107,1.0,,,0.2623750101348724,0.2623750101348724,,,,-0.052090925903625275,-0.052090925903625275,,0.2623750101348724,-0.052090925903625275,0.2623750101348724,0.3482725095687833,1.0,,,,,,,,,,,,,-0.2575440234160966,0.5,0.0,0.0,0.0,0,4,True,0.2,0.035474899988009,매수,0.0319274099892081,0.9,0.318103284314232,0.32463243277202736,0.3572642829137407,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-12-31,반도체,한미반도체,042700,042700,2025-12-31,monthly,issue_events_current_month_70_lag_month_30,True,127400.0,1589454.0,0.04683648315529987,0.39234972677595636,57.96344647519582,0.0448189609218026,-0.004791167586709721,0.34467455396036106,0.41048622633967935,0.03163118345467359,,0.22722239750344336,1.0,,,0.11217012057858947,0.11217012057858947,,,,0.03414203519960277,0.03414203519960277,,0.11217012057858947,0.03414203519960277,0.11217012057858947,0.6769467982797311,1.0,,,,,,,,,,,,,0.17750275502685753,0.5,0.0,0.0,0.0,0,0,True,0.0,0.33097352443220107,매수,0.33097352443220107,1.0,0.17965145978677075,0.22176941142782913,0.5985791287854001,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2026-01-31,반도체,한미반도체,042700,042700,2026-01-31,monthly,issue_events_current_month_70_lag_month_30,True,211000.0,4364912.0,0.46020761245674735,0.5103793843951325,82.87878787878788,0.17854050883905392,0.47917932420432785,0.5608894230945451,1.0167178155978867,0.05265061032254185,,0.48909948182442825,1.0,,,0.37635967064862574,0.37635967064862574,,,,0.30395367088718256,0.30395367088718256,,0.37635967064862574,0.30395367088718256,0.37635967064862574,0.9978525107634414,1.0,,,,,,,,,,,,,0.5454115832500087,0.5,-0.6666666666666666,0.0,-0.4666666666666666,12,0,True,1.0,0.36942603358463066,매수,0.36942603358463066,1.0,0.1640165115856366,0.20748445003158078,0.6284990383827826,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-31,반도체,한솔케미칼,014680,014680,2025-01-31,monthly,issue_events_current_month_70_lag_month_30,True,92700.0,48005.0,-0.04825462012320325,-0.243265306122449,22.325581395348834,-0.07104920332698672,-0.10829659318637275,0.12367835248459191,0.1755819359069991,0.02767922693502444,,-0.39056934211489713,1.0,,,-0.016103498177635647,-0.016103498177635647,,,,0.11019393562383903,0.11019393562383903,,-0.016103498177635647,0.11019393562383903,-0.016103498177635647,0.19991803254975712,1.0,,,,,,,,,,,,,0.3353363147488113,0.5,0.0,0.0,0.0,0,0,True,0.0,-0.007661050730244777,매도,-0.007661050730244777,1.0,0.3390054541471294,0.33130289381345596,0.32969165203941453,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-02-28,반도체,한솔케미칼,014680,014680,2025-02-28,monthly,issue_events_current_month_70_lag_month_30,True,109800.0,109592.0,0.18446601941747565,0.07121951219512201,64.24731182795699,0.040363843092666274,0.08109882175325756,0.06081549368304073,0.1441732081997706,0.03199113229920191,,0.23250924980830115,1.0,,,0.19577640450813785,0.19577640450813785,,,,0.06912278198860752,0.06912278198860752,,0.19577640450813785,0.06912278198860752,0.19577640450813785,0.8388328583579769,1.0,,,,,,,,,,,,,0.2521501125801006,0.5,0.0,0.0,0.0,0,0,True,0.0,0.3991390548187761,매수,0.3991390548187761,1.0,0.15247810416840016,0.19656999702882308,0.6509518988027768,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-03-31,반도체,한솔케미칼,014680,014680,2025-03-31,monthly,issue_events_current_month_70_lag_month_30,True,118300.0,42489.0,0.07741347905282336,0.21457905544147837,45.61717352415027,-0.07400884505498806,0.06549379287569246,-0.5829108189531198,-1.1994841412727535,0.03832069048584961,,-0.005744319874759619,1.0,,,0.09547134388806579,0.09547134388806579,,,,-0.07124921349019506,-0.07124921349019506,,0.09547134388806579,-0.07124921349019506,0.09547134388806579,0.21935280425655496,1.0,,,,,,,,,,,,,-0.25769270015900847,0.5,0.0,0.0,0.0,0,0,True,0.0,0.028254044767430368,매수,0.028254044767430368,1.0,0.3198620354366343,0.3256651187315775,0.35447284583178823,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-04-30,반도체,한솔케미칼,014680,014680,2025-04-30,monthly,issue_events_current_month_70_lag_month_30,True,115700.0,47716.0,-0.024451939291736946,0.2941834451901566,66.76829268292684,0.034744891114787846,-0.003073211362265571,-0.17145913207756847,-0.2068625720805302,0.04282433398997149,,0.032470231316167344,1.0,,,0.03512096660202886,0.03512096660202886,,,,-0.016887061493514998,-0.016887061493514998,,0.03512096660202886,-0.016887061493514998,0.03512096660202886,0.21530743918028739,1.0,,,,,,,,,,,,,-0.07135234855878943,0.5,0.0,0.0,0.0,0,0,True,0.0,0.07070049873902001,매수,0.07070049873902001,1.0,0.29947438864958686,0.3132558054854246,0.38726980586498855,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-05-31,반도체,한솔케미칼,014680,014680,2025-05-31,monthly,issue_events_current_month_70_lag_month_30,True,133000.0,119269.0,0.13772455089820368,0.24183006535947715,67.3960612691466,0.10373443983402497,0.10569195810009413,0.9646113324778822,1.5688527400272727,0.02983360173498418,,0.4590581706249262,1.0,,,-0.025771941114722443,-0.025771941114722443,,,,0.015146944422482237,0.015146944422482237,,-0.025771941114722443,0.015146944422482237,-0.025771941114722443,-0.16147877756862394,1.0,,,,,,,,,,,,,0.06413320860768355,0.5,0.0,0.0,0.0,0,0,True,0.0,0.10988199912004801,매수,0.10988199912004801,1.0,0.280614135835108,0.30093835770688243,0.41844750645800954,price technical + sector-cycle proxy + issue news current/lag window + market DB/workbook sensitivity; all rows are generated at or before as_of_date.,C:\Agent_6.8\data\market_issues.db;MARKET_WORKBOOK_URL(in_memory);C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
