date,sox_close,sox_adj_close,sox_volume,nasdaq_close,nasdaq_adj_close,nasdaq_volume,sp500_close,sp500_adj_close,sp500_volume,vix_yf_close,vix_yf_adj_close,vix_yf_volume,korea_etf_close,korea_etf_adj_close,korea_etf_volume,market_source_calendar_fill_status,market_source_original_min_date,market_source_original_max_date,market_source_calendar_start_date,market_source_calendar_end_date,market_source_calendar_generated_at
2021-01-01,2783.2099609375,4027.219970703125,0.0,12698.4501953125,15832.7998046875,6636170000.0,3700.64990234375,4796.56005859375,5015000000.0,26.96999931335449,16.600000381469727,0.0,34355.0,71.61161041259766,425277.0,source_or_merged,2021-01-01,2026-05-25,2021-01-01,2026-05-25,2026-05-25T16:47:17
2021-01-02,2783.2099609375,4027.219970703125,0.0,12698.4501953125,15832.7998046875,6636170000.0,3700.64990234375,4796.56005859375,5015000000.0,26.96999931335449,16.600000381469727,0.0,34355.0,71.61161041259766,425277.0,source_or_merged,2021-01-01,2026-05-25,2021-01-01,2026-05-25,2026-05-25T16:47:17
2021-01-03,2783.2099609375,4027.219970703125,0.0,12698.4501953125,15832.7998046875,6636170000.0,3700.64990234375,4796.56005859375,5015000000.0,26.96999931335449,16.600000381469727,0.0,34355.0,71.61161041259766,425277.0,source_or_merged,2021-01-01,2026-05-25,2021-01-01,2026-05-25,2026-05-25T16:47:17
2021-01-04,2783.2099609375,4027.219970703125,0.0,12698.4501953125,15832.7998046875,6636170000.0,3700.64990234375,4796.56005859375,5015000000.0,26.96999931335449,16.600000381469727,0.0,34355.0,71.61161041259766,425277.0,source_or_merged,2021-01-01,2026-05-25,2021-01-01,2026-05-25,2026-05-25T16:47:17
2021-01-05,2837.169921875,4027.219970703125,0.0,12818.9599609375,15832.7998046875,6971860000.0,3726.860107421875,4796.56005859375,4591020000.0,25.34000015258789,16.600000381469727,0.0,34710.0,71.61161041259766,310314.0,source_or_merged,2021-01-01,2026-05-25,2021-01-01,2026-05-25,2026-05-25T16:47:17
2021-01-06,2827.9599609375,4027.219970703125,0.0,12740.7900390625,15832.7998046875,7689880000.0,3748.139892578125,4796.56005859375,6064110000.0,25.06999969482422,16.600000381469727,0.0,34670.0,71.61161041259766,378577.0,source_or_merged,2021-01-01,2026-05-25,2021-01-01,2026-05-25,2026-05-25T16:47:17
2021-01-07,2937.0,4027.219970703125,0.0,13067.48046875,15832.7998046875,6841480000.0,3803.7900390625,4796.56005859375,5099160000.0,22.3700008392334,16.600000381469727,0.0,35225.0,71.61161041259766,228012.0,source_or_merged,2021-01-01,2026-05-25,2021-01-01,2026-05-25,2026-05-25T16:47:17
2021-01-08,2936.469970703125,4027.219970703125,0.0,13201.98046875,15832.7998046875,7289390000.0,3824.679931640625,4796.56005859375,4773040000.0,21.559999465942383,16.600000381469727,0.0,35480.0,71.61161041259766,458312.0,source_or_merged,2021-01-01,2026-05-25,2021-01-01,2026-05-25,2026-05-25T16:47:17
2021-01-09,2936.469970703125,4027.219970703125,0.0,13201.98046875,15832.7998046875,7289390000.0,3824.679931640625,4796.56005859375,4773040000.0,21.559999465942383,16.600000381469727,0.0,35480.0,71.61161041259766,458312.0,source_or_merged,2021-01-01,2026-05-25,2021-01-01,2026-05-25,2026-05-25T16:47:17
2021-01-10,2936.469970703125,4027.219970703125,0.0,13201.98046875,15832.7998046875,7289390000.0,3824.679931640625,4796.56005859375,4773040000.0,21.559999465942383,16.600000381469727,0.0,35480.0,71.61161041259766,458312.0,source_or_merged,2021-01-01,2026-05-25,2021-01-01,2026-05-25,2026-05-25T16:47:17
