date,field,company,ticker,stock_code,as_of_date,frequency,source_kind,data_cutoff_ok,close,volume,return_20d,return_60d,rsi_14,ma20_gap,ma60_gap,abnormal_volume,volume_z,volatility_20d,relative_strength_vs_sector,technical_signal,technical_reliability,dram_price_momentum,nand_price_momentum,global_chip_sales_momentum,chip_sales_momentum,capacity_utilization,inventory_change,bb_ratio,sox_momentum,semiconductor_export_momentum,semiconductor_inventory_momentum,semiconductor_production_momentum,semiconductor_shipment_momentum,oecd_cli_momentum,sector_cycle_signal,sector_cycle_reliability,usdkrw_change,raw_material_price_change,commodity_price_change,interest_rate_change,fx_beta,raw_material_beta,sox_beta,krx_sector_beta,export_sensitivity,import_cost_sensitivity,rate_sensitivity,supply_chain_sensitivity,firm_market_sensitivity_signal,firm_sensitivity_reliability,current_window_news_signal,lag_window_news_signal,news_attention_signal,news_count_current,news_count_lag,news_cutoff_applied,news_reliability,market_signal,market_recommendation,market_weighted_signal,signal_reliability,prob_sell,prob_hold,prob_buy,evidence_note,source_files
2025-01-31,반도체,네패스,033640,033640,2025-01-31,monthly,issue_events_current_month_70_lag_month_30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,True,0.0,,,,,,,,Issue 이벤트를 as_of_date 이하로 자른 뒤 해당 월 70% + 전월 30%로 변환한 Market용 뉴스 주목도입니다.,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-31,반도체,한미반도체,042700,042700,2025-01-31,monthly,issue_events_current_month_70_lag_month_30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,4,0,True,0.4,,,,,,,,Issue 이벤트를 as_of_date 이하로 자른 뒤 해당 월 70% + 전월 30%로 변환한 Market용 뉴스 주목도입니다.,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-31,반도체,한솔케미칼,014680,014680,2025-01-31,monthly,issue_events_current_month_70_lag_month_30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,True,0.0,,,,,,,,Issue 이벤트를 as_of_date 이하로 자른 뒤 해당 월 70% + 전월 30%로 변환한 Market용 뉴스 주목도입니다.,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-31,반도체,덕산테코피아,317330,317330,2025-01-31,monthly,issue_events_current_month_70_lag_month_30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,True,0.0,,,,,,,,Issue 이벤트를 as_of_date 이하로 자른 뒤 해당 월 70% + 전월 30%로 변환한 Market용 뉴스 주목도입니다.,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-31,반도체,엘티씨,170920,170920,2025-01-31,monthly,issue_events_current_month_70_lag_month_30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,True,0.0,,,,,,,,Issue 이벤트를 as_of_date 이하로 자른 뒤 해당 월 70% + 전월 30%로 변환한 Market용 뉴스 주목도입니다.,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-31,반도체,DB하이텍,000990,000990,2025-01-31,monthly,issue_events_current_month_70_lag_month_30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,4,True,0.2,,,,,,,,Issue 이벤트를 as_of_date 이하로 자른 뒤 해당 월 70% + 전월 30%로 변환한 Market용 뉴스 주목도입니다.,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-31,반도체,미코,059090,059090,2025-01-31,monthly,issue_events_current_month_70_lag_month_30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,True,0.0,,,,,,,,Issue 이벤트를 as_of_date 이하로 자른 뒤 해당 월 70% + 전월 30%로 변환한 Market용 뉴스 주목도입니다.,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-31,반도체,LX세미콘,108320,108320,2025-01-31,monthly,issue_events_current_month_70_lag_month_30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,True,0.0,,,,,,,,Issue 이벤트를 as_of_date 이하로 자른 뒤 해당 월 70% + 전월 30%로 변환한 Market용 뉴스 주목도입니다.,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-31,반도체,제주반도체,080220,080220,2025-01-31,monthly,issue_events_current_month_70_lag_month_30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,True,0.0,,,,,,,,Issue 이벤트를 as_of_date 이하로 자른 뒤 해당 월 70% + 전월 30%로 변환한 Market용 뉴스 주목도입니다.,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
2025-01-31,반도체,어보브반도체,102120,102120,2025-01-31,monthly,issue_events_current_month_70_lag_month_30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0,0,True,0.0,,,,,,,,Issue 이벤트를 as_of_date 이하로 자른 뒤 해당 월 70% + 전월 30%로 변환한 Market용 뉴스 주목도입니다.,C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily.csv;C:\Agent_6.8\data\반도체\_sector_common\issue\issue_events_daily_v44.csv
