year,revenue,operating_profit,net_income,assets,liabilities,equity,cash,cfo,capex,fcf,investing_cf,source_account_count,revenue_source_account,operating_profit_source_account,net_income_source_account,assets_source_account,liabilities_source_account,equity_source_account,cfo_source_account,capex_source_account,cash_source_account
2021,380704248695.0,-13347472838.0,-11049867743.0,407989337418.0,222262329070.0,185727008348.0,66833322262.0,9516249951.0,16475531325.0,-6959281374.0,-27236575179.0,239,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,유형자산의 취득,현금및현금성자산
2022,459701513173.0,-22572658741.0,-30614748386.0,410426152133.0,247266163970.0,163159988163.0,61898872469.0,26303163185.0,44926719912.0,-18623556727.0,-40590974036.0,234,매출액,영업이익(손실),계속영업당기순이익(손실),자산총계,부채총계,자본총계,영업활동으로 인한 현금흐름,유형자산의 취득,현금및현금성자산
2023,377629884303.0,-25491183071.0,-40077871037.0,354942471462.0,215182439320.0,139760032142.0,62218567158.0,958204152.0,343716309.0,614487843.0,2215975109.0,236,매출액,영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,무형자산의 취득,현금및현금성자산
2024,357809975395.0,-39612427225.0,-63461100648.0,383084839324.0,244473205195.0,138611634129.0,87007691185.0,-39255009920.0,152428025.0,-39407437945.0,-8659583915.0,213,매출액,local_finance_csv,local_finance_csv,자산총계,부채총계,자본총계,영업활동현금흐름,무형자산의 취득,현금및현금성자산
2025,375129006470.0,-2237980329.0,-19202865906.0,360325583031.0,238572655046.0,121752927985.0,53661746857.0,12961694124.0,507466500.0,12454227624.0,-15798858096.0,286,매출액,영업이익(손실),당기순이익(손실),자산총계,부채총계,자본 총계,영업활동현금흐름,무형자산의 취득,현금및현금성자산
