left_source_index,right_source_index,similarity
9,12,1.0
9,14,1.0
9,19,1.0
10,45,1.0
12,14,1.0
12,19,1.0
14,19,1.0
18,22,0.9674
11,17,0.9135
18,30,0.8291
3,20,0.8087
22,30,0.8046
68,77,0.8
21,23,0.7965
11,31,0.7621
3,49,0.7589
15,23,0.7497
47,49,0.7389
70,77,0.7324
17,31,0.7252
