source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020220163040,88978339,,JP,JP,JP,,2023201635,20231129,2024078455,20240610,,,2023201635,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220163040,88978339,,JP,JP,JP,,2023201635,20231129,7690549,20250610,,,2023201635,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220163040,88978339,,US,US,US,,202318522567,20231129,2024178382,20240530,,,202318522567,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230045915,92935675,,CN,CN,CN,,202311677236,20231208,118782889,20241015,,,202311677236,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020230045915,92935675,,US,US,US,,202318529132,20231205,2024336480,20241010,,,202318529132,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020220155336,91084959,,CN,CN,CN,,202380079678,20231117,120303789,20250711,,,202380079678,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020220155336,91084959,,EP,EP,EP,,23892055,20231117,4621873,20250924,,,23892055,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220155336,91084959,,JP,JP,JP,,2025528760,20231117,2025540668,20251216,,,2025528760,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220155336,91084959,,KR,KR,WO,,2023018510,20231117,2024106992,20240523,,,2023018510,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020220146033,90930947,,CN,CN,CN,,202380076179,20231103,120239906,20250701,,,202380076179,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020220146033,90930947,,EP,EP,EP,,23886343,20231103,4614594,20250910,,,23886343,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220146033,90930947,,JP,JP,JP,,2025525336,20231103,2025540592,20251216,,,2025525336,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220146033,90930947,,KR,KR,WO,,2023017454,20231103,2024096649,20240510,,,2023017454,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020210128262,85783066,,CN,CN,CN,,202280062970,20220919,117980437,20240503,,,202280062970,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020210128262,85783066,,JP,JP,JP,,2024516968,20220919,7728966,20250825,,,2024516968,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020210128262,85783066,,JP,JP,JP,,2024516968,20220919,2024538522,20241023,,,2024516968,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020210128262,85783066,,US,US,US,,202218692656,20220919,12173210,20241224,,,202218692656,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210128262,85783066,,US,US,US,,202218692656,20220919,2024287382,20240829,,,202218692656,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020210128262,85783066,,KR,KR,WO,,2022013950,20220919,2023054952,20230406,,,2022013950,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020230051305,93153037,,KR,KR,WO,,2024004170,20240401,2024219708,20241024,,,2024004170,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020230156397,95743050,,KR,KR,WO,,2024096467,20241113,2025105902,20250522,,,2024096467,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020200104587,75151235,,EP,EP,EP,,20855601,20200820,4019560,20220629,,,20855601,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020200104587,75151235,,EP,EP,EP,,20855601,20200820,4019560,20230927,,,20855601,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020200104587,75151235,,EP,EP,EP,,20855601,20200820,4019560,20251029,,,20855601,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020240072183,97842878,,CN,CN,CN,,202411838285,20241213,121076084,20251205,,,202411838285,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020240072183,97842878,,US,US,US,,202418974355,20241209,2025372626,20251204,,,202418974355,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230142897,95516211,,KR,KR,WO,,2024016254,20241024,2025089819,20250501,,,2024016254,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020240042379,97217448,,CN,CN,CN,,202580000881,20250114,121039241,20251128,,,202580000881,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020240042379,97217448,,KR,KR,WO,,2025000783,20250114,2025206550,20251002,,,2025000783,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020240042379,97217448,,TW,TW,TW,,114109258,20250313,202542254,20251101,,,114109258,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020220147607,91032924,,CN,CN,CN,,202380077006,20231108,120153496,20250613,,,202380077006,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020220147607,91032924,,EP,EP,EP,,23889126,20231108,4618197,20250917,,,23889126,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020220147607,91032924,,JP,JP,JP,,2025525339,20231108,2025537699,20251120,,,2025525339,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020220147607,91032924,,KR,KR,WO,,2023017815,20231108,2024101868,20240516,,,2023017815,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020190097268,74188414,,CN,CN,CN,,202010465141,20200528,112349955,20210209,,,202010465141,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020190097268,74188414,,CN,CN,CN,,202010465141,20200528,112349955,20250124,,,202010465141,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020190097268,74188414,,DE,DE,DE,,102020114050,20200526,102020114050,20210211,,,102020114050,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,UNKNOWN,N
1020190097268,74188414,,US,US,US,,202016878777,20200520,2021043963,20210211,,,202016878777,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230143124,95402385,,CN,CN,CN,,202411473831,20241022,119875429,20250425,,,202411473831,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020230143124,95402385,,US,US,US,,202418795940,20240806,2025129196,20250424,,,202418795940,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230077590,93804092,,CN,CN,CN,,202410059001,20240116,119153764,20241217,,,202410059001,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020230077590,93804092,,US,US,US,,202418402468,20240102,2024421346,20241219,,,202418402468,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020240075525,93458472,,EP,EP,EP,,25181539,20250609,4663670,20251217,,,25181539,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020240075525,93458472,,JP,JP,JP,,2025096986,20250610,2025186213,20251223,,,2025096986,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020240075525,93458472,,US,US,US,,202519234088,20250610,2025379234,20251211,,,202519234088,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
