date,open,high,low,close,volume,market_cap,return,market_return,abnormal_return,mdd,ma20,ma60,ma20_ratio,ma60_ratio,vix,vkospi,eps,psr,car_3,car_5,inst_net_buy,foreign_net_buy,foreign_holding_shares,foreign_holding_pct
2021-04-01,11719.386253898752,12624.542102777112,11671.746472378838,12410.1630859375,3562420,1198998710617.005,0.06762288367907288,0.008486251847749982,0.059136631831322894,-0.003824081136398455,11288.24609375,10181.414990234374,1.0993880699330851,1.2189035706570115,17.329999923706055,13.54,,,0.0590314850621626,0.04572159011839905,254845.0,79974.0,3154762.0,6.38
2021-04-02,12624.541015625,13124.758678508255,12553.08134949882,12624.541015625,3196736,1219710675439.7168,0.01727438456714725,0.008227034814988876,0.009047349752158373,0.0,11389.480615234375,10249.698665364584,1.1084386937485655,1.231698748206657,17.329999923706055,13.54,,,0.06893385319358425,0.07386251655954057,159831.0,-231284.0,2922129.0,5.91
2021-04-05,13053.299831081082,14506.313133445947,12862.74070945946,14101.375,11602766,1362393896506.125,0.11698120213219387,0.0025796804070015167,0.11440152172519236,0.0,11580.03974609375,10344.97822265625,1.217731139891533,1.363113067663784,17.90999984741211,13.54,,,0.18258550330867362,0.18248035653951333,48477.0,90219.0,3012990.0,6.09
2021-04-06,14458.672883372354,15244.729234527687,14458.672883372354,14625.412109375,6421120,1413023353516.8926,0.03716212847151423,0.0020026723158714788,0.035159456155642754,0.0,11815.856591796875,10449.7857421875,1.2377784036011956,1.3995896633870504,18.1200008392334,13.54,,,0.15860832763299348,0.21849483107441936,-28732.0,-40167.0,2968602.0,6.0
2021-04-07,14744.513251542274,14839.792820211367,14172.83583952771,14720.693359375,2845828,1422228880882.2363,0.0065147736889359376,0.003303348083931734,0.0032114256050042034,0.0,12070.7294921875,10556.181282552083,1.2195363477329708,1.3945093367907846,17.15999984741211,13.54,,,0.15277240348583931,0.22095638506932058,-72839.0,68108.0,3037261.0,6.14
2021-04-08,14577.771889740565,15721.126547759433,14411.03266877948,15149.44921875,3759330,1463652810527.6602,0.02912606416748309,0.0018646264976949212,0.02726143766978817,0.0,12305.355419921874,10672.104736328125,1.2311265056370215,1.4195371572001985,16.950000762939453,13.54,,,0.06563231943043513,0.18908119090778586,-23618.0,165220.0,3202839.0,6.48
2021-04-09,15387.649174752663,15887.866872383942,15292.369613299086,15649.66796875,2645216,1511981074396.8164,0.03301893968401792,-0.003620485393435069,0.03663942507745299,0.0,12547.12734375,10794.777197265625,1.2472709919968608,1.4497444164678217,16.690000534057617,13.54,,,0.06711228835224536,0.21667326623308047,-29557.0,-115525.0,3087266.0,6.24
2021-04-12,15506.748912464489,15721.1279296875,15006.531205610794,15721.1279296875,1817454,1518885125570.962,0.004566228566650343,0.0011846575274123694,0.003381571039237974,0.0,12768.65234375,10913.479654947916,1.231228441847481,1.4405238683484336,16.90999984741211,13.54,,,0.06728243378647913,0.10565331554712609,-26543.0,-9125.0,3078154.0,6.22
2021-04-13,15721.12813730315,16006.966830708661,14958.891621555118,15125.630859375,2503458,1461351617386.0488,-0.0378787751728662,0.010680602150042073,-0.04855937732290827,-0.037878775172866155,12968.739404296875,11025.036165364583,1.1663146577194303,1.3719348066079395,16.649999618530273,13.54,,,-0.008538381206217305,0.021934482068575067,-179002.0,-46117.0,3030397.0,6.13
2021-04-14,15220.910423843505,15530.569008366143,14696.872819266733,15125.630859375,1751134,1461351617386.0488,0.0,0.0041967398612940965,-0.0041967398612940965,-0.037878775172866155,13161.68056640625,11127.46171875,1.1492172890125838,1.3593064835161826,16.989999771118164,13.54,,,-0.04937454614496439,0.014526316602276768,-160892.0,129230.0,3159102.0,6.39
2021-04-15,15149.451002854566,15244.730568910256,14768.33273863181,14863.6123046875,1116956,1436036888880.665,-0.017322818276045537,0.003755112762320101,-0.021077931038365638,-0.054545426310072996,13316.50986328125,11216.389339192709,1.1161792734950926,1.325169076714423,16.56999969482422,13.54,,,-0.073834048222568,-0.03381305210587704,-83822.0,30227.0,3189632.0,6.45
2021-04-16,14887.432764446925,15244.731150793652,14815.97308717758,15006.5322265625,1059060,1449844991228.956,0.009615423151875913,0.0013430168321924008,0.008272406319683512,-0.045454480513167916,13459.429248046876,11305.713948567709,1.114945660027904,1.3273405195665364,16.25,13.54,,,-0.017002264579976223,-0.06218007086364652,-38495.0,-22783.0,3166739.0,6.4
2021-04-19,15054.170530523255,15768.767232921511,15054.170530523255,15363.8291015625,2996066,1484364964050.0967,0.0238094230969339,6.877049948594838e-05,0.023740652597447953,-0.022727302374423324,13604.73056640625,11400.993505859375,1.1293005051860372,1.3475868654487422,17.290000915527344,13.54,,,0.010935127878765827,-0.04182098930543654,-81517.0,-65162.0,3100021.0,6.27
2021-04-20,15530.567967562689,15673.4873046875,15268.54918283387,15673.4873046875,1339854,1514282361888.29,0.020155014812909267,0.0068336842982559265,0.01332133051465334,-0.0030303566775280164,13791.716650390625,11499.052034505208,1.1364420907127306,1.3630242960598893,18.68000030517578,13.54,,,0.045334389431784805,0.02005971853212507,-20763.0,38120.0,3138569.0,6.35
2021-04-21,15673.487595735629,15792.587045551249,15411.468806141263,15744.947265625,1291796,1521186413062.4355,0.004559289170836145,-0.015226515914547267,0.019785805085383412,0.0,13988.23076171875,11597.110579427082,1.1255853248227654,1.357661217230786,17.5,13.54,,,0.056847788197484705,0.04404226347880258,38941.0,-7876.0,3130945.0,6.33
