날짜,시가,고가,저가,종가,거래량,시가총액,수익률,시장수익률,이상수익률,최대낙폭,20일이동평균,60일이동평균,20일이평비율,60일이평비율,VIX,VKOSPI,EPS,PSR,누적이상수익률_3일,누적이상수익률_5일,기관_순매매,외국인_순매매,보유주수,보유율_%
2023-08-14,45785.84562602796,46228.93445466694,44899.66796875,44899.66796875,1640285,4279486133371.0938,-0.04702188821460207,-0.007868717342637166,-0.039153170871964904,-0.1460672997016591,46457.861328125,34948.21923828125,0.9664600712381116,1.2847483776675015,14.819999694824219,,3127.5856881385594,-15031.137442985144,-0.010322021127163072,-0.02913521293931365,-6159.0,-58768.0,8315294.0,8.54
2023-08-16,45884.30529595015,48739.766355140186,45835.07320872274,47410.5,5017582,4518799058100.0,0.05592094874727205,-0.017593352657915062,0.07351430140518711,-0.09831457293465601,46388.936328125,35312.53665364583,1.022021709328473,1.3425968365007026,16.780000686645508,,3127.5856881385594,-15031.137442985144,0.06075623460841795,0.03117807899804692,117183.0,563707.0,8883087.0,9.13
2023-08-17,46475.09044871795,49133.623165064106,45785.841225961536,48001.28515625,3676231,4575108091069.531,0.012461061500089743,-0.002292407139627861,0.014753468639717604,-0.08707861537426008,46647.4046875,35683.418359375,1.0290237040585626,1.3451986206259514,17.889999389648438,,3127.5856881385594,-15031.137442985144,0.04911459917293981,0.07794574891774164,119612.0,75815.0,8956775.0,9.2
2023-08-18,47164.33967479455,59767.754034656136,47016.64341276492,56912.29296875,17063369,5424435849896.094,0.18564102572449026,-0.006091670957144357,0.19173269668163462,0.0,47230.8048828125,36195.43206380208,1.204982492040076,1.5723611992924986,17.299999237060547,,3127.5856881385594,-15031.137442985144,0.28000046672653933,0.26724239992977017,-195379.0,491647.0,9454897.0,9.71
2023-08-21,57896.935694095475,59964.68339745603,56616.90140153894,58783.11328125,7634521,5602747849685.156,0.03287198977428751,0.001716929058943828,0.031155060715343685,0.0,47954.51640625,36739.446614583336,1.225809739864016,1.5999999645589833,17.1299991607666,,3127.5856881385594,-15031.137442985144,0.2376412260366959,0.2720023565699181,60279.0,-100309.0,9353668.0,9.61
2023-08-22,61244.72351030466,62327.829553091404,54450.694696460574,54943.015625,7321810,5236739693853.125,-0.06532654434066654,0.0027662393459739754,-0.06809278368664051,-0.06532654434066658,48377.9125,37207.15149739583,1.1357045557722236,1.476678902141851,16.969999313354492,,3127.5856881385594,-15031.137442985144,0.1547949737103378,0.2430627437552425,-25139.0,-350750.0,9001727.0,9.25
2023-08-23,53958.37009320176,58487.72232730263,53958.37009320176,56124.58203125,6208892,5349357387478.906,0.021505306776651745,-0.0040703690660103264,0.02557567584266207,-0.04522610494071948,48904.6958984375,37697.01077473958,1.1476317560139082,1.4888337530693168,15.979999542236328,,3127.5856881385594,-15031.137442985144,-0.011362047128634756,0.19512411819271747,-55854.0,156926.0,9185766.0,9.44
2023-08-24,59669.294383445944,59964.68692989865,54352.2285472973,54647.62109375,6139264,5208584991211.719,-0.02631575833700872,0.012843716479993939,-0.03915947481700266,-0.07035170402958404,49480.711328125,38161.43349609375,1.1044227058774743,1.4320117481787942,17.200000762939453,,3127.5856881385594,-15031.137442985144,-0.0816765826609811,0.1412111747359972,61820.0,-463657.0,8718690.0,8.96
2023-08-25,53564.515625,55533.799287683825,53269.123075597425,53564.515625,2579662,5105351826153.125,-0.019819810031472263,-0.0073059012806685475,-0.012513908750803715,-0.08877715665179951,49899.184375,38618.471419270834,1.0734547326957187,1.3870180164166468,15.680000305175781,,3127.5856881385594,-15031.137442985144,-0.026097707725144303,-0.06303543069644113,-171663.0,160804.0,9078535.0,9.33
2023-08-28,53761.440170454545,54450.68940340909,52579.87005681818,54155.296875,1679670,5161660486809.375,0.011029339911071023,0.009634248420563818,0.0013950914905072054,-0.07872697017777966,50285.6560546875,39088.637858072914,1.0769531736068856,1.3854485559622896,15.079999923706055,,3127.5856881385594,-15031.137442985144,-0.05027829207729917,-0.09279539992127761,15150.0,67340.0,9146651.0,9.4
2023-08-29,54549.155586008135,56715.367540687155,53859.906327701174,54450.69140625,2487739,5189815189450.781,0.005454582437832922,0.0034402633874863753,0.002014319050346547,-0.0737018104888622,50620.4341796875,39574.39446614583,1.0756662262707235,1.3759071273429135,14.449999809265137,,3127.5856881385594,-15031.137442985144,-0.009104498209949963,-0.02268829718429055,18254.0,-102015.0,9045387.0,9.29
2023-08-30,56321.511055166375,57404.6170369965,55041.4767130035,56223.046875,3388659,5358742288359.375,0.032549733033262473,0.003549957254152636,0.028999775779109838,-0.04355105171108033,50802.5931640625,40098.71624348958,1.1066963982218905,1.402115881555893,13.880000114440918,,3127.5856881385594,-15031.137442985144,0.03240918631996359,-0.019264197247842785,-47.0,407286.0,9453976.0,9.71
2023-08-31,56223.04533340301,58881.578125,54844.546848871236,58881.578125,7087487,5612132750565.625,0.047285435382231844,-0.0019326536683672568,0.0492180890505991,0.0,51321.9916015625,40669.80846354167,1.1472972167979418,1.4477958060162546,13.569999694824219,,3127.5856881385594,-15031.137442985144,0.08023218388005549,0.06911336661975898,64550.0,741600.0,10196789.0,10.48
2023-09-01,57601.546875,59472.366346153845,56715.369230769225,57601.546875,3404907,5490130156059.375,-0.02173907851590895,0.00291046773204906,-0.02464954624795801,-0.02173907851590895,51774.9271484375,41208.89986979167,1.1125374780317454,1.3977938517408717,13.09000015258789,,3127.5856881385594,-15031.137442985144,0.05356831858175093,0.05697772912260468,-271215.0,-388984.0,9807549.0,10.08
2023-09-04,59078.50757087629,59373.900108730675,56715.36726804124,57306.15234375,1925458,5461975453417.969,-0.00512823955736863,0.008128878932546657,-0.013257118489915287,-0.02675583487089154,52328.7880859375,41727.47789713542,1.0951171322683486,1.3733433035425335,13.09000015258789,,3127.5856881385594,-15031.137442985144,0.011311424312725804,0.04232551914218219,-112828.0,135140.0,9941978.0,10.21
