date,open,high,low,close,volume,market_cap,return,market_return,abnormal_return,mdd,ma20,ma60,ma20_ratio,ma60_ratio,vix,vkospi,eps,psr,car_3,car_5,inst_net_buy,foreign_net_buy,foreign_holding_shares,foreign_holding_pct
2023-08-21,8483.266009150553,8703.237957527625,8483.266009150553,8655.41796875,68815,153899849014.10547,0.008918586649667715,0.001716929058943828,0.007201657590723887,-0.19196423076926528,9245.5166015625,9829.079866536458,0.9361746175748824,0.8805929025175344,17.1299991607666,16.03,489.2596104900619,32.80920949500297,0.01454227894062321,-0.02550982907775501,1075.0,-16580.0,127241.0,0.72
2023-08-22,8722.365958567416,8741.49395409059,8473.702016766152,8511.9580078125,95894,151349022883.28613,-0.016574585012007037,0.0027662393459739754,-0.019340824357981012,-0.20535708831912255,9168.048193359375,9810.908268229166,0.928437310569321,0.8676014264017655,16.969999313354492,15.33,489.2596104900619,32.80920949500297,0.0018177030226415036,-0.031886001990805934,274.0,-29544.0,97773.0,0.55
2023-08-23,8511.957876730285,8626.725848101929,8406.753902972945,8550.2138671875,57289,152029240869.63574,0.004494366553487117,-0.0040703690660103264,0.008564735619497443,-0.20178567179489837,9110.185986328124,9790.345670572917,0.9385334042596948,0.8733311524318379,15.979999542236328,14.97,489.2596104900619,32.80920949500297,-0.0035744311477596824,0.003766190202139641,2722.0,9245.0,106747.0,0.6
2023-08-24,8674.545638020834,8894.517578125,8645.853645833333,8751.0576171875,114574,155600393979.9795,0.023489909506329676,0.012843716479993939,0.010646193026335737,-0.18303568945870474,9090.1015625,9768.507861328126,0.9627018528911514,0.8958438424184988,17.200000762939453,13.94,489.2596104900619,32.80920949500297,-0.0001298957121478317,0.021028631668474684,-290.0,7602.0,114276.0,0.64
2023-08-25,8617.161784580776,8655.417774745396,8521.521809169224,8569.341796875,70943,152369349862.81055,-0.020765012443250463,-0.0073059012806685475,-0.013459111162581916,-0.19999996353278632,9032.717578125,9746.670068359375,0.9487002912199777,0.8792071278470441,15.680000305175781,14.86,489.2596104900619,32.80920949500297,0.005751817483251265,-0.006387349284005861,1741.0,-17053.0,97223.0,0.55
2023-08-28,8607.598104018833,9076.23400079319,8588.470108232124,8760.6220703125,180730,155770457158.5752,0.022321466218940378,0.009634248420563818,0.01268721779837656,-0.1821427897436323,8974.85537109375,9727.54208984375,0.9761296096791428,0.9005997598775971,15.079999923706055,14.18,489.2596104900619,32.80920949500297,0.009874299662130381,-0.0009017890763531877,1401.0,-3116.0,94103.0,0.53
2023-08-29,8980.59375,9171.873702076677,8865.825778753993,8980.59375,226084,159681719262.09375,0.025109139273674197,0.0034402633874863753,0.02166887588618782,-0.16160709914532653,8937.55576171875,9712.717887369792,1.0048154092045603,0.9246221144421553,14.449999809265137,13.49,489.2596104900619,32.80920949500297,0.020896982521982466,0.040107911167815646,658.0,14541.0,108592.0,0.61
2023-08-30,9104.925520833334,9143.181510416667,8990.157552083334,9037.9775390625,106348,160702046241.61816,0.0063897544705771026,0.003549957254152636,0.0028397972164244667,-0.1562499743589903,8908.385546875,9700.603483072917,1.0145471916887296,0.9316922967559012,13.880000114440918,13.05,489.2596104900619,32.80920949500297,0.03719589090098885,0.03438297276474267,-328.0,18854.0,127445.0,0.72
2023-08-31,9066.669799010304,9095.361792045147,8751.057875627033,8818.005859375,80622,156790784138.0996,-0.02433859552502471,-0.0019326536683672568,-0.022405941856657452,-0.17678566495729606,8880.65,9685.779280598957,0.9929459959997298,0.9104074751153842,13.569999694824219,12.78,489.2596104900619,32.80920949500297,0.0021027312459548364,0.0013308378817494804,1231.0,-4671.0,122764.0,0.69
2023-09-01,8751.058177409874,9535.306014073929,8751.058177409874,9152.74609375,413203,162742717564.6836,0.03796099024124766,0.00291046773204906,0.0350505225091986,-0.14553563361828478,8871.08603515625,9675.737093098958,1.031750346854661,0.9459482007089701,13.09000015258789,12.53,489.2596104900619,32.80920949500297,0.015484377868965615,0.04984047155353,-8829.0,37937.0,160553.0,0.9
