universe_rank,company_dir,company_name,ticker6,market,peer_group,semiconductor_tag,is_focal_5,market_data_available,data_quality_status,data_quality_status_kr,manual_review_priority,manual_review_priority_kr,valuation_proxy_score,valuation_proxy_label,valuation_proxy_label_kr,valuation_pred_label,valuation_confidence,valuation_confidence_bucket,valuation_confidence_bucket_kr,credit_risk_score,credit_proxy_label,credit_proxy_label_kr,credit_pred_label,credit_confidence,credit_confidence_bucket,credit_confidence_bucket_kr,credit_anomaly_score,credit_anomaly_flag_top15pct,auditor_requires_human_review,source_type,source_note,focus_reason,is_target
70,telechips,텔레칩스,054450,KOSDAQ,팹리스/설계,팹리스/설계,True,True,OK,데이터 사용 가능,LOW,LOW,0.4943434343434343,FAIR,FAIR,EXPENSIVE,0.5716537225721987,MEDIUM,MEDIUM,0.7142857142857143,HIGH_RISK,고위험,HIGH_RISK,0.9759550340612091,HIGH,HIGH,0.07328745198510121,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,TARGET,True
62,,에스에이엠티,031330,KOSDAQ,팹리스/설계,팹리스/설계,False,True,OK,데이터 사용 가능,LOW,LOW,0.7838383838383839,FAIR,FAIR,FAIR,0.8575928985222669,HIGH,HIGH,0.5,HIGH_RISK,고위험,HIGH_RISK,0.5021487096911619,MEDIUM,MEDIUM,0.11372149345925425,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
65,,유니트론텍,142210,KOSDAQ,팹리스/설계,팹리스/설계,False,True,OK,데이터 사용 가능,LOW,LOW,0.7478787878787879,FAIR,FAIR,FAIR,0.8593164302034415,HIGH,HIGH,0.3571428571428571,MEDIUM_RISK,중위험,MEDIUM_RISK,0.6687746551665015,MEDIUM,MEDIUM,0.05354194050015521,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
60,,앤씨앤,092600,KOSDAQ,팹리스/설계,팹리스/설계,False,True,OK,데이터 사용 가능,LOW,LOW,0.7450505050505051,FAIR,FAIR,FAIR,0.8450252323777523,HIGH,HIGH,0.5,HIGH_RISK,고위험,HIGH_RISK,0.6852720703017778,MEDIUM,MEDIUM,0.05126917274476802,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
47,,마이크로컨텍솔,098120,KOSDAQ,팹리스/설계,팹리스/설계,False,True,OK,데이터 사용 가능,LOW,LOW,0.7383838383838384,ATTRACTIVE,가치 매력,ATTRACTIVE,0.8262966149459129,HIGH,HIGH,0.1428571428571428,LOW_RISK,저위험,LOW_RISK,0.7491981695245683,HIGH,HIGH,0.08427857084894262,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
55,,아이앤씨,052860,KOSDAQ,팹리스/설계,팹리스/설계,False,True,OK,데이터 사용 가능,LOW,LOW,0.7325252525252526,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9267130449922303,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.8920304728976969,HIGH,HIGH,0.022475117759514655,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
48,,매커스,093520,KOSDAQ,팹리스/설계,팹리스/설계,False,True,OK,데이터 사용 가능,LOW,LOW,0.7056565656565656,ATTRACTIVE,가치 매력,ATTRACTIVE,0.9375173489226767,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.8297390345025338,HIGH,HIGH,0.08420442573717486,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
41,lxsemicon,LX세미콘,108320,KOSPI,팹리스/설계,팹리스/설계,True,True,OK,데이터 사용 가능,LOW,LOW,0.6953535353535354,ATTRACTIVE,가치 매력,ATTRACTIVE,0.951012131492064,HIGH,HIGH,0.0,LOW_RISK,저위험,LOW_RISK,0.9675260077633142,HIGH,HIGH,0.0526549169074082,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
61,abov,어보브반도체,102120,KOSDAQ,팹리스/설계,팹리스/설계,True,True,OK,데이터 사용 가능,LOW,LOW,0.6933333333333332,FAIR,FAIR,FAIR,0.9028406871788379,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.7134163381020407,HIGH,HIGH,0.020764615542161708,False,False,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
58,,알에프세미,096610,KOSDAQ,팹리스/설계,팹리스/설계,False,True,OK,데이터 사용 가능,LOW,LOW,0.603030303030303,ATTRACTIVE,가치 매력,ATTRACTIVE,0.8083150256499313,HIGH,HIGH,0.0714285714285714,LOW_RISK,저위험,LOW_RISK,0.8655657172147194,HIGH,HIGH,0.30686355706948754,True,True,valuation_credit_ml_overlay_candidate.csv,208개 반도체 reference universe. Valuation Agent가 자체 intake 폴더로 복제해 Peer/ML/대시보드 비교에 사용.,SAME_PEER_GROUP,False
