left_source_index,right_source_index,similarity
16,29,0.4955
21,29,0.4675
1,11,0.4574
16,21,0.4505
1,12,0.443
11,12,0.4383
13,24,0.3968
9,24,0.3727
0,24,0.3526
9,13,0.3273
7,9,0.3199
0,13,0.3095
0,9,0.255
28,29,0.2482
21,28,0.2432
16,28,0.2424
20,26,0.2397
9,20,0.2338
12,20,0.2183
11,22,0.2137
