record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020060003715|1006870990000|시스템 클린 유닛|주식회사 네패스,시스템 클린 유닛,주식회사 네패스,1020060003715,,1006870990000,등록,2006,2007,2007,H10P; F04D,,,True,True,False,41.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,169
1020050114959|1007152230000|초음파 분산법을 이용한 액정표시장치 컬러필터용 안료분산조성물의 제조방법 및 초음파 분산기에 사용되는액정표시장치 컬러필터용 안료분산 조성물|주식회사 네패스,초음파 분산법을 이용한 액정표시장치 컬러필터용 안료분산조성물의 제조방법 및 초음파 분산기에 사용되는액정표시장치 컬러필터용 안료분산 조성물,주식회사 네패스,1020050114959,,1007152230000,등록,2005,2007,2007,C09C; C09B,,,True,True,False,41.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,172
1020120105236|1014776710000|엘이디 조명장치|주식회사 네패스이앤씨,엘이디 조명장치,주식회사 네패스이앤씨,1020120105236,,1014776710000,등록,2012,2014,2014,F21V; F21Y,,,True,True,False,41.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,390
"1020130030297|1015028350000|LED용 서브마운트, LED칩 및 LED칩 제조방법|주식회사 네패스","LED용 서브마운트, LED칩 및 LED칩 제조방법",주식회사 네패스,1020130030297,,1015028350000,소멸,2013,2015,2015,H10H,,공정; 기판,True,True,True,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,19
"1020040024217|1005979930000|반도체 패키지용 범프, 그 범프를 적용한 반도체 패키지 및 제조방법|주식회사 네패스","반도체 패키지용 범프, 그 범프를 적용한 반도체 패키지 및 제조방법",주식회사 네패스,1020040024217,,1005979930000,소멸,2004,2006,2006,H10W,,기판; 반도체,True,True,True,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,28
1020130115525|1015478320000|이리듐 발광 화합물 및 이를 채용한 유기발광 소자|주식회사 네패스,이리듐 발광 화합물 및 이를 채용한 유기발광 소자,주식회사 네패스,1020130115525,,1015478320000,소멸,2013,2015,2015,C09K; C01G; H10K,,소자,True,True,True,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,52
1020240161901||배터리 화재 전파 지연용 스틱 및 이를 포함하는 배터리 모듈|주식회사 네패스야하드,배터리 화재 전파 지연용 스틱 및 이를 포함하는 배터리 모듈,주식회사 네패스야하드,1020240161901,,,공개,2024,,,A62C; A62D; H01M,,,True,False,False,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,98
1020240047564||소화층이 형성된 배터리 모듈|주식회사 네패스야하드,소화층이 형성된 배터리 모듈,주식회사 네패스야하드,1020240047564,,,공개,2024,,,H01M; A62C; A62D,,,True,False,False,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,100
1020240029749||반도체 패키지 및 이의 제조방법|주식회사 네패스,반도체 패키지 및 이의 제조방법,주식회사 네패스,1020240029749,,,공개,2024,,,H10W,,반도체,True,False,False,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,102
1020150100340|1018041760000|실란-게르만 화합물 및 이를 포함하는 유기발광소자|주식회사 네패스,실란-게르만 화합물 및 이를 포함하는 유기발광소자,주식회사 네패스,1020150100340,,1018041760000,소멸,2015,2017,2017,C07F; H10K; C09K,,소자,True,True,True,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,134
1020140031365|1015678900000|이리듐 발광 화합물 및 이를 채용한 유기발광 소자|주식회사 네패스,이리듐 발광 화합물 및 이를 채용한 유기발광 소자,주식회사 네패스,1020140031365,,1015678900000,소멸,2014,2015,2015,C09K; H01L; H10K,,소자,True,True,True,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,167
1020090083280|1011042710000|디스플레이 패널 유리판의 초박형화를 위한 에칭방법|주식회사 네패스,디스플레이 패널 유리판의 초박형화를 위한 에칭방법,주식회사 네패스,1020090083280,,1011042710000,소멸,2009,2012,2012,C03C; H10P; G02F,,공정,True,True,True,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,183
1020140187181|1017758910000|질소 헤테로 고리계 호스트 화합물 및 이를 채용한 유기발광 소자|주식회사 네패스,질소 헤테로 고리계 호스트 화합물 및 이를 채용한 유기발광 소자,주식회사 네패스,1020140187181,,1017758910000,소멸,2014,2017,2017,C07D; C09K; H10K,,소자,True,True,True,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,220
1020110145520|1013464200000|반도체 패키지 및 그 제조 방법|주식회사 네패스,반도체 패키지 및 그 제조 방법,주식회사 네패스,1020110145520,,1013464200000,소멸,2011,2014,2013,H10W,,재배선; 반도체,True,True,True,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,277
1020150113780|1016123180000|비결정질 금속 산화물 식각용 식각액 조성물 및 이를 이용한 금속 패턴의 형성 방법|주식회사 네패스,비결정질 금속 산화물 식각용 식각액 조성물 및 이를 이용한 금속 패턴의 형성 방법,주식회사 네패스,1020150113780,,1016123180000,소멸,2015,2016,2016,C09K; C23C; C23F,,공정,True,True,True,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,318
1020130140958|1015354030000|반도체 패키지 제조방법|주식회사 네패스,반도체 패키지 제조방법,주식회사 네패스,1020130140958,,1015354030000,소멸,2013,2015,2015,H10W,,공정; 반도체,True,True,True,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,336
1020240047565||배터리 화재 전파 차단용 스틱 및 이를 포함하는 배터리 모듈|주식회사 네패스야하드,배터리 화재 전파 차단용 스틱 및 이를 포함하는 배터리 모듈,주식회사 네패스야하드,1020240047565,,,공개,2024,,,A62C; A62D; H01M,,,True,False,False,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,379
1020120132157|1014517120000|터치스크린 패널의 제조방법 및 장치|주식회사 네패스야하드,터치스크린 패널의 제조방법 및 장치,주식회사 네패스야하드,1020120132157,,1014517120000,소멸,2012,2014,2014,G06F,,공정; 기판,True,True,True,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,414
1020240161901||배터리 화재 전파 지연 스틱 및 이를 포함하는 배터리 모듈|주식회사 네패스야하드,배터리 화재 전파 지연 스틱 및 이를 포함하는 배터리 모듈,주식회사 네패스야하드,1020240161901,1020250077366,,공개,2024,2025,,A62C; A62D; H01M,,,True,False,False,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,8
1020240160248||이차전지의 리드 탭 및 이의 제조장치|주식회사 네패스야하드,이차전지의 리드 탭 및 이의 제조장치,주식회사 네패스야하드,1020240160248,1020260071539,,공개,2024,2026,,H01M; B21D; B30B,,,True,False,False,40.5,C:\Agent_6.9\data\반도체\네패스\tech\source\nepes_kipris_plus_bibliographic_raw.csv,10
1020220049545||반도체 패키지|주식회사 네패스,반도체 패키지,주식회사 네패스,1020220049545,,,거절,2022,,,H10W; H10B,,기판; 반도체,True,False,True,40.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,45
1020110070495|1012535580000|파장변환형 발광장치|주식회사 네패스엘이디,파장변환형 발광장치,주식회사 네패스엘이디,1020110070495,,1012535580000,소멸,2011,2013,2013,F21K; H10H,,EMI,True,True,True,39.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,87
1020110070494|1012535590000|커버 교체형 발광장치|주식회사 네패스엘이디,커버 교체형 발광장치,주식회사 네패스엘이디,1020110070494,,1012535590000,소멸,2011,2013,2013,F21K; F21V,,기판,True,True,True,39.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,93
1020220150982||엣지 디바이스에서 인공지능 가속기와 통신 모뎀을 효율적으로 운용하기 위한 전자 장치|주식회사 네패스,엣지 디바이스에서 인공지능 가속기와 통신 모뎀을 효율적으로 운용하기 위한 전자 장치,주식회사 네패스,1020220150982,,,공개,2022,,,G06N; G06F,,,True,False,False,39.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,217
"1020140037935|1015546360000|미세 신호 배선 형성이 가능한 투명 터치 패널 필름, 이의 제조방법 및 이를 포함하는 터치 패널|주식회사 네패스","미세 신호 배선 형성이 가능한 투명 터치 패널 필름, 이의 제조방법 및 이를 포함하는 터치 패널",주식회사 네패스,1020140037935,,1015546360000,소멸,2014,2015,2015,G06F; B32B,,기판,True,True,True,39.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,266
1020230105277||리드 텝 필름 접착강도 자동시험장비및 그 제어방법|주식회사 네패스야하드,리드 텝 필름 접착강도 자동시험장비및 그 제어방법,주식회사 네패스야하드,1020230105277,,,공개,2023,,,G01N; H01M,,,True,False,False,39.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,380
1020110075560|1013343410000|디스플레이 패널 에칭용 카세트|주식회사 네패스야하드,디스플레이 패널 에칭용 카세트,주식회사 네패스야하드,1020110075560,,1013343410000,소멸,2011,2013,2013,G02F; B65D; H10K; H01L,,,True,True,True,39.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,397
"1020130062805|1013088830000|유색 투명 코팅액, 그 제조 방법 및 코팅된 기재|(주) 네패스 리그마","유색 투명 코팅액, 그 제조 방법 및 코팅된 기재",(주) 네패스 리그마,1020130062805,,1013088830000,소멸,2013,2013,2013,C09D; C08L; B05D; C03C,,,True,True,True,39.0,C:\Agent_6.9\data\반도체\네패스\tech\source\kipris_nepes_patents.csv,406
