left_source_index,right_source_index,similarity
9,10,0.6153
0,5,0.5822
1,5,0.5036
5,6,0.4937
1,11,0.486
6,11,0.4815
1,6,0.4668
5,11,0.4515
1,10,0.4395
0,1,0.4318
10,11,0.4142
0,6,0.4003
6,7,0.3987
0,4,0.3833
2,6,0.3817
1,29,0.3535
0,2,0.3513
5,9,0.3369
1,9,0.336
8,9,0.3336
