ticker6,company_name,peer_group,semiconductor_tag,krx_market,market_data_available,data_quality_status,manual_review_priority,valuation_proxy_score,valuation_proxy_label,credit_risk_score,credit_proxy_label,valuation_true_label,valuation_pred_label,valuation_proba_ATTRACTIVE,valuation_proba_EXPENSIVE,valuation_proba_FAIR,valuation_confidence,credit_true_label,credit_pred_label,credit_proba_HIGH_RISK,credit_proba_LOW_RISK,credit_proba_MEDIUM_RISK,credit_confidence,credit_anomaly_score,credit_anomaly_flag_top15pct,valuation_confidence_bucket,credit_confidence_bucket,auditor_requires_human_review
066310,큐에스아이,IDM/제조/메모리,IDM/제조/메모리,KOSDAQ,True,OK,LOW,0.5423333333333333,FAIR,0.0714285714285714,LOW_RISK,FAIR,FAIR,0.258647280002985,0.19172441844525606,0.5496283015517583,0.5496283015517583,LOW_RISK,LOW_RISK,0.035627968063131295,0.8341403016587674,0.1302317302781011,0.8341403016587674,0.21446147407494193,False,MEDIUM,HIGH,False
064520,테크엘,IDM/제조/메모리,IDM/제조/메모리,KOSDAQ,True,OK,LOW,0.4756666666666667,FAIR,0.5,HIGH_RISK,FAIR,FAIR,0.0013663048607833886,0.218024101464887,0.7806095936743286,0.7806095936743286,HIGH_RISK,HIGH_RISK,0.8561648968032103,0.01262442211248851,0.13121068108430145,0.8561648968032103,0.5330742789427354,True,HIGH,HIGH,True
356860,티엘비,IDM/제조/메모리,IDM/제조/메모리,KOSDAQ,True,OK,LOW,0.5361666666666667,FAIR,0.0714285714285714,LOW_RISK,FAIR,FAIR,0.041422917832375346,0.10764749167103242,0.8509295904965918,0.8509295904965918,LOW_RISK,LOW_RISK,0.10940517647926709,0.6625834729097503,0.22801135061098265,0.6625834729097503,0.01843936297746685,False,HIGH,MEDIUM,False
032580,피델릭스,IDM/제조/메모리,IDM/제조/메모리,KOSDAQ,True,OK,LOW,0.5873333333333334,FAIR,0.5,HIGH_RISK,FAIR,FAIR,0.002184397163120567,0.1373330008817777,0.8604826019551013,0.8604826019551013,HIGH_RISK,HIGH_RISK,0.9138628953549666,0.004736357028078955,0.08140074761695468,0.9138628953549666,0.0765288896391056,False,HIGH,HIGH,False
166090,하나머티리얼즈,IDM/제조/메모리,IDM/제조/메모리,KOSDAQ GLOBAL,True,OK,LOW,0.5321666666666667,FAIR,0.0,LOW_RISK,FAIR,ATTRACTIVE,0.6425667923365267,0.05086991045703165,0.30656329720644204,0.6425667923365267,LOW_RISK,LOW_RISK,0.006803090758034437,0.9093779024453453,0.0838190067966201,0.9093779024453453,0.030620686282363033,False,MEDIUM,HIGH,False
365590,하이딥,IDM/제조/메모리,IDM/제조/메모리,KOSDAQ,True,OK,LOW,0.125,EXPENSIVE,0.8571428571428571,HIGH_RISK,EXPENSIVE,EXPENSIVE,0.0,0.93355514861914,0.06644485138086022,0.93355514861914,HIGH_RISK,HIGH_RISK,0.9622719553866781,0.0010526315789473684,0.03667541303437457,0.9622719553866781,0.9999999977412558,True,HIGH,HIGH,True
078350,한양디지텍,IDM/제조/메모리,IDM/제조/메모리,KOSDAQ,True,OK,LOW,0.6805000000000001,ATTRACTIVE,0.0714285714285714,LOW_RISK,ATTRACTIVE,ATTRACTIVE,0.8705426081647281,0.01991180849777964,0.10954558333749202,0.8705426081647281,LOW_RISK,LOW_RISK,0.0568923573226602,0.7978732006060483,0.14523444207129163,0.7978732006060483,0.008155150389343335,False,HIGH,HIGH,False
108320,LX세미콘,팹리스/설계,팹리스/설계,KOSPI,True,OK,LOW,0.6953535353535354,ATTRACTIVE,0.0,LOW_RISK,ATTRACTIVE,ATTRACTIVE,0.951012131492064,0.004586335181067147,0.0444015333268684,0.951012131492064,LOW_RISK,LOW_RISK,0.006000584268419061,0.9675260077633142,0.026473407968266673,0.9675260077633142,0.0526549169074082,False,HIGH,HIGH,False
399720,가온칩스,팹리스/설계,팹리스/설계,KOSDAQ,True,OK,LOW,0.3119191919191919,EXPENSIVE,0.5714285714285714,HIGH_RISK,EXPENSIVE,EXPENSIVE,0.0005175360194487146,0.9202856043409283,0.07919685963962386,0.9202856043409283,HIGH_RISK,HIGH_RISK,0.9252273149693407,0.018418132927502447,0.056354552103157034,0.9252273149693407,0.08996216176961074,False,HIGH,HIGH,False
396270,넥스트칩,팹리스/설계,팹리스/설계,KOSDAQ,True,OK,LOW,0.3743434343434344,EXPENSIVE,0.7142857142857143,HIGH_RISK,EXPENSIVE,EXPENSIVE,0.0,0.9380466040149497,0.06195339598505068,0.9380466040149497,HIGH_RISK,HIGH_RISK,0.9903921975513593,0.0,0.009607802448640795,0.9903921975513593,0.35370954409664757,True,HIGH,HIGH,True
094170,동운아나텍,팹리스/설계,팹리스/설계,KOSDAQ,True,OK,LOW,0.3670707070707071,EXPENSIVE,0.2142857142857142,MEDIUM_RISK,EXPENSIVE,EXPENSIVE,0.023368083660928882,0.4894423516429773,0.487189564696094,0.4894423516429773,MEDIUM_RISK,MEDIUM_RISK,0.2786772303656561,0.21496957271465406,0.5063531969196903,0.5063531969196903,0.09811976029987664,False,LOW,MEDIUM,True
317120,라닉스,팹리스/설계,팹리스/설계,KOSDAQ,True,OK,LOW,0.3208080808080809,EXPENSIVE,0.7142857142857143,HIGH_RISK,EXPENSIVE,EXPENSIVE,0.0,0.9281808400807596,0.07181915991924134,0.9281808400807596,HIGH_RISK,HIGH_RISK,0.9891542031597422,0.0,0.01084579684025782,0.9891542031597422,0.2722138190712409,True,HIGH,HIGH,True
232680,라온로보틱스,팹리스/설계,팹리스/설계,KOSDAQ,True,OK,LOW,0.4745454545454545,FAIR,0.1428571428571428,LOW_RISK,FAIR,FAIR,0.05276414877634137,0.16089838370686604,0.7863374675167921,0.7863374675167921,LOW_RISK,LOW_RISK,0.06933950929602418,0.6877521386643212,0.24290835203965497,0.6877521386643212,0.026169607074936322,False,HIGH,MEDIUM,False
098120,마이크로컨텍솔,팹리스/설계,팹리스/설계,KOSDAQ,True,OK,LOW,0.7383838383838384,ATTRACTIVE,0.1428571428571428,LOW_RISK,ATTRACTIVE,ATTRACTIVE,0.8262966149459129,0.022919484302955734,0.1507839007511313,0.8262966149459129,LOW_RISK,LOW_RISK,0.023226158062494374,0.7491981695245683,0.22757567241293705,0.7491981695245683,0.08427857084894262,False,HIGH,HIGH,False
093520,매커스,팹리스/설계,팹리스/설계,KOSDAQ,True,OK,LOW,0.7056565656565656,ATTRACTIVE,0.0,LOW_RISK,ATTRACTIVE,ATTRACTIVE,0.9375173489226767,0.01083065287185696,0.051651998205465906,0.9375173489226767,LOW_RISK,LOW_RISK,0.029347477756401747,0.8297390345025338,0.14091348774106432,0.8297390345025338,0.08420442573717486,False,HIGH,HIGH,False
452430,사피엔반도체,팹리스/설계,팹리스/설계,KOSDAQ,True,OK_LIMITED_HISTORY_OR_GROWTH_NA,LOW,0.3721212121212121,EXPENSIVE,0.5714285714285714,HIGH_RISK,EXPENSIVE,EXPENSIVE,0.005661711608006561,0.8482781866315999,0.14606010176039516,0.8482781866315999,HIGH_RISK,MEDIUM_RISK,0.3626408455496462,0.0627906479918191,0.5745685064585346,0.5745685064585346,0.12187984427462309,False,HIGH,MEDIUM,True
