source,source_column,sub_sector,recommendation,count,pct,total
recomputed_from_agent_signals,fixed_recommendation_from_recomputed,미분류,매수,1,3.3333,30
recomputed_from_agent_signals,fixed_recommendation_from_recomputed,미분류,보유,28,93.3333,30
recomputed_from_agent_signals,fixed_recommendation_from_recomputed,미분류,매도,1,3.3333,30
recomputed_from_agent_signals,fixed_recommendation_from_recomputed,미분류,기타/공백,0,0.0,30
