source_application_number,family_id,family_type,country_code,application_country_code,publication_country_code,priority_country_code,family_application_number,family_application_date,family_publication_number,family_publication_date,family_registration_number,priority_number,pct_application_number,title,applicant,legal_status,_raw_keys,jurisdictions_inferred,is_overseas_family
1020230046386,86226409,,EP,EP,EP,,23169715,20230425,4443811,20241009,,,23169715,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020230046386,86226409,,JP,JP,JP,,2023071643,20230425,2024149311,20241018,,,2023071643,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020230046386,86226409,,JP,JP,JP,,2023071643,20230425,7710653,20250722,,,2023071643,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020230046386,86226409,,US,US,US,,202318139018,20230425,12432051,20250930,,,202318139018,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230046386,86226409,,US,US,US,,202318139018,20230425,2024340165,20241010,,,202318139018,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230046386,86226409,,KR,KR,WO,,2023005642,20230426,2024210252,20241010,,,2023005642,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020230046387,86226295,,CN,CN,CN,,202310456773,20230425,118784213,20241015,,,202310456773,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020230046387,86226295,,EP,EP,EP,,23169722,20230425,4443812,20241009,,,23169722,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,EP,Y
1020230046387,86226295,,JP,JP,JP,,2023071651,20230425,2024149312,20241018,,,2023071651,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020230046387,86226295,,US,US,US,,202318139152,20230425,2024340166,20241010,,,202318139152,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020230046387,86226295,,KR,KR,WO,,2023005643,20230426,2024210253,20241010,,,2023005643,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020140113197,53394850,,CN,CN,CN,,201580002310,20150828,105658702,20160608,,,201580002310,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020140113197,53394850,,CN,CN,CN,,201580002310,20150828,105658702,20180807,,,201580002310,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020140113197,53394850,,JP,JP,JP,,2018129866,20180709,2018184611,20181122,,,2018129866,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020140113197,53394850,,JP,JP,JP,,2016535146,20150828,2017504676,20170209,,,2016535146,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020140113197,53394850,,JP,JP,JP,,2016535146,20150828,6585592,20191002,,,2016535146,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
1020140113197,53394850,,US,US,US,,201515039740,20150828,2017166700,20170615,,,201515039740,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020140113197,53394850,,US,US,US,,201515039740,20150828,10409162,20190910,,,201515039740,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020140113197,53394850,,KR,KR,WO,,2015009030,20150828,2016032269,20160303,,,2015009030,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,KR|WO,Y
1020180062247,65584421,,CN,CN,CN,,201910462633,20190530,110551503,20191210,,,201910462633,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020180062247,65584421,,CN,CN,CN,,201910462633,20190530,110551503,20210416,,,201910462633,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020180062247,65584421,,US,US,US,,201916425333,20190529,2019367811,20191205,,,201916425333,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020180062247,65584421,,US,US,US,,201916425333,20190529,10995268,20210504,,,201916425333,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,US,Y
1020090078867,42219464,,CN,CN,CN,,201080001518,20100819,102216855,20111012,,,201080001518,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020090078867,42219464,,CN,CN,CN,,201080001518,20100819,102216855,20131113,,,201080001518,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,CN,Y
1020090078867,42219464,,JP,JP,JP,,2011528961,20100819,2012500421,20120105,,,2011528961,,,,applicationCountryCode|applicationDate|applicationKindCode|applicationNumber|docdbFamilyID|publicationCountryCode|publicationDate|publicationKindCode|publicationNumber,JP,Y
