year,sales,operating_income,net_income,total_assets,total_liabilities,total_equity,rnd,capex,ocf,fcf,interest,amort_cogs,amort_sga,amort_total,ROE,영업이익률,부채비율,이자보상배율
2021,521795722530.0,26004269421.0,18036326458.0,582802440834.0,236554070163.0,346248370671.0,,66193473289,14741468172,-51452005117,4905034699.0,,,,5.209071864525204,4.983611075789322,68.319186514749,5.301546475563475
2022,680206980850.0,64645433271.0,45002267196.0,662279122926.0,270602941282.0,391676181644.0,,53625183450,60877072895,7251889445,17779658094.0,,,,11.489661435911156,9.503788565977048,69.08843426378039,3.635921058167903
2023,574762367332.0,24700466058.0,-23244757125.0,658600745137.0,292358799664.0,366241945473.0,,107119283407,51774962251,-55344321156,16502421942.0,,,,-6.346830943948675,4.297509277209214,79.82668377496186,1.4967782392677353
2024,582433714374.0,59332428655.0,29728683765.0,723550621048.0,322156441586.0,401394179462.0,17229551938.0,88496271839,107853954002,19357682163,14250807146.0,,,,7.406356466066896,10.186983890307676,80.25937048160374,4.163443378830214
2025,670896289801.0,78076791477.0,50306212220.0,749300530429.0,299203662183.0,450096868246.0,,3848322090,103080225506,99231903416,15260926598.0,,,,11.176752332456841,11.63768419410383,66.47539303016669,5.116123911324771
