year,sales,operating_income,net_income,total_assets,total_liabilities,total_equity,rnd,capex,ocf,fcf,interest,amort_cogs,amort_sga,amort_total,ROE,영업이익률,부채비율,이자보상배율
2021,380704248695.0,-13347472838.0,-11049867743.0,407989337418.0,222262329070.0,185727008348.0,,17916148755,22118402140,4202253385,8243857077.0,,,,-5.949521203882026,-3.5059952400723757,119.67151737756048,-1.6190810579721069
2022,459701513173.0,-22572658741.0,-30614748386.0,410426152133.0,247266163970.0,163159988163.0,,45718073395,59823057795,14104984400,12479025382.0,,,,-18.7636372928731,-4.910285934278664,151.54828506298756,-1.8088478907623076
2023,377629884303.0,-25491183071.0,-40077871037.0,354942471462.0,215182439320.0,139760032142.0,,9807602933,5924480292,-3883122641,11761929768.0,,,,-28.67620336283251,-6.750308736303974,153.96564813420247,-2.167261969235047
2024,357809975395.0,-39612427225.0,-63461100648.0,383084839324.0,244473205195.0,138611634129.0,,6118926313,-72296546056,-78415472369,18758872877.0,,,,-45.78338683240646,-11.070800131066871,176.37278914660158,-2.111663503704866
2025,375129006470.0,-2237980329.0,-19202865906.0,360325583031.0,238572655046.0,121752927985.0,,19424680002,12961694124,-6462985878,18761480457.0,,,,-15.77199515757502,-0.5965895173128866,195.94818703283443,-0.11928591318415913
