left_source_index,right_source_index,similarity
2,38,0.9741
17,38,0.9385
2,17,0.9174
82,86,0.915
52,86,0.9142
52,82,0.8784
17,40,0.8667
35,54,0.8585
38,40,0.8495
2,40,0.8388
37,40,0.8362
35,82,0.8191
35,86,0.8099
35,52,0.7828
17,37,0.7747
54,86,0.7595
37,38,0.744
24,77,0.7402
2,37,0.7314
65,71,0.7311
