fiscal_year,revenue,operating_profit,net_income,total_assets,total_liabilities,equity,cash_and_equivalents,operating_cash_flow,capex,fcf,investing_cf,source_account_count,revenue_source_account,operating_profit_source_account,net_income_source_account,assets_source_account,liabilities_source_account,equity_source_account,cfo_source_account,capex_source_account,cash_source_account,ebit,ebitda,source
2021,57108751854.0,22064316158.0,18074794225.0,75979578996.0,10352003267.0,65627575729.0,15286105765.0,10405860711.0,4141985284.0,6263875427.0,-10490445530.0,185,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,유형자산의 취득,현금및현금성자산,22064316158.0,,valuation_intake_normalized_or_dart
2022,114942873898.0,56503520126.0,43409750571.0,121191635691.0,21553973431.0,99637662260.0,49813040949.0,51112529145.0,4537730873.0,46574798272.0,-3510668511.0,220,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,유형자산의 취득,현금및현금성자산,56503520126.0,,valuation_intake_normalized_or_dart
2023,87930571023.0,36165536410.0,30933600268.0,142961730739.0,15952635677.0,127009095062.0,7680169398.0,396939068.0,10000000.0,386939068.0,-38099094111.0,168,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동순현금흐름,무형자산의 취득,현금및현금성자산,36165536410.0,,valuation_intake_normalized_or_dart
2024,113719875873.0,46974727733.0,38427640891.0,189816880876.0,32176812442.0,157640068434.0,31907294942.0,42758171502.0,1100521262.0,41657650240.0,-18666750962.0,163,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동순현금흐름,무형자산의 취득,현금및현금성자산,46974727733.0,,valuation_intake_normalized_or_dart
