left_source_index,right_source_index,similarity
1,3,0.9639
10,17,0.6223
14,18,0.5684
20,21,0.4396
40,42,0.437
6,11,0.3728
28,46,0.3598
9,10,0.3436
9,17,0.3346
0,1,0.3247
0,3,0.3221
50,51,0.3105
36,53,0.2844
2,16,0.236
29,46,0.2285
46,49,0.2167
55,56,0.2137
11,12,0.2105
5,8,0.2101
28,29,0.2093
