left_source_index,right_source_index,similarity
96,114,0.4844
4,8,0.4791
27,29,0.4333
45,53,0.4073
8,21,0.387
6,13,0.3693
29,55,0.3649
32,52,0.3543
4,18,0.3492
2,19,0.3322
27,55,0.3267
21,105,0.3255
43,55,0.3152
60,96,0.308
76,96,0.3044
60,114,0.283
4,21,0.2826
50,52,0.2821
48,50,0.282
76,114,0.2795
