record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020000061763|1005727570000|클러스터 칼럼 디코딩 구조를 가지는 반도체 메모리 장치|주식회사 제주반도체,클러스터 칼럼 디코딩 구조를 가지는 반도체 메모리 장치,주식회사 제주반도체,1020000061763,1020020031438,1005727570000,소멸,2000,2002,2006,G11C,,반도체,True,True,True,37.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,23
1020000058542|1005673560000|이중 셀 전원 전압을 가지는 에스램|주식회사 제주반도체,이중 셀 전원 전압을 가지는 에스램,주식회사 제주반도체,1020000058542,1020020028066,1005673560000,소멸,2000,2002,2006,G11C,,,True,True,True,34.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,10
1020010027444|1003943220000|리프레쉬 동작을 제어할 수 있는 디램 셀을 이용한 에스램호환 메모리 장치|주식회사 제주반도체,리프레쉬 동작을 제어할 수 있는 디램 셀을 이용한 에스램호환 메모리 장치,주식회사 제주반도체,1020010027444,1020020088652,1003943220000,소멸,2001,2002,2003,G11C,,,True,True,True,34.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,14
1020010034836|1003864730000|삼중의 전원선을 가지는 에스램|주식회사 제주반도체,삼중의 전원선을 가지는 에스램,주식회사 제주반도체,1020010034836,1020020096410,1003864730000,소멸,2001,2002,2003,G11C,,,True,True,True,34.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,17
1020020009813|1004088930000|적은 소모 전력과 빠른 응답 속도를 가지는 입력 버퍼 회로|주식회사 제주반도체,적은 소모 전력과 빠른 응답 속도를 가지는 입력 버퍼 회로,주식회사 제주반도체,1020020009813,1020030070325,1004088930000,소멸,2002,2003,2003,G11C,,,True,True,True,34.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,22
1020000056910|1003824080000|셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법|주식회사 제주반도체,셀프-리프레쉬 기능을 가지는 메모리 집적 회로 및 그구동 방법,주식회사 제주반도체,1020000056910,1020020025272,1003824080000,소멸,2000,2002,2003,G11C,,,True,True,True,34.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,25
1020010039590|1004199130000|데이터 보존을 강화하는 내부 전원 전압 발생 회로 및에스램|주식회사 제주반도체,데이터 보존을 강화하는 내부 전원 전압 발생 회로 및에스램,주식회사 제주반도체,1020010039590,1020030002984,1004199130000,소멸,2001,2003,2004,G11C,,,True,True,True,34.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,26
1020020026132||반도체 메모리 장치의 데이터선 전압 제어회로|주식회사 제주반도체,반도체 메모리 장치의 데이터선 전압 제어회로,주식회사 제주반도체,1020020026132,1020030088198,,포기,2002,2003,,G11C,,반도체,True,False,True,27.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,8
1020030030859||기입 동작시의 워드라인의 활성화 폭이 독출 동작에서의워드라인의 활성화폭보다 작은 반도체 메모리 장치|주식회사 제주반도체,기입 동작시의 워드라인의 활성화 폭이 독출 동작에서의워드라인의 활성화폭보다 작은 반도체 메모리 장치,주식회사 제주반도체,1020030030859,1020040098479,,거절,2003,2004,,G11C,,반도체,True,False,True,27.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,9
1020000073691||리프레쉬 모드에서 대기 전류를 감소시키기 위한 센스앰프 회로를 가지는 반도체 메모리 장치|주식회사 제주반도체,리프레쉬 모드에서 대기 전류를 감소시키기 위한 센스앰프 회로를 가지는 반도체 메모리 장치,주식회사 제주반도체,1020000073691,1020020044689,,거절,2000,2002,,G11C,,반도체,True,False,True,27.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,11
1020010034837||메모리 어레이별 센스 앰프의 구동이 가능한 분할워드라인 구조의 반도체 메모리 장치|주식회사 제주반도체,메모리 어레이별 센스 앰프의 구동이 가능한 분할워드라인 구조의 반도체 메모리 장치,주식회사 제주반도체,1020010034837,1020020096411,,취하,2001,2002,,G11C,,반도체,True,False,True,27.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,13
1020010001718||대기 전력이 감소되는 반도체 메모리 장치 및 이에적용되는 리던던트 디코더|주식회사 제주반도체,대기 전력이 감소되는 반도체 메모리 장치 및 이에적용되는 리던던트 디코더,주식회사 제주반도체,1020010001718,1020020060788,,거절,2001,2002,,G11C,,반도체,True,False,True,27.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,18
1020000070868||프리센싱하는 비트 라인 센싱 회로를 가지는 에스램|주식회사 제주반도체,프리센싱하는 비트 라인 센싱 회로를 가지는 에스램,주식회사 제주반도체,1020000070868,1020020041116,,거절,2000,2002,,G11C,,,True,False,True,24.5,data\반도체\제주반도체\tech\source\jeju_semicon_kipris_plus_bibliographic_raw.csv,19
