certification_key,matched_alias,category,status,year,expiry_date,source_type,source_name,source_path,evidence_text,directness,confidence
FDA,FDA,regulatory_approval,MENTIONED,,,local_text_scan,kipris_nepes_patents.csv,data\반도체\네패스\tech\source\kipris_nepes_patents.csv,"명에 따른 감광성 도전 페이스트 조성물은 고해상도, 낮은 접촉저항, 우수한 보관 안정성 및 전기 비저항 등을 나타낼 수 있다. | http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=ed43a0609e94d6e22d01c5c32ba711cf8fc21fda6626cf8b16e9d70a652d5e4bb12d2fe85804185ea283df535cbb0edec4acad0aeb19f506dc30209afa0853557a5df1213a06a1af | http://plus.kipris.or.kr/openapi/fileToss.jsp?arg=",TEXT_MENTION,LOW
SEMICONDUCTOR_QUALIFICATION,양산 승인,semiconductor_customer_qualification,CONFIRMED,,,local_text_scan,nepes_tech_excel_frame_evidence.json,data\반도체\네패스\tech\source\nepes_tech_excel_frame_evidence.json,", ""middle_source"": ""사업보고서: 신규시장 진입 계획 / 개발 일정 / 품질 요구 / 고객 승인 절차 / 시험평가 / 리스크 요인\n규제자료: 산업별 필수 인증 / 시험규격 / 법적 허가 / 환경규제 / 안전기준 / 공급 승인 조건\n기사: 인증 획득 기사 / 양산 승인 기사 / 테스트베드 기사 / 개발 지연·검증 이슈 기사"", ""quantifiable"": ""필요 인증 수, 예상 개발 기간(개월), 검증 단계 수, 고객 테스트 횟수"", ""item_name"": ""인증 종류"", ""content"": """" },",DIRECT_OR_COMPANY_DISCLOSED,HIGH
SEMICONDUCTOR_QUALIFICATION,양산 승인,semiconductor_customer_qualification,CONFIRMED,,,local_text_scan,nepes_tech_excel_frame_evidence.md,data\반도체\네패스\tech\source\nepes_tech_excel_frame_evidence.md,"수 / 출처: 사업보고서 / 규제자료 / 기사 > 사업보고서: 신규시장 진입 계획 / 개발 일정 / 품질 요구 / 고객 승인 절차 / 시험평가 / 리스크 요인 규제자료: 산업별 필수 인증 / 시험규격 / 법적 허가 / 환경규제 / 안전기준 / 공급 승인 조건 기사: 인증 획득 기사 / 양산 승인 기사 / 테스트베드 기사 / 개발 지연·검증 이슈 기사 - 신규 산업 진입 시 추가 인증/개발 부담 / 개발 기간 / 정량화: 필요 인증 수, 예상 개발 기간(개월), 검증 단계 수, 고객 테스트 횟수 / 출처: 사업보고서 / 규제자료 / 기사 > 사업보고서: 신규시장 진입",DIRECT_OR_COMPANY_DISCLOSED,HIGH
