date,open,high,low,close,volume,market_cap,return,market_return,abnormal_return,mdd,ma20,ma60,ma20_ratio,ma60_ratio,vix,vkospi,eps,psr,car_3,car_5,inst_net_buy,foreign_net_buy,foreign_holding_shares,foreign_holding_pct
2021-04-01,29100.073979342556,29805.755415982643,28951.509466365696,29694.33203125,249995,452611995723.16406,0.021725350834866708,0.008486251847749982,0.013239098987116726,-0.0708889772835123,28165.04384765625,28544.812239583334,1.0542973833758478,1.0402707077565785,17.329999923706055,13.54,,,0.03494697278262282,0.019202182259837497,-1433.0,25703.0,7145935.0,46.88
2021-04-02,29768.61460175904,29917.179116303065,29527.197265625,29527.197265625,130185,450064465785.64453,-0.005628507334298982,0.008227034814988876,-0.013855542149287858,-0.07611848548925003,28243.040234375,28608.571223958334,1.0454680877339486,1.0321101684692788,17.329999923706055,13.54,,,0.023718825297378787,0.025366044321390446,-2835.0,1679.0,7145612.0,46.88
2021-04-05,29712.900891739675,30140.023842058432,29601.47751339565,29675.759765625,178315,452328910378.76953,0.005031378314153567,0.0025796804070015167,0.0024516979071520506,-0.07147008807229323,28369.32001953125,28684.710546875,1.046051147690333,1.034549737468345,17.90999984741211,13.54,,,0.0018352547449809187,0.023543128540487013,-4765.0,1426.0,7147025.0,46.89
2021-04-06,30028.5982029833,31254.25527249282,30010.027641324064,30715.708984375,407015,468180201152.16797,0.03504372683170964,0.0020026723158714788,0.033041054515838164,-0.03893093948362718,28568.953515625,28764.873404947917,1.0751429508111277,1.0678200648396219,18.1200008392334,13.54,,,0.021637210273702356,0.059211577720369,-6356.0,11454.0,7158261.0,46.96
2021-04-07,30715.710422947588,30734.280985476576,29898.605671672078,30028.599609375,144545,457707025827.9492,-0.022369966304522926,0.003303348083931734,-0.02567331438845466,-0.06043002198369792,28707.30419921875,28822.442154947916,1.046026453789841,1.0418478575806605,17.15999984741211,13.54,,,0.009819438034535555,0.009202994872364423,123.0,-10412.0,7147728.0,46.89
2021-04-08,29935.74799382716,30177.165316358027,29787.18348765432,30084.3125,89790,458556222320.625,0.0018553276326480628,0.0018646264976949212,-9.298865046858396e-06,-0.058686811840677804,28847.5119140625,28851.2265625,1.0428737351637798,1.0427394632539724,16.950000762939453,13.54,,,0.007358441262336646,-0.004045402979799162,687.0,1117.0,7148875.0,46.9
2021-04-09,30102.882159029075,30121.452721742848,29824.323718322452,29861.46484375,99280,455159495890.4297,-0.0074074372233037256,-0.003620485393435069,-0.0037869518298686566,-0.06565953018943581,28990.5052734375,28899.510026041666,1.0300429248161644,1.03328619816881,16.690000534057617,13.54,,,-0.029469565083370175,0.00602318733962004,-4373.0,-436.0,7145441.0,46.88
2021-04-12,29880.036063675332,29880.036063675332,29322.919170008296,29378.630859375,143755,447799961652.0117,-0.016169132589490376,0.0011846575274123694,-0.017353790116902745,-0.08076700512952964,29124.21337890625,28937.889192708335,1.0087356000712802,1.0152306086920024,16.90999984741211,13.54,,,-0.02115004081181826,-0.013782300684434756,-4184.0,809.0,7146155.0,46.88
2021-04-13,29397.19864537789,29972.88604778264,29230.063593066836,29731.46875,164195,453178047330.9375,0.012010018176609627,0.010680602150042073,0.0013294160265675536,-0.0697270001525959,29171.5681640625,28974.1017578125,1.0191933660469876,1.0261394468245522,16.649999618530273,13.54,,,-0.01981132592020385,-0.04549393917370537,265.0,4876.0,7150079.0,46.91
2021-04-14,29675.761467127893,29750.043723616323,29341.491312929957,29694.33203125,154185,452611995723.16406,-0.001249071112573219,0.0041967398612940965,-0.0054458109738673155,-0.07088897728351214,29220.7802734375,28998.862532552084,1.0162059929057736,1.0239826475234064,16.989999771118164,13.54,,,-0.021470185064202507,-0.025266435759118022,-2791.0,-500.0,7149479.0,46.91
