year,sales,operating_income,net_income,total_assets,total_liabilities,total_equity,rnd,capex,ocf,fcf,interest,amort_cogs,amort_sga,amort_total,ROE,영업이익률,부채비율,이자보상배율
2021,190057368425.0,40300789625.0,33432517485.0,211881383397.0,68466966070.0,143414417327.0,,24212124735,26203403413,1991278678,1225832295.0,,,,23.311824646451225,21.204539428790103,47.7406437554239,32.87626683468965
2022,255929775545.0,50701951182.0,41497460909.0,261797468390.0,75905443769.0,185892024621.0,,30170271727,22300830924,-7869440803,1876941920.0,,,,22.3234218862298,19.810884088821116,40.833082497087965,27.01306345270396
2023,288087193001.0,64828878115.0,53849755426.0,313702008499.0,74191632356.0,239510376143.0,,11136874374,82875317763,71738443389,3044173584.0,,,,22.48326619212895,22.503214196951465,30.976375032580545,21.29605172836951
2024,306791365556.0,70304948252.0,65036530638.0,391796337435.0,84308931196.0,307487406239.0,,6424516297,35037235881,28612719584,1932942109.0,,,,21.150957508630196,22.916208259181573,27.418661540391476,36.37198854774393
2025,291764969976.0,58544362713.0,40972466221.0,429672762944.0,83071411079.0,346601351865.0,,10888216177,60759780767,49871564590,8201187533.0,,,,11.821207851768168,20.065590025360393,23.967422698153822,7.13852261973388
