year,revenue,operating_profit,net_income,assets,liabilities,equity,cash,cfo,capex,fcf,investing_cf,source_account_count,revenue_source_account,operating_profit_source_account,net_income_source_account,assets_source_account,liabilities_source_account,equity_source_account,cfo_source_account,capex_source_account,cash_source_account
2021,167498755290.0,17622418239.0,13707442319.0,134011924288.0,22183164030.0,111828760258.0,7288235212.0,13559523477.0,,9461736258.0,-8195574438.0,147,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,투자활동현금흐름 50% proxy,현금및현금성자산
2022,242576796583.0,25825288073.0,12654577621.0,331531563148.0,158462978855.0,173068584293.0,20717623910.0,-2411168884.0,22224198338.0,-24635367222.0,-17185886351.0,222,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,유형자산의 취득,현금 및 현금성자산
2023,232436389092.0,-14643077325.0,-33443728959.0,288316792095.0,147690807918.0,140625984177.0,43417473689.0,32413346108.0,4970597455.0,27442748653.0,-14573084319.0,175,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,투자활동으로 분류된 무형자산의 취득,현금 및 현금성자산
2024,232116611005.0,-5100374191.0,-18094850997.0,293039972870.0,138459064716.0,154580908154.0,30971849914.0,26999461471.0,5423181131.0,21576280340.0,-58751841871.0,188,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,무형자산의 취득,현금 및 현금성자산
2025,244123643799.0,10148185090.0,1959422969.0,286055183481.0,131612644063.0,154442539418.0,18270298972.0,14728643363.0,7978306727.0,6750336636.0,-4623250849.0,182,수익(매출액),영업이익(손실),당기순이익(손실),자산총계,부채총계,자본총계,영업활동현금흐름,무형자산의 취득,현금 및 현금성자산
