fiscal_year,revenue,operating_profit,net_income,total_assets,total_liabilities,equity,cash_and_equivalents,operating_cash_flow,capex,fcf,investing_cf,source_account_count,revenue_source_account,operating_profit_source_account,net_income_source_account,assets_source_account,liabilities_source_account,equity_source_account,cfo_source_account,capex_source_account,cash_source_account,ebit,ebitda,source
2021,319513983576.0,25565657171.0,23197033694.0,336843432075.0,141692414265.0,195151017810.0,,-59711097826.0,854548889.0,-60565646715.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,25565657171.0,,valuation_intake_normalized_or_dart
2022,422418753947.0,34766478075.0,29845982191.0,328877176561.0,109597092758.0,219280083803.0,,71544702063.0,1454100654.0,70090601409.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,34766478075.0,,valuation_intake_normalized_or_dart
2023,319462564774.0,23946351563.0,24075406070.0,316203683290.0,78523176264.0,237680507026.0,,29196184942.0,4500795429.0,24695389513.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,23946351563.0,,valuation_intake_normalized_or_dart
2024,334022337411.0,27287364136.0,27141396314.0,368766153343.0,107975821028.0,260790332315.0,,15826612555.0,18170843109.0,-2344230554.0,,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,local_finance_csv,27287364136.0,,valuation_intake_normalized_or_dart
