company_dir,peer_company,ticker,market,is_target,latest_year,latest_close,shares_outstanding,market_cap,enterprise_value,per,net_income,assets,liabilities,equity,fcf,fcf_margin,return_1y,volatility_annualized,mdd,high_52w,low_52w,data_status,diagnostics,source
nepes,네패스,33640,KOSDAQ,False,,,,,,,,,,,,,,,,,,WARN_NO_LIVE_DATA,,valuation_peer_input_or_sector_common
hanmi,한미반도체,42700,KOSPI,False,,,,,,,,,,,,,,,,,,WARN_NO_LIVE_DATA,,valuation_peer_input_or_sector_common
hansol,한솔케미칼,14680,KOSPI,True,,,,,,,,,,,,,,,,,,WARN_NO_LIVE_DATA,,valuation_peer_input_or_sector_common
duksan,덕산테코피아,317330,KOSDAQ,False,,,,,,,,,,,,,,,,,,WARN_NO_LIVE_DATA,,valuation_peer_input_or_sector_common
ltc,엘티씨,170920,KOSDAQ,False,,,,,,,,,,,,,,,,,,WARN_NO_LIVE_DATA,,valuation_peer_input_or_sector_common
