record_key,title,applicant,application_no,publication_no,registration_no,status,application_year,publication_year,registration_year,ipc_codes,cpc_codes,tech_keyword_hits,applicant_matched,is_registered,is_expired_or_dead,patent_rank_score,source_file,source_row
1020230070111||슬러리 및 이를 이용한 연마 방법|주식회사 이엔에프테크놀로지|한양대학교 산학협력단,슬러리 및 이를 이용한 연마 방법,주식회사 이엔에프테크놀로지|한양대학교 산학협력단,1020230070111,1020240171763,,공개,2023,2024,,C09G; C09K; H10K; G09F; G02F,,공정,True,False,False,45.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,3
1020180069142|1022504330000|폴리실록산계 화합물 및 이를 포함하는 실리콘 질화막 식각 조성물|주식회사 이엔에프테크놀로지,폴리실록산계 화합물 및 이를 포함하는 실리콘 질화막 식각 조성물,주식회사 이엔에프테크놀로지,1020180069142,1020190142077,1022504330000,등록,2018,2019,2021,C08G; C09K,,,True,True,False,45.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,12
1020170140072|1024042260000|식각 조성물|주식회사 이엔에프테크놀로지,식각 조성물,주식회사 이엔에프테크놀로지,1020170140072,1020180048344,1024042260000,등록,2017,2018,2022,C23F; C09K,,,True,True,False,45.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,18
1020170056239|1023985930000|실리콘 질화막에 대한 선택적 에칭을 위한 식각 조성물|주식회사 이엔에프테크놀로지,실리콘 질화막에 대한 선택적 에칭을 위한 식각 조성물,주식회사 이엔에프테크놀로지,1020170056239,1020180122141,1023985930000,등록,2017,2018,2022,C09K; C23F,,,True,True,False,45.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,19
1020220124070||IGZO 기판용 박리액 조성물|주식회사 이엔에프테크놀로지,IGZO 기판용 박리액 조성물,주식회사 이엔에프테크놀로지,1020220124070,1020240044708,,공개,2022,2024,,G03F; C11D,,기판; 소자,True,False,False,45.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,24
1020200087899||식각액 조성물|주식회사 이엔에프테크놀로지,식각액 조성물,주식회사 이엔에프테크놀로지,1020200087899,1020220009561,,공개,2020,2022,,C09K; H10P,,공정; 반도체; 소자,True,False,False,44.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,2
1020150139500|1023987550000|포토레지스트 박리액 조성물|주식회사 이엔에프테크놀로지,포토레지스트 박리액 조성물,주식회사 이엔에프테크놀로지,1020150139500,1020170040477,1023987550000,등록,2015,2017,2022,G03F; H10P,,기판,True,True,False,44.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,11
1020220111828||신규한 중합체 및 이를 포함하는 감광성 수지 조성물|주식회사 이엔에프테크놀로지,신규한 중합체 및 이를 포함하는 감광성 수지 조성물,주식회사 이엔에프테크놀로지,1020220111828,1020240033328,,공개,2022,2024,,C08G; G03F; H10K,,소자,True,False,False,43.5,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,8
1020210103801||신규한 중합체 및 이를 포함하는 감광성 수지 조성물|주식회사 이엔에프테크놀로지,신규한 중합체 및 이를 포함하는 감광성 수지 조성물,주식회사 이엔에프테크놀로지,1020210103801,1020230021880,,공개,2021,2023,,C08G; G03F,,소자,True,False,False,42.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,1
1020210121626||실리콘 선택적 식각액 조성물|주식회사 이엔에프테크놀로지|에스케이하이닉스 주식회사,실리콘 선택적 식각액 조성물,주식회사 이엔에프테크놀로지|에스케이하이닉스 주식회사,1020210121626,1020230038933,,공개,2021,2023,,C09K; H10P,,반도체,True,False,False,42.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,7
1020210076650||신규한 중합체 및 이를 포함하는 감광성 수지 조성물|주식회사 이엔에프테크놀로지,신규한 중합체 및 이를 포함하는 감광성 수지 조성물,주식회사 이엔에프테크놀로지,1020210076650,1020220167545,,공개,2021,2022,,C08G; G03F,,소자,True,False,False,42.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,28
1020210192264||실리콘 선택적 식각액 조성물|주식회사 이엔에프테크놀로지,실리콘 선택적 식각액 조성물,주식회사 이엔에프테크놀로지,1020210192264,1020230102276,,공개,2021,2023,,C09K; H10P,,반도체,True,False,False,42.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,29
1020240054171||몰리브덴을 함유하는 금속막용 식각액 조성물|주식회사 이엔에프테크놀로지,몰리브덴을 함유하는 금속막용 식각액 조성물,주식회사 이엔에프테크놀로지,1020240054171,1020250155325,,공개,2024,2025,,C23F; H10P; H10B,,,True,False,False,40.5,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,26
1020240042587||은 함유 금속막 식각액 조성물 및 그 제조방법|주식회사 이엔에프테크놀로지|삼성디스플레이 주식회사,은 함유 금속막 식각액 조성물 및 그 제조방법,주식회사 이엔에프테크놀로지|삼성디스플레이 주식회사,1020240042587,1020250147787,,공개,2024,2025,,C23F; C09K; H10P,,,True,False,False,40.5,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,30
1020220138200||실리콘 산화질화막 선택적 식각 조성물|주식회사 이엔에프테크놀로지|에스케이하이닉스 주식회사,실리콘 산화질화막 선택적 식각 조성물,주식회사 이엔에프테크놀로지|에스케이하이닉스 주식회사,1020220138200,1020240057696,,공개,2022,2024,,C09K; H10P,,,True,False,False,39.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,23
1020240054157||몰리브덴을 함유하는 금속막용 식각액 조성물|주식회사 이엔에프테크놀로지,몰리브덴을 함유하는 금속막용 식각액 조성물,주식회사 이엔에프테크놀로지,1020240054157,1020250155317,,공개,2024,2025,,C23F; H10B,,,True,False,False,39.0,C:\Agent_6.9\data\반도체\이엔에프테크놀로지\tech\source\enf_tech_kipris_plus_bibliographic_raw.csv,27
